year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2012,E06000038,132279,8,47742,0.0001675673411252,22.165640316702277,166825,4.7954443278885056e-05
2012,E06000043,241605,3249,88647,0.0366509864970049,8855.061592608887,166825,0.0194754982766371
2012,E06000044,177333,585,67693,0.0086419570708935,1532.5041732527736,166825,0.0035066686647684
2012,E07000061,87388,68,40516,0.001678349294106,146.66758811333796,166825,0.0004076127678705
2012,E07000063,85922,180,36356,0.0049510397183408,425.4032346792826,166825,0.0010789749737749
2012,E07000064,81041,9,36343,0.0002476405360041,20.069036678314944,166825,5.394874868874569e-05
2012,E07000065,131798,23,57145,0.0004024849068159,53.04670574853443,166825,0.0001378690244267
2012,E07000085,101019,860,40026,0.0214860340778493,2170.4976765102683,166825,0.0051551026524801
2012,E07000087,98815,156,36148,0.004315591457342,426.4451698572535,166825,0.0009351116439382
2012,E07000088,71060,107,27213,0.0039319442913313,279.4039613420057,166825,0.000641390678855
2012,E07000090,105346,3034,42349,0.0716427778696073,7547.280077451652,166825,0.0181867226135171
2012,E07000094,101984,97,43412,0.0022344052335759,227.8735833410117,166825,0.0005814476247564
2012,E07000112,94658,16,40817,0.0003919935321067,37.10532376215792,166825,9.590888655777013e-05
2012,E07000210,74668,54,29897,0.0018062012910994,134.8654380038131,166825,0.0003236924921324
2012,E07000211,118668,50,50442,0.0009912374608461,117.6281670036874,166825,0.000299715270493
2012,E07000215,71942,25,29912,0.0008357849692431,60.12804225728805,166825,0.0001498576352465
2012,E07000216,104236,139,44326,0.0031358570590624,326.8691964084285,166825,0.0008332084519706
2012,E07000223,53859,19615,24817,0.7903856227585929,42569.37925615506,166825,0.1175783006144163
2012,E07000224,133676,53526,62353,0.8584350392122272,114752.16230173368,166825,0.3208511913682002
2012,E07000225,100977,33637,44938,0.7485201833637456,75583.32255552094,166825,0.2016304510714821
2012,E07000226,90631,257,38928,0.0066019317714755,598.3396783806002,166825,0.0015405364903341
2012,E07000227,114542,16757,46463,0.3606525622538364,41309.86578567893,166825,0.1004465757530346
2012,E07000228,121044,452,46583,0.0097031105768198,1174.5033166605845,166825,0.002709426045257
2012,E07000229,91527,33913,39406,0.8606049840125869,78768.59237172003,166825,0.2032848793646036
2012,E09000008,307154,8,140841,5.68016415674413e-05,17.446851414005863,166825,4.7954443278885056e-05
2013,E06000035,229465,9,102030,8.820935019112026e-05,20.24095854160541,170465,5.279676179860968e-05
2013,E06000043,243534,3250,90245,0.0360130755166491,8770.408332871628,170465,0.0190654973161646
2013,E06000044,176897,569,69277,0.0082134041601108,1452.9265557111307,170465,0.0033379286070454
2013,E06000046,122550,8,38859,0.000205872513446,25.22967652281325,170465,4.69304549320975e-05
2013,E07000061,87628,103,41544,0.0024792990564221,217.25601771615635,170465,0.0006042296072507
2013,E07000063,86741,184,37939,0.0048498906138801,420.6843617385803,170465,0.0010794004634382
2013,E07000064,81177,18,36599,0.0004918167163037,39.92420557938742,170465,0.0001055935235972
2013,E07000065,133323,43,58801,0.0007312800802707,97.49645414193635,170465,0.00025225119526
2013,E07000085,101764,940,41475,0.0226642555756479,2306.405304400241,170465,0.0055143284545214
2013,E07000087,99693,156,37531,0.00415656390717,414.3803255975061,170465,0.0009151438711759
2013,E07000088,71365,107,28346,0.0037747830381711,269.3873915190856,170465,0.0006276948347168
2013,E07000090,105601,3083,43614,0.0706883110927683,7464.756339707434,170465,0.018085824069457
2013,E07000091,156906,8,64661,0.0001237221818406,19.412752663893222,170465,4.69304549320975e-05
2013,E07000094,102833,105,43975,0.0023877202956225,245.53644115974987,170465,0.0006159622209837
2013,E07000209,121161,8,49362,0.0001620679875207,19.636319436003404,170465,4.69304549320975e-05
2013,E07000210,75170,51,30934,0.0016486713648412,123.93062649511864,170465,0.0002991816501921
2013,E07000211,119471,31,52491,0.0005905774323217,70.55687641690957,170465,0.0001818555128618
2013,E07000215,72761,9,31043,0.0002899204329478,21.094900621718264,170465,5.279676179860968e-05
2013,E07000216,104730,151,46045,0.0032794005863828,343.45162341187967,170465,0.0008858123368433
2013,E07000223,54201,20263,25716,0.7879530253538652,42707.84192720485,170465,0.1188689760361364
2013,E07000224,134699,54711,64199,0.8522095359740806,114791.77228617268,170465,0.3209515149737483
2013,E07000225,101739,34345,46206,0.7433017357053197,75622.77528892351,170465,0.201478309330361
2013,E07000226,90946,234,40132,0.00583075849696,530.2841622645271,170465,0.0013727158067638
2013,E07000227,115391,16844,47879,0.3518035046680173,40594.95820714718,170465,0.0988120728595312
2013,E07000228,122353,433,48945,0.008846664623557,1082.4159566860762,170465,0.0025401108731997
2013,E07000229,91998,34802,40585,0.857508931871381,78889.10671430331,170465,0.2041592115683571
2014,E06000035,231089,10,103273,9.683073020053644e-05,22.376516611311764,174573,5.728262675213235e-05
2014,E06000038,134007,10,52305,0.0001911863110601,25.620303986234585,174573,5.728262675213235e-05
2014,E06000043,245985,3184,92198,0.0345343716783444,8494.937417297555,174573,0.0182387883578789
2014,E06000044,177572,597,70320,0.0084897610921501,1507.5438566552905,174573,0.0034197728171023
2014,E07000061,88305,98,42515,0.0023050687992473,203.549100317535,174573,0.0005613697421708
2014,E07000063,87500,217,39466,0.0054984036892515,481.1103228095069,174573,0.0012430330005212
2014,E07000064,82170,16,37281,0.0004291730372039,35.26514846704756,174573,9.165220280341176e-05
2014,E07000065,135286,46,60578,0.0007593515797814,102.72963782231172,174573,0.0002635000830598
