date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions
2021-08-05,66.0,32.0,4.0
2021-08-04,65.0,30.0,6.0
2021-08-03,61.0,27.0,9.0
2021-08-02,56.0,26.0,7.0
2021-08-01,58.0,28.0,5.0
2021-07-31,56.0,27.0,3.0
2021-07-30,58.0,26.0,3.0
2021-07-29,55.0,24.0,1.0
2021-07-28,66.0,24.0,6.0
2021-07-27,64.0,25.0,3.0
2021-07-26,58.0,21.0,6.0
2021-07-25,58.0,23.0,4.0
2021-07-24,59.0,20.0,9.0
2021-07-23,51.0,21.0,7.0
2021-07-22,41.0,19.0,4.0
2021-07-21,43.0,18.0,5.0
2021-07-20,37.0,16.0,8.0
2021-07-19,37.0,15.0,5.0
2021-07-18,40.0,20.0,5.0
2021-07-17,40.0,21.0,5.0
2021-07-16,42.0,20.0,3.0
2021-07-15,39.0,22.0,2.0
2021-07-14,41.0,21.0,0.0
2021-07-13,39.0,19.0,2.0
2021-07-12,34.0,19.0,3.0
2021-07-11,36.0,18.0,6.0
2021-07-10,36.0,17.0,2.0
2021-07-09,40.0,18.0,3.0
2021-07-08,33.0,14.0,5.0
2021-07-07,35.0,14.0,1.0
2021-07-06,30.0,17.0,6.0
2021-07-05,28.0,16.0,3.0
2021-07-04,21.0,13.0,7.0
2021-07-03,23.0,13.0,4.0
2021-07-02,22.0,13.0,1.0
2021-07-01,23.0,12.0,1.0
2021-06-30,19.0,12.0,1.0
2021-06-29,20.0,12.0,5.0
2021-06-28,21.0,11.0,1.0
2021-06-27,8.0,4.0,5.0
2021-06-26,9.0,4.0,3.0
2021-06-25,19.0,9.0,0.0
2021-06-24,23.0,10.0,0.0
2021-06-23,22.0,8.0,3.0
2021-06-22,23.0,8.0,2.0
2021-06-21,21.0,8.0,0.0
2021-06-20,20.0,8.0,1.0
2021-06-19,19.0,8.0,4.0
2021-06-18,19.0,8.0,2.0
2021-06-17,20.0,7.0,2.0
2021-06-16,18.0,7.0,1.0
2021-06-15,18.0,7.0,1.0
2021-06-14,22.0,6.0,0.0
2021-06-13,20.0,7.0,1.0
2021-06-12,17.0,7.0,4.0
2021-06-11,20.0,7.0,3.0
2021-06-10,19.0,6.0,2.0
2021-06-09,15.0,6.0,4.0
2021-06-08,13.0,6.0,4.0
2021-06-07,12.0,5.0,2.0
