loss,mean_absolute_error,val_loss,val_mean_absolute_error,method,history,ahead
0.9990063905715942,0.5067031979560852,0.5181723237037659,0.5050868391990662,LSTM,25,15
0.9977089762687683,0.5076634883880615,0.518061101436615,0.5060226917266846,LSTM,25,15
0.9964595437049866,0.5083850026130676,0.518335223197937,0.5073269009590149,LSTM,25,15
0.9949430823326111,0.5092342495918274,0.5190405249595642,0.508352518081665,LSTM,25,15
0.9934218525886536,0.5101319551467896,0.5204509496688843,0.5103551745414734,LSTM,25,15
0.9911525845527649,0.5106044411659241,0.5221613049507141,0.5125167965888977,LSTM,25,15
0.9883435964584351,0.5115101337432861,0.5246158838272095,0.5148459672927856,LSTM,25,15
0.9852623343467712,0.5125318169593811,0.5268536806106567,0.5166530013084412,LSTM,25,15
0.9807596206665039,0.5131516456604004,0.5296324491500854,0.5191482901573181,LSTM,25,15
0.9756122827529907,0.5136374831199646,0.5330343842506409,0.5217143297195435,LSTM,25,15
0.9705361127853394,0.5141201019287109,0.5366588830947876,0.5250203609466553,LSTM,25,15
