date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions,0-4,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,5-9,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate
2020-09-04,0.0,0.0,0.0,0.3466388047772113,0.8113026572353911,0.7606376341889158,1.8025332894456427,1.62036554977905,2.007345797934033,2.164484783753647,1.6477102053410122,0.5364137672871373,0.00011401639510788775,1.130813845671376,2.5771039756560348,1.0862370484242336,0.01552567305725102,1.2426862984633191,1.3246866348501447,0.007978557863991285,0.21816862994014746,0.0030240611866155765,19.303771231250256,0.0003059932132100845,0.0,0.0,0.0
2020-09-05,0.0,0.0,0.0,0.0,0.0003945985648671387,0.5489288152509889,1.786182973434341,1.358432384113955,0.31567194312729624,1.869775272968562,0.01080617349600976,1.8078672639823485,0.0,0.3307463732645269,2.0394216572590116,1.307944016973991,0.32638534930902113,0.0,0.007733683112262184,0.00014437961442741537,0.5127945365455123,0.0005295351769246886,13.158622588348754,0.0,0.0,0.0,0.0
2020-09-06,0.0,0.0,0.0,0.0,1.1023676697074196,0.015995126512319494,2.002209356250325,1.5991202657104688,1.6767023704762813,0.0020493230083296248,0.4827233664667079,0.00019671872944515713,0.0003308987216663737,0.7128148132523559,2.4889670277015497,0.0,0.0,1.590081866146166,0.0,0.8768627781653999,0.4445745171096035,0.0008939201227456377,12.99589001808078,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,2.154957240332105,0.00011915196956981494,0.012453051351274027,2.842841375039374,3.0092957726208565,0.015198160447065168,3.2078912227694847,0.0007134256444056064,0.0006615437162553566,0.00021369244012613955,3.224002448960563,0.0005201738176250666,0.6355555879112414,0.0,0.0,0.0,0.0,0.0,1.6751064157867132e-05,15.104715084920993,0.0,0.0,0.0,0.0
2020-09-08,0.0,0.0,0.0,0.00915178054266091,0.00010527838114845083,1.5672730710709686,2.2547707273431734,1.700474520262556,1.7848736359955435,1.9654633977159193,2.0888097119693025,1.9213165754467536,0.0,0.3128564428913677,0.0031748904430761744,0.0017110975572929485,0.3004858007651479,0.5051838717546806,0.00014672695434453343,0.17907529243434595,0.00015212284125811667,0.40291304482742,14.997937989196956,0.0,0.0,0.0,0.0
2020-09-09,0.0,0.0,0.0,1.1236422788408742,0.00029390582439463634,0.017611683042321833,1.730646396782098,1.2687964271210201,1.3335811800487885,1.4643516273804036,1.3161386594469873,0.37088724444613275,1.2599183236283051,0.3745546698397516,1.42631529261415,1.2306434595524007,0.0,0.002048619490715328,0.0,0.0,0.16907593221697914,0.29900480344936503,13.387510503724686,0.0,0.0,0.0,0.0
2020-09-10,0.0,0.0,1.0,0.0,0.47403908737203676,0.0008018319900088149,1.4863195711607764,0.3921207265644916,1.3255255569896498,1.8616441723227302,1.5804697800376535,1.9642219743190943,0.00028910498446528294,0.015375736807914615,2.0993583315070783,0.0002990956039386818,0.004077418491261185,0.0005592663077215872,0.000297261559514741,7.183204535265699e-05,9.822050728570641e-05,2.488209377014715e-05,11.205961030816011,8.268477463231115e-05,0.0,0.0,0.0
2020-09-11,0.0,0.0,0.0,0.00021731958250605101,0.011664364010169528,1.5309931707158866,2.1248015008600736,1.6502032563743514,1.7390170845193973,1.8886789599545046,0.0,0.4460169176473461,0.011858165692999844,1.9494314933613803,2.3819366472732613,0.30577715627504487,1.8353509822285503,0.0,0.0,0.0058781410744797894,0.0,0.11000993220118137,15.99183509177113,0.0,0.0,0.0,0.0
2020-09-12,1.0,0.0,0.0,0.8104357142044272,0.010777324448649357,0.3410107154032805,1.0560108924810712,0.00017629281832331437,0.9631153962366001,0.32909424344114996,0.003988341629232357,0.4182529238078303,0.00011524266448998088,0.01316278921167354,0.0015519896064414987,0.0002977161712163801,0.00013610023937524893,0.3079864858373515,0.21992978262430782,0.0009423077063781186,0.00010623221928070316,0.0,4.477090490751078,0.0,0.0,0.0,0.0
2020-09-13,1.0,0.0,0.0,0.00010321124475595453,0.0002821347579273712,0.9343734428390187,0.00017129789588286068,0.2093148316252334,0.001343613016964496,0.00026558568632932626,0.008898078506327966,0.3567134719090838,0.009769590756301197,0.33896353906758714,1.1395208278254447,0.9758510866296096,0.0,0.0,0.6958177185466878,0.0,0.0,0.0,4.671388430307154,0.002301142341589394,0.0,0.0,0.0
2020-09-14,1.0,0.0,0.0,1.0319757953679298,1.0844976284217924,1.4574419880599252,0.0005463449593680934,0.33363925746449763,1.2210641666916693,0.0008435261353271363,1.4853111019853824,1.3041877587561073,0.002370378871557565,0.0,0.014210966000390015,1.1237882159835606,1.0816531505481566,1.154387720786419,0.0,0.0,0.0028119133394072884,0.0,11.298791654046932,0.0,0.0,0.0,0.0
2020-09-15,1.0,0.0,0.0,0.0,1.2812044481408196,1.257898386087832,1.5981836298739018,1.3704795054805183,1.4398401767558502,1.581273452404693,1.4198463599935884,0.3745626505376408,0.0003628787240518946,0.3276710740646759,0.3377891704245406,1.330201187919232,4.6378998593326785e-05,4.25736635068059e-05,0.0,0.0011250788398943878,0.12706100766343606,0.000910828800683285,12.448498788373453,0.00034827046096163727,0.0,0.0,0.0
2020-09-16,1.0,0.0,0.0,0.008664916556424694,1.1811346929758184,1.1795220122311498,1.814786470341184,1.2777181257639905,1.7035173071349243,1.4672069226671802,1.5901849438920184,0.5156810816095923,0.013042700817214627,0.5912478947649117,0.011865376588268637,1.2264424272688745,0.0017709617704833446,0.0,0.0,0.0,0.48087363851968634,0.3021266410763821,13.365786113978102,0.002353357993579682,0.0,0.0,0.0
2020-09-17,1.0,0.0,0.0,0.357035703446398,1.654554046322878,1.6398736205075402,2.422293960464571,2.1480814048647154,1.8829280638818084,2.4467527515127157,2.2048254261125937,2.4353698206905805,0.0002063751578533418,0.0044918794211076625,0.003493363778676545,0.00576343663309477,0.013125042288800135,1.7652109202137152,0.002616197844714213,0.0,0.67718148205945,0.4213261541652761,20.085129649366486,8.268477463231115e-05,0.0,0.0,0.0
2020-09-18,1.0,0.0,1.0,1.755959079323175,0.0030788145437330603,1.5246729578471148,1.928283017118495,2.2535972035978955,1.725920031524724,0.32969751968770156,1.716214256970547,2.2896619683446575,0.002990142451864424,2.9519174929274903,1.8522252942737574,0.0005460890083622493,1.5302890882214666,0.00012696006470923465,0.0001001243374117763,0.549044471445438,0.6227297574898872,4.1787391527952717e-05,21.39349669855179,0.0,0.0,0.0,0.0
2020-09-19,1.0,0.0,0.0,0.005669724838951852,0.01081869691027958,1.0642905529505127,1.872009810978238,0.008923460243556832,1.2150101990005249,1.314509397531587,0.0037904511656043096,0.0012082414766204452,0.00313627544821174,0.007016021316911011,0.0010246000759733113,0.0008180026706592515,8.901677774127435e-05,0.0,6.428059921479867e-05,4.7157697731984625e-05,0.4334742834015203,0.2705402566396238,6.21293178192472,0.0,0.0,0.0,0.0
2020-09-20,2.0,0.0,0.0,0.0028387245275572214,0.8943712535831047,0.012327340018925506,0.0075737087167897085,0.012605120313194388,1.0065530307771846,0.010387002829301767,0.012003050216939853,1.4225090163888643,0.0,0.012343130586335772,1.0697562848421691,8.430541086980915e-05,0.00925161753492073,0.0,0.6618077881096077,7.278498381220102e-05,0.00045051550060775953,2.5212184664693525e-05,5.142673914833024,0.0,0.0,0.0,0.0
2020-09-21,2.0,0.0,0.0,0.00015273184767829634,1.5800867558531986,0.00013163738374741653,1.7433085381550715,1.2145303248132864,1.6508042323213965,1.403702676020451,1.2642621583967648,0.012127512733022455,0.21495314572718482,1.4457198732648517,0.9507096962047743,1.17214459419236,0.00027105820699914733,0.007620885421579351,0.0006325822346477712,0.0,0.0002409929237960788,0.0,12.66331653981716,0.00026558568632932615,0.0,0.0,0.0
2020-09-22,2.0,1.0,0.0,0.00931333779001538,0.38755948899455434,0.0034268804186941312,0.007521659979490074,2.230102888773422,0.3042989656339388,2.2286081379985796,2.029737833315751,2.1727364151794166,0.0,2.7762762318727154,2.188501803150224,0.0008214310120970335,6.581311848714342e-05,0.0003175825248873631,7.960351213611859e-05,0.0,0.7374036209352717,0.5986274253238499,15.940951968017744,0.0,0.0,0.0,0.0
2020-09-23,1.0,1.0,1.0,1.2136221884700513,0.6776661165611351,0.4152830537348275,1.6157972970856385,1.5865091183178262,1.4412186340206976,1.5722314242810371,1.8213434482790907,1.539461713790955,0.0,1.6309541571436013,1.8834000536732374,0.5852670234641787,0.0,1.3666980264468243,0.9401143622615744,0.3244757459402451,0.0,0.32274811089902483,19.203372666093077,0.0,0.0,0.0,0.0
2020-09-24,2.0,2.0,0.0,0.0002701209916772154,1.7820370451268048,0.0007260943637026584,2.2509167821310205,2.2598737712855517,2.3698125313471827,2.202676659549454,1.9942650975620138,2.144680301221387,1.8937112066361688,2.277247669715429,2.452932034635179,2.118006490688801,0.015198281972207102,0.0016534732894488262,0.001320795991173003,0.0,0.0005716945399137429,6.569698810794054e-05,23.768321949020617,0.0001349004266225992,0.0,0.0,0.0
2020-09-25,4.0,2.0,1.0,0.011568696736554179,0.5192117241713762,0.2958708332163367,2.4744138411356933,2.262698473984148,1.638615888634966,2.5467207214405296,0.0025584544673450315,2.133599143725705,0.00013511124659311858,2.5615127036451693,2.510934870032849,0.43493471929959976,0.011972934154913862,0.0003213381610497649,0.0,0.0,0.1752406721844786,0.0,17.582986081590064,0.0,0.0,0.0,0.0
2020-09-26,3.0,2.0,0.0,0.23647212322955857,0.004462709317173598,0.013547206900539815,1.3652638596928939,0.8504588590762568,0.011978529577948774,0.00031391086305497474,0.284118297611049,0.9763604601465692,0.005011387354886265,0.015218973973256422,0.004929552482936375,7.506027016522029e-05,0.0,0.0008970711730969066,0.294542879719489,0.00010205991251928151,6.307073245573577e-05,0.0,4.0689980391001095,0.00040048611295192535,0.0,0.0,0.0
