date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions,0-4,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,5-9,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate,V12-15,V16-17,V18-24,V25-29,V30-34,V35-39,V40-44,V45-49,V50-54,V55-59,V60-64,V65-69,V70-74,V75-79,V80-84,V85-89,V90+
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.029228182862058687,0.04800988832190831,0.04737551422861939,0.009070102937953715,0.001205004913221393,0.2658402327841155,0.0,1.1408971142350102,0.2477382461147602,0.02930840252531415,0.0,0.0,0.014349543228443028,0.0003034064257707795,0.0,0.517189162112011,2.3505148006891865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.007991558431482085,0.02804780726451735,0.0,0.0,0.03242594423055022,0.033185071786434955,0.0,0.29767097957075384,0.0,0.003257989331514812,0.002070137686346712,0.0,0.7754011051165972,0.5175025716403545,0.07236662051622228,0.0,1.769919785574774,0.5160252372779583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.06571124710818443,0.0,0.0,0.0,0.0,0.0,0.0,0.0006153498455233427,0.06102265225063958,0.0,0.06439456792159243,0.00149897292595814,0.04683595855453654,1.535379038262311,0.20737393904653467,0.9013980978206775,0.9748056682042896,0.2082995322328595,0.12806617554133817,4.1954011997144445,0.00654955933840396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.5216307182228153,0.0,0.0,0.0004721677246808145,0.5102649685271958,0.007178106489796497,0.0,0.6839985510215584,0.0,0.0,0.0,0.0069871137044187894,0.005880727240629202,0.0003851400450058311,0.0965925216936947,0.3167283903988777,0.36711204884414217,0.0006709539674742369,2.5179014078802893,0.7072773617278604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0076626076626076615,0.00025727765402508646,0.0011823434644690277,0.0065921963527962955,0.05296374796568972,0.0019991614691203924,0.3093174288592881,0.0,0.0498362920365749,0.04655296317543869,0.03529187326449246,0.03765373344609739,0.023902377746472105,0.38928941011109236,0.11510687596853866,0.5272947269929863,0.0008323950616433307,1.605735411231333,0.5188883666486676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0001990258223771729,0.0,0.0,0.0,0.00022697757366267913,0.07078853318298325,0.06989743133034534,0.07452648004754298,0.06142027985400446,0.0,0.06531111140266505,0.06333059013315374,0.5193260227220702,0.672435449633312,0.32276201680088645,0.7076712646761231,0.19408858091086317,0.014889719509111258,0.7715135795450949,3.608387063144196,0.6486246527904062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.7206931254474236,0.0,0.04242344121404986,0.0,0.0484396253440779,0.011494510108608557,0.010732731743940873,0.0558617625771548,0.9080126478575427,0.0,0.07093045560641759,0.7326191483964164,0.038006178898918795,0.33157572178600575,0.5735367941944203,1.430224341521099,0.2841285625141845,1.0592486647383743,0.9666108014289734,7.284538513377608,0.2406074462980213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.045592397996980755,0.05828504792973472,0.00029500448049614046,0.00841726880611248,0.0034436306831126437,0.0,0.05520795361994466,0.0501786328757198,0.016247325487031297,0.272218865681051,1.2826297652078,0.2427085832062826,0.21273485951571047,0.15290282643052425,0.0008837155161807354,2.4017458774366816,0.38145153306602625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,0.0,0.0,12.0,0.07022863006528422,0.0006733383637375925,0.00018231697618605275,0.0,0.06440917297807033,0.005841555219426458,0.08586455771948637,0.08220570409943237,0.0827158333455032,0.0,0.07499860772345274,1.306623191389688,0.007950566414169606,0.7183582899406076,0.05014691880833695,1.1300607225053227,1.8489236727788094,1.4701339111674825,1.7737586955653566,8.77307568506035,0.44316426684151633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,8.0,0.0,10.0,0.10794243916914485,0.0,0.0,0.0,0.0007050194630765204,0.001806223107048554,0.13125760664401917,0.11080017530726985,0.0,0.0,1.0197102607503654,1.2576099898875588,1.7468340541161123,1.1436327291103054,1.6395339033541474,0.038623234939407336,0.3755782251397991,0.029266023001622503,0.9539740599496284,8.557273943939506,2.112276933852872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
