year,msoa,ltla,ppln_msoa,total_trust_patients,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,tfp_msoa_ag,msoa_frac_tp,ag_msoa_frac_tp
2011,E02006640,E06000054,7084,138487,53,2233,0.02373488580385132,168.13793103448276,female,0-4,196,0.02766798418972332,0.0006566964451658468,0.0003827074021388289,1.0588742351667203e-05
2011,E02006640,E06000054,7084,138487,53,2233,0.02373488580385132,168.13793103448276,male,0-4,202,0.028514963297571992,0.0006767993975688829,0.0003827074021388289,1.091288752569783e-05
2011,E02003422,E06000040,11490,138487,744,3771,0.19729514717581542,2266.921241050119,female,0-4,303,0.02637075718015666,0.0052028224189966995,0.00537234541870356,0.00014167281652455865
2011,E02003422,E06000040,11490,138487,744,3771,0.19729514717581542,2266.921241050119,male,0-4,355,0.030896431679721496,0.006095716035458179,0.00537234541870356,0.00016598630318883932
2011,E02003454,E06000041,7614,138487,1831,2291,0.7992143168921868,6085.21780881711,female,0-4,230,0.030207512477016023,0.02414227644933057,0.013221457609739543,0.00039938734571054566
2011,E02003454,E06000041,7614,138487,1831,2291,0.7992143168921868,6085.21780881711,male,0-4,270,0.03546099290780142,0.028340933223127193,0.013221457609739543,0.000468846014529771
2011,E02003411,E06000039,11040,138487,283,4669,0.06061255086742343,669.1625615763547,female,0-4,447,0.04048913043478261,0.0024541494780560033,0.002043513109533747,8.274006883710008e-05
2011,E02003411,E06000039,11040,138487,283,4669,0.06061255086742343,669.1625615763547,male,0-4,457,0.04139492753623188,0.002509052150943162,0.002043513109533747,8.459107708848934e-05
2011,E02003410,E06000039,11500,138487,298,4684,0.06362083689154568,731.6396242527753,female,0-4,583,0.050695652173913044,0.003225299818067055,0.0021518265252334153,0.00010908824906183314
2011,E02003410,E06000039,11500,138487,298,4684,0.06362083689154568,731.6396242527753,male,0-4,563,0.04895652173913043,0.003114654884342628,0.0021518265252334153,0.0001053459420614272
2011,E02003425,E06000040,10936,138487,349,3928,0.08884928716904276,971.6558044806517,female,0-4,433,0.03959400146305779,0.003517898806162721,0.0025200921386122886,9.97805318232554e-05
2011,E02003425,E06000040,10936,138487,349,3928,0.08884928716904276,971.6558044806517,male,0-4,463,0.04233723482077542,0.003761633134534272,0.0025200921386122886,0.00010669373264241858
2011,E02003688,E06000060,12173,138487,31,3766,0.008231545406266597,100.20260223048328,female,0-4,405,0.033270352419288586,0.0002738664166218657,0.00022384772577931504,7.447492724934082e-06
2011,E02003688,E06000060,12173,138487,31,3766,0.008231545406266597,100.20260223048328,male,0-4,427,0.035077630822311676,0.0002887431108581153,0.00022384772577931504,7.852047885300873e-06
2011,E02006823,E06000060,8537,138487,10,2444,0.004091653027823241,34.93044189852701,female,0-4,240,0.028112920229588848,0.00011502831517835044,7.220894379977904e-05,2.0300042769060524e-06
2011,E02006823,E06000060,8537,138487,10,2444,0.004091653027823241,34.93044189852701,male,0-4,207,0.024247393698020384,9.921192184132727e-05,7.220894379977904e-05,1.7508786888314702e-06
2011,E02003426,E06000040,9630,138487,316,3202,0.09868831980012492,950.368519675203,female,0-4,311,0.03229491173416407,0.003187130577137991,0.0022818026240730175,7.369061433922207e-05
2011,E02003426,E06000040,9630,138487,316,3202,0.09868831980012492,950.368519675203,male,0-4,320,0.033229491173416406,0.0032793626517175468,0.0022818026240730175,7.582314015611273e-05
2011,E02003702,E06000060,8430,138487,144,2540,0.05669291338582677,477.9212598425197,female,0-4,227,0.026927639383155396,0.0015266063272340066,0.0010398087907168181,2.799959614385738e-05
2011,E02003702,E06000060,8430,138487,144,2540,0.05669291338582677,477.9212598425197,male,0-4,226,0.026809015421115065,0.0015198811892285706,0.0010398087907168181,2.7876249905338186e-05
2011,E02003430,E06000040,6810,138487,128,2253,0.056813138038171326,386.8974700399467,female,0-4,160,0.023494860499265784,0.001334816752732366,0.0009242744806371718,2.1715699985601686e-05
2011,E02003430,E06000040,6810,138487,128,2253,0.056813138038171326,386.8974700399467,male,0-4,168,0.024669603524229075,0.0014015575903689843,0.0009242744806371718,2.280148498488177e-05
2011,E02003424,E06000040,8120,138487,241,2665,0.09043151969981238,734.3039399624765,female,0-4,194,0.023891625615763547,0.0021605560125324635,0.001740235545574675,4.1577056138114155e-05
2011,E02003424,E06000040,8120,138487,241,2665,0.09043151969981238,734.3039399624765,male,0-4,225,0.02770935960591133,0.002505799499071156,0.001740235545574675,4.822081253131797e-05
