year,msoa,ltla,ppln_msoa,total_trust_patients,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,tfp_msoa_ag,msoa_frac_tp,ag_msoa_frac_tp
2011,E02003517,E06000043,10801,159018,2639,2922,0.9031485284052019,9754.907255304586,female,0-4,210,0.019442644199611146,0.01755959549718474,0.01659560552893383,0.00032266245357616
2011,E02003517,E06000043,10801,159018,2639,2922,0.9031485284052019,9754.907255304586,male,0-4,197,0.01823905193963522,0.016472572918787592,0.01659560552893383,0.0003026881112119215
2011,E02004396,E07000064,8698,159018,132,3588,0.03678929765886288,319.99331103678935,female,0-4,130,0.01494596458956082,0.0005498515400841773,0.0008300947062596687,1.2406566085738897e-05
2011,E02004396,E07000064,8698,159018,132,3588,0.03678929765886288,319.99331103678935,male,0-4,123,0.014141181880892159,0.0005202441494642601,0.0008300947062596687,1.1738520219583726e-05
2011,E02004369,E07000062,9681,159018,155,3913,0.03961155123945822,383.479427549195,female,0-4,200,0.020659022828220224,0.0008183359413171824,0.0009747324202291564,2.013701932092049e-05
2011,E02004369,E07000062,9681,159018,155,3913,0.03961155123945822,383.479427549195,male,0-4,205,0.02117549839892573,0.000838794339850112,0.0009747324202291564,2.0640444803943504e-05
2011,E02005099,E07000111,7817,159018,11,1631,0.00674432863274065,52.72041692213366,female,0-4,231,0.02955097863630549,0.00019930151134234236,6.917455885497239e-05,2.0441759108991457e-06
2011,E02005099,E07000111,7817,159018,11,1631,0.00674432863274065,52.72041692213366,male,0-4,240,0.030702315466291416,0.00020706650529074528,6.917455885497239e-05,2.1238191282069046e-06
2011,E02004399,E07000064,7735,159018,159,3618,0.0439469320066335,339.92951907131015,female,0-4,153,0.01978021978021978,0.0008692799737575857,0.0009998868052673283,1.9777980763529568e-05
2011,E02004399,E07000064,7735,159018,159,3618,0.0439469320066335,339.92951907131015,male,0-4,169,0.021848739495798318,0.0009601850690524966,0.0009998868052673283,2.1846266333571876e-05
2011,E02004378,E07000062,8895,159018,132,3547,0.03721454750493375,331.0234000563857,female,0-4,248,0.027880831928049465,0.0010375725442634705,0.0008300947062596687,2.314373098958941e-05
2011,E02004378,E07000062,8895,159018,132,3547,0.03721454750493375,331.0234000563857,male,0-4,247,0.02776840921866217,0.0010333887840043435,0.0008300947062596687,2.305040949366365e-05
2011,E02000234,E09000008,8050,159018,8,3122,0.0025624599615631004,20.627802690582957,female,0-4,248,0.03080745341614907,7.894286589660235e-05,5.030877007634356e-05,1.5498850905507085e-06
2011,E02000234,E09000008,8050,159018,8,3122,0.0025624599615631004,20.627802690582957,male,0-4,265,0.03291925465838509,8.435427202661137e-05,5.030877007634356e-05,1.6561272136932972e-06
2011,E02005098,E07000111,9818,159018,9,2454,0.003667481662591687,36.007334963325185,female,0-4,288,0.029333876553269505,0.00010758145435184415,5.6597366335886505e-05,1.660220157337066e-06
2011,E02005098,E07000111,9818,159018,9,2454,0.003667481662591687,36.007334963325185,male,0-4,294,0.02994499898146262,0.0001098227346508409,5.6597366335886505e-05,1.694808077281588e-06
2011,E02004394,E07000064,7848,159018,114,2857,0.039901995099754985,313.15085754287713,female,0-4,161,0.020514780835881753,0.0008185806843859012,0.0007168999735878957,1.4707045839405099e-05
2011,E02004394,E07000064,7848,159018,114,2857,0.039901995099754985,313.15085754287713,male,0-4,157,0.020005096839959224,0.0007982432760781768,0.0007168999735878957,1.4341653396190064e-05
2011,E02004400,E07000064,10220,159018,207,4450,0.04651685393258427,475.40224719101127,female,0-4,152,0.01487279843444227,0.0006918357923437191,0.0013017394257253895,1.9360508092980352e-05
2011,E02004400,E07000064,10220,159018,207,4450,0.04651685393258427,475.40224719101127,male,0-4,115,0.011252446183953033,0.0005234283955232085,0.0013017394257253895,1.4647752833504872e-05
2011,E02004395,E07000064,7603,159018,112,2953,0.03792753132407721,288.363020656959,female,0-4,173,0.02275417598316454,0.0008630097223550385,0.0007043227810688098,1.602628450939157e-05
2011,E02004395,E07000064,7603,159018,112,2953,0.03792753132407721,288.363020656959,male,0-4,175,0.023017230040773377,0.0008729867133649232,0.0007043227810688098,1.621155947481806e-05
2011,E02006604,E07000228,12528,159018,1460,4937,0.295726149483492,3704.857200729188,female,0-4,387,0.03089080459770115,0.009135218698125112,0.0091813505389327,0.00028361930544116816
2011,E02006604,E07000228,12528,159018,1460,4937,0.295726149483492,3704.857200729188,male,0-4,381,0.030411877394636015,0.008993587400479761,0.0091813505389327,0.00027922210690719656
2011,E02005169,E07000116,8925,159018,14,2901,0.004825922095829024,43.07135470527404,female,0-4,264,0.02957983193277311,0.0001427499645152787,8.804034763360123e-05,2.604218686304843e-06
2011,E02005169,E07000116,8925,159018,14,2901,0.004825922095829024,43.07135470527404,male,0-4,322,0.03607843137254902,0.0001741116991436354,8.804034763360123e-05,3.1763576401142405e-06
2011,E02005008,E07000105,8102,159018,10,2779,0.0035984166966534724,29.154372076286435,female,0-4,154,0.019007652431498396,6.83974538736898e-05,6.288596259542945e-05,1.1953145198341319e-06
2011,E02005008,E07000105,8102,159018,10,2779,0.0035984166966534724,29.154372076286435,male,0-4,162,0.01999506294742039,7.195056836063472e-05,6.288596259542945e-05,1.2574087806047359e-06
2011,E02003505,E06000043,8982,159018,1765,1976,0.8932186234817814,8022.88967611336,female,0-4,224,0.024938766421732355,0.022275770614553443,0.011099372398093298,0.00027680465566387206
2011,E02003505,E06000043,8982,159018,1765,1976,0.8932186234817814,8022.88967611336,male,0-4,201,0.02237808951235805,0.019988526310380544,0.011099372398093298,0.000248382749055528
2011,E02006378,E07000211,8873,159018,8,2976,0.002688172043010753,23.85215053763441,female,0-4,307,0.03459934633156768,9.300899551496689e-05,5.030877007634356e-05,1.7406505593866193e-06
2011,E02006378,E07000211,8873,159018,8,2976,0.002688172043010753,23.85215053763441,male,0-4,278,0.03133100416995379,8.42231294891231e-05,5.030877007634356e-05,1.5762242850471665e-06
2011,E02004389,E07000063,9467,159018,717,3983,0.1800150640220939,1704.202611097163,female,0-4,181,0.01911904510404563,0.0034417161284460754,0.004508923518092291,8.620631211309863e-05
2011,E02004389,E07000063,9467,159018,717,3983,0.1800150640220939,1704.202611097163,male,0-4,192,0.020280976021971056,0.0036508811970256713,0.004508923518092291,9.144536975533113e-05
2011,E02006628,E07000229,9052,159018,198,3055,0.06481178396072013,586.6762684124386,female,0-4,366,0.040433053468846666,0.002620538326295136,0.0012451420593895032,5.0344895463605634e-05
2011,E02006628,E07000229,9052,159018,198,3055,0.06481178396072013,586.6762684124386,male,0-4,416,0.04595669465311533,0.002978535365406493,0.0012451420593895032,5.722261342311459e-05
2011,E02004370,E07000062,7697,159018,116,3292,0.03523693803159174,271.2187120291616,female,0-4,262,0.03403923606599974,0.0011994384519003554,0.0007294771661069817,2.4830845461872053e-05
2011,E02004370,E07000062,7697,159018,116,3292,0.03523693803159174,271.2187120291616,male,0-4,276,0.035858126542808885,0.0012635305829179315,0.0007294771661069817,2.6157684532353765e-05
2011,E02006431,E07000215,10543,159018,28,3235,0.00865533230293663,91.2531684698609,female,0-4,391,0.03708621834392488,0.00032099354362593403,0.00017608069526720246,6.530167110829571e-06
2011,E02006431,E07000215,10543,159018,28,3235,0.00865533230293663,91.2531684698609,male,0-4,337,0.03196433652660533,0.00027666195448066436,0.00017608069526720246,5.6283025993595026e-06
2011,E02006564,E07000225,7243,159018,22,2907,0.007567939456484348,54.81458548331613,female,0-4,177,0.02443738782272539,0.0001849406715170136,0.00013834911770994478,3.380891044409806e-06
2011,E02006564,E07000225,7243,159018,22,2907,0.007567939456484348,54.81458548331613,male,0-4,181,0.02498964517465139,0.00018912012172078794,0.00013834911770994478,3.4572953617975983e-06
2011,E02004374,E07000062,7731,159018,98,2832,0.0346045197740113,267.5275423728814,female,0-4,230,0.029750355710774803,0.0010294967724773767,0.0006162824334352086,1.833462161299935e-05
2011,E02004374,E07000062,7731,159018,98,2832,0.0346045197740113,267.5275423728814,male,0-4,232,0.030009054456085888,0.001038448918325006,0.0006162824334352086,1.84940531052863e-05
2011,E02004373,E07000062,8531,159018,116,3364,0.034482758620689655,294.17241379310343,female,0-4,244,0.028601570741999767,0.0009862610600689574,0.0007294771661069817,2.086419277108235e-05
2011,E02004373,E07000062,8531,159018,116,3364,0.034482758620689655,294.17241379310343,male,0-4,271,0.03176649865197515,0.0010953965052405224,0.0007294771661069817,2.3172935413784088e-05
2011,E02004377,E07000062,10562,159018,166,4453,0.037278239389175835,393.73276442847515,female,0-4,278,0.02632077258095058,0.0009811920611807311,0.001043906979084129,2.747643819214049e-05
2011,E02004377,E07000062,10562,159018,166,4453,0.037278239389175835,393.73276442847515,male,0-4,285,0.026983525847377392,0.0010058983361025482,0.001043906979084129,2.8168290952374242e-05
2011,E02006611,E07000228,10149,159018,2547,3104,0.8205541237113402,8327.803801546392,female,0-4,312,0.030741945019213717,0.02522542975642311,0.01601705467305588,0.0004923954141288241
2011,E02006611,E07000228,10149,159018,2547,3104,0.8205541237113402,8327.803801546392,male,0-4,308,0.030347817518967386,0.02490202681082794,0.01601705467305588,0.0004860826524092237
2011,E02006583,E07000226,8981,159018,167,3117,0.05357715752325955,481.176451716394,female,0-4,287,0.03195635229929852,0.001712130521008294,0.0010501955753436719,3.3560419788846876e-05
2011,E02006583,E07000226,8981,159018,167,3117,0.05357715752325955,481.176451716394,male,0-4,304,0.03384923727869948,0.0018135459177230713,0.0010501955753436719,3.554831921884827e-05
2011,E02006562,E07000225,5857,159018,24,2083,0.011521843494959194,67.483437349976,female,0-4,146,0.024927437254567184,0.0002872100307775384,0.00015092631022903068,3.7622061282975038e-06
2011,E02006562,E07000225,5857,159018,24,2083,0.011521843494959194,67.483437349976,male,0-4,148,0.025268908997780434,0.00029114441476079235,0.00015092631022903068,3.8137431985481546e-06
2011,E02006592,E07000227,6338,159018,136,2070,0.06570048309178744,416.4096618357488,female,0-4,135,0.021300094667087408,0.0013994265095284481,0.0008552490912978405,1.8216886608584482e-05
2011,E02006592,E07000227,6338,159018,136,2070,0.06570048309178744,416.4096618357488,male,0-4,149,0.02350899337330388,0.0015445522216276945,0.0008552490912978405,2.0106045219845098e-05
2011,E02006373,E07000210,7592,159018,21,2348,0.008943781942078365,67.90119250425894,female,0-4,210,0.027660695468914646,0.00024739122864020764,0.00013206052145040185,3.652885867305636e-06
2011,E02006373,E07000210,7592,159018,21,2348,0.008943781942078365,67.90119250425894,male,0-4,222,0.029241306638566913,0.00026152787027679096,0.00013206052145040185,3.861622202580244e-06
2011,E02006370,E07000210,6184,159018,8,1925,0.004155844155844156,25.69974025974026,female,0-4,156,0.025226390685640362,0.00010483694830395995,5.030877007634356e-05,1.2691086888598958e-06
2011,E02006370,E07000210,6184,159018,8,1925,0.004155844155844156,25.69974025974026,male,0-4,191,0.030886157826649416,0.0001283580585003612,5.030877007634356e-05,1.5538446126425646e-06
2011,E02006597,E07000227,9429,159018,268,3354,0.07990459153249851,753.4203935599285,female,0-4,287,0.030438010393466965,0.0024321367875519222,0.0016853437975575091,5.129851202662055e-05
2011,E02006597,E07000227,9429,159018,268,3354,0.07990459153249851,753.4203935599285,male,0-4,308,0.032665181885671864,0.0026100980159093796,0.0016853437975575091,5.5052061687104976e-05
2011,E02006372,E07000210,6439,159018,15,2196,0.006830601092896175,43.98224043715847,female,0-4,192,0.029818294766268055,0.00020367687681877085,9.432894389314417e-05,2.812728253996534e-06
2011,E02006372,E07000210,6439,159018,15,2196,0.006830601092896175,43.98224043715847,male,0-4,215,0.03339027799347725,0.0002280756693543528,9.432894389314417e-05,3.1496696594232016e-06
2011,E02006371,E07000210,7024,159018,15,2556,0.005868544600938967,41.220657276995304,female,0-4,176,0.025056947608200455,0.00014704781460211534,9.432894389314417e-05,2.3635954050673936e-06
2011,E02006371,E07000210,7024,159018,15,2556,0.005868544600938967,41.220657276995304,male,0-4,213,0.030324601366742598,0.00017796127562642368,9.432894389314417e-05,2.8604876209054257e-06
2011,E02004403,E07000065,6520,159018,621,2209,0.2811226799456768,1832.9198732458128,female,0-4,130,0.019938650306748466,0.005605206808732819,0.0039052182771761685,7.786478160013833e-05
2011,E02004403,E07000065,6520,159018,621,2209,0.2811226799456768,1832.9198732458128,male,0-4,127,0.019478527607361962,0.005475855882377446,0.0039052182771761685,7.606790202475052e-05
2011,E02006627,E07000229,8527,159018,232,3350,0.06925373134328358,590.5265671641791,female,0-4,229,0.026855869590711855,0.001859869177625418,0.0014589543322139633,3.91814872847423e-05
2011,E02006627,E07000229,8527,159018,232,3350,0.06925373134328358,590.5265671641791,male,0-4,264,0.030960478480121966,0.0021441286589218792,0.0014589543322139633,4.516992420599112e-05
2011,E02006601,E07000227,8132,159018,1049,3119,0.33632574543122795,2735.0009618467457,female,0-4,202,0.02484013772749631,0.008354377837814566,0.006596737476260549,0.00016386386746244848
2011,E02006601,E07000227,8132,159018,1049,3119,0.33632574543122795,2735.0009618467457,male,0-4,204,0.025086079685194294,0.008437094450070156,0.006596737476260549,0.00016548628199177965
2011,E02006543,E07000224,5549,159018,125,2096,0.059637404580152674,330.92795801526717,female,0-4,127,0.022887006667868085,0.001364921676280301,0.0007860745324428681,1.7990893065461208e-05
2011,E02006543,E07000224,5549,159018,125,2096,0.059637404580152674,330.92795801526717,male,0-4,130,0.02342764462065237,0.0013971639206018828,0.0007860745324428681,1.8415874791416987e-05
2011,E02004381,E07000063,9629,159018,2691,3111,0.8649951783992286,8329.038572806172,female,0-4,261,0.027105618444282897,0.023446229261833904,0.016922612534430066,0.0004586978784387005
2011,E02004381,E07000063,9629,159018,2691,3111,0.8649951783992286,8329.038572806172,male,0-4,294,0.03053276560390487,0.026410695030571522,0.016922612534430066,0.0005166941619194558
2011,E02006625,E07000229,8049,159018,185,2618,0.0706646294881589,568.779602750191,female,0-4,258,0.032053671263511,0.0022650608035712505,0.0011633903080154448,3.729093048428187e-05
2011,E02006625,E07000229,8049,159018,185,2618,0.0706646294881589,568.779602750191,male,0-4,318,0.03950801341781588,0.0027918191299831693,0.0011633903080154448,4.596323989923114e-05
2011,E02006552,E07000224,7132,159018,121,2891,0.041854029747492215,298.5029401591145,female,0-4,189,0.026500280426247896,0.001109143525277065,0.0007609201474046963,2.0164597288206337e-05
2011,E02006552,E07000224,7132,159018,121,2891,0.041854029747492215,298.5029401591145,male,0-4,261,0.03659562535053281,0.0015316743920492804,0.0007609201474046963,2.7846348636094468e-05
2011,E02006541,E07000223,7528,159018,268,3454,0.07759119861030689,584.1065431383903,female,0-4,223,0.029622741764080765,0.0022984640395986235,0.0016853437975575091,4.9924504098741304e-05
2011,E02006541,E07000223,7528,159018,268,3454,0.07759119861030689,584.1065431383903,male,0-4,219,0.029091392136025504,0.002257235985076675,0.0016853437975575091,4.902899729876388e-05
2011,E02006535,E07000223,6650,159018,300,2534,0.11838989739542226,787.292817679558,female,0-4,162,0.024360902255639097,0.002884084718505023,0.0018865788778628834,4.595876364117099e-05
2011,E02006535,E07000223,6650,159018,300,2534,0.11838989739542226,787.292817679558,male,0-4,194,0.02917293233082707,0.0034537804653702133,0.0018865788778628834,5.503703794066156e-05
2011,E02006566,E07000225,7643,159018,15,2855,0.005253940455341506,40.155866900175134,female,0-4,154,0.020149156090540365,0.00010586246632508072,9.432894389314417e-05,1.9006486143587862e-06
2011,E02006566,E07000225,7643,159018,15,2855,0.005253940455341506,40.155866900175134,male,0-4,166,0.02171922020149156,0.00011411148967508701,9.432894389314417e-05,2.0487511037893406e-06
2011,E02006630,E07000229,8139,159018,200,3596,0.05561735261401557,452.66963292547274,female,0-4,179,0.02199287381742229,0.0012231854180991262,0.001257719251908589,2.7660860804968358e-05
2011,E02006630,E07000229,8139,159018,200,3596,0.05561735261401557,452.66963292547274,male,0-4,240,0.029487652045705862,0.0016400251415854205,0.001257719251908589,3.708718767146595e-05
2011,E02006548,E07000224,9478,159018,197,3564,0.055274971941638606,523.8961840628507,female,0-4,294,0.0310192023633678,0.001714585540287165,0.0012388534631299602,3.842824627138725e-05
2011,E02006548,E07000224,9478,159018,197,3564,0.055274971941638606,523.8961840628507,male,0-4,302,0.03186326229162271,0.0017612409291385166,0.0012388534631299602,3.947391283659506e-05
2011,E02006633,E07000229,8025,159018,238,3381,0.07039337474120083,564.9068322981367,female,0-4,132,0.01644859813084112,0.0011578723321917146,0.0014966859097712208,2.4618385057919144e-05
2011,E02006633,E07000229,8025,159018,238,3381,0.07039337474120083,564.9068322981367,male,0-4,160,0.019937694704049845,0.0014034816147778359,0.0014966859097712208,2.9840466736871695e-05
2011,E02006559,E07000224,8138,159018,15,3576,0.0041946308724832215,34.13590604026846,female,0-4,122,0.014991398377979848,6.288338245796916e-05,9.432894389314417e-05,1.4141227764762337e-06
2011,E02006559,E07000224,8138,159018,15,3576,0.0041946308724832215,34.13590604026846,male,0-4,172,0.021135414106660113,8.86552605145139e-05,9.432894389314417e-05,1.9936812914255096e-06
2011,E02006539,E07000223,7096,159018,248,2921,0.08490243067442657,602.4676480657309,female,0-4,179,0.025225479143179255,0.00214170449418297,0.0015595718723666503,3.934094773867396e-05
2011,E02006539,E07000223,7096,159018,248,2921,0.08490243067442657,602.4676480657309,male,0-4,191,0.026916572717023676,0.0022852824491002644,0.0015595718723666503,4.197832970998171e-05
2011,E02006598,E07000227,5499,159018,946,1793,0.5276073619631901,2901.3128834355825,female,0-4,123,0.02236770321876705,0.01180136488842924,0.005949012061527626,0.00013306573623711546
2011,E02006598,E07000227,5499,159018,946,1793,0.5276073619631901,2901.3128834355825,male,0-4,155,0.028186943080560103,0.014871638680540911,0.005949012061527626,0.00016768446436384472
2011,E02006549,E07000224,5867,159018,158,2547,0.06203376521397723,363.9521005104044,female,0-4,79,0.013465144025907618,0.0008352935830755413,0.0009935982090077853,1.337894298817369e-05
2011,E02006549,E07000224,5867,159018,158,2547,0.06203376521397723,363.9521005104044,male,0-4,82,0.013976478609169934,0.0008670135925594227,0.0009935982090077853,1.3887004114306868e-05
2011,E02006550,E07000224,9428,159018,233,3890,0.05989717223650386,564.7105398457584,female,0-4,180,0.019092066185829443,0.0011435607766833574,0.001465242928473506,2.7974514968734736e-05
