ltla,sex,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E06000001,female,2811,2549,2780,3104,2930,2977,2672,2648,3368,3677,3274,2848,2929,2186,2125,1848,1311,862,429
E06000001,male,2954,2619,2839,3177,2959,2703,2400,2628,3115,3537,3251,2753,2898,2136,1775,1470,935,475,136
E06000002,female,4707,4119,4198,4870,5534,4970,4173,4119,4651,5075,4691,4100,3797,2928,2735,2417,1864,1105,624
E06000002,male,4772,4247,4211,5057,6153,4838,4108,3944,4268,4801,4535,3851,3744,2830,2385,1868,1278,590,211
E06000003,female,3660,3389,3793,4268,4020,4001,3649,3897,4916,5366,4791,4389,4847,4048,3483,2705,2168,1377,743
E06000003,male,3944,3731,3925,4601,4020,3696,3329,3616,4449,5105,4644,4114,4579,3862,3148,2306,1542,784,259
E06000004,female,6101,5377,5426,6149,6063,6405,5942,6037,7149,7560,6905,5858,5925,4514,3895,3385,2572,1578,814
E06000004,male,6240,5736,5942,6650,6470,6232,5661,5764,6852,7111,6565,5810,5692,4350,3473,2739,1741,846,295
E06000005,female,3247,2916,3117,3120,3103,3369,3243,3513,3876,4022,3719,3156,3386,2656,2374,1973,1571,1132,631
E06000005,male,3318,3230,3074,3324,2927,3170,3194,3229,3745,4015,3548,3169,3284,2631,2106,1611,1051,615,219
E06000006,female,4142,3670,3783,3937,3992,4140,3917,4255,4591,4701,4501,4199,4279,2962,2417,2074,1468,879,493
E06000006,male,4128,3805,3787,4122,3931,4025,3711,3925,4471,4589,4225,3936,4312,2895,2161,1574,1088,481,156
E06000007,female,6123,5620,5899,5998,5859,6146,6238,6897,8171,8254,6788,5867,6337,5236,4365,3221,2589,1649,948
E06000007,male,6263,5995,6301,6572,6183,6389,6074,7032,7837,8368,7008,5881,6101,4876,3883,2841,1730,869,301
E06000008,female,5554,5161,4973,4939,4881,5572,4885,4958,5309,4953,4414,3986,3876,2919,2386,1995,1616,1047,611
E06000008,male,5707,5357,5310,5426,4690,5442,5012,5064,5483,4953,4588,4000,4013,2850,2229,1688,1085,503,222
E06000009,female,4039,3647,3978,4355,4286,4385,3887,4206,5188,5474,4688,4221,4655,3944,3474,2952,2331,1605,1018
E06000009,male,4173,3862,4012,4342,4206,4217,3942,4192,5251,5624,4971,4238,4686,3868,3103,2325,1569,816,350
E06000010,female,8432,6853,6627,8223,11788,10140,8338,8206,8572,8856,8048,6778,6831,5041,4529,4080,3316,2051,1081
E06000010,male,8959,7265,7166,8688,12266,10225,9028,8879,8971,9123,8005,6977,6972,4815,4044,3274,2166,1091,419
E06000011,female,7955,8224,9180,9941,7502,7458,8009,10120,12452,13127,12008,11552,13775,11079,9179,7709,5632,3826,2327
E06000011,male,8462,8392,9467,10508,8260,7683,7839,9607,11854,12963,12089,10925,13033,10594,8368,6385,4186,2170,833
E06000012,female,4862,4472,4527,5000,5250,5115,4425,4716,5788,6076,5433,4779,5079,4075,3722,3146,2422,1575,966
E06000012,male,5139,4580,4658,5248,5240,4875,4366,4882,5549,5885,5376,4815,5087,3930,3143,2593,1708,890,343
E06000013,female,4993,4600,4738,4847,4795,5045,4515,5071,6236,6360,5832,5513,5697,4723,3686,3183,2433,1693,953
E06000013,male,5228,4831,4807,5289,4678,4942,4636,4903,6135,6495,5852,5407,5755,4486,3545,2615,1801,870,328
E06000014,female,5247,4646,4718,6772,10098,6865,6375,6161,7015,6895,6138,5431,6032,4904,4253,3689,3030,2037,1216
E06000014,male,5394,4793,4942,6554,9893,7201,6344,6203,6817,6756,5960,5265,5575,4435,3540,2954,1983,1183,469
E06000015,female,8681,7246,7204,7943,9913,9214,8447,8173,8946,8886,7244,6270,6380,5363,4561,4225,3519,2345,1253
E06000015,male,9127,7843,7611,8518,10114,9000,8204,8386,9040,8831,7416,6206,6203,4980,4049,3385,2472,1243,502
E06000016,female,12013,10199,9674,11741,18600,14829,12203,10770,10629,10034,9626,8156,7031,5170,4833,4114,3375,2316,1264
E06000016,male,12347,10707,10415,11753,16957,14675,13235,11156,10365,10103,9434,8400,7179,4922,4042,3246,2247,1306,561
E06000017,female,917,897,1070,1384,731,822,866,1026,1312,1329,1278,1193,1323,1253,974,724,647,435,296
E06000017,male,917,984,1206,1598,1034,1139,1030,1119,1359,1341,1253,1148,1343,1157,902,716,465,286,107
E06000018,female,9725,7916,7750,12526,21404,12327,10335,9328,9639,9132,7836,6700,5943,4809,4399,4025,3417,2308,1192
E06000018,male,10357,8559,8107,12328,21600,13679,12213,10056,9890,9435,8057,6742,6700,4606,3745,3134,2251,1254,475
E06000019,female,4621,4432,5149,5277,4475,4670,4736,5101,6463,7058,6442,6378,6899,6003,4621,4023,3243,2308,1359
E06000019,male,4936,4738,5257,5513,4902,5003,4950,5118,6279,6970,6298,5922,6656,5700,4385,3576,2418,1250,490
E06000020,female,5596,5150,5238,5613,5230,5381,5175,5325,6366,6294,5403,5000,5167,4082,3129,2458,1767,1149,698
E06000020,male,5830,4939,5276,5910,5564,5455,5183,5656,6483,6401,5188,4852,4813,3976,2920,2003,1309,626,226
E06000021,female,8505,6990,6888,7729,9560,8983,7765,7791,8626,8387,7761,6956,7374,5868,4887,4167,3356,2096,1113
E06000021,male,8663,7343,7234,8011,9499,9178,8110,8115,9139,8919,7825,7125,7240,5904,4439,3366,2291,1178,338
E06000022,female,4472,4201,4678,6301,8037,4757,4750,5332,6185,6505,5731,5210,5484,4673,3795,3265,2930,2059,1228
E06000022,male,4759,4539,4880,6295,8208,5295,4803,5115,6014,6282,5493,4905,5248,4310,3340,2733,2077,1182,467
E06000023,female,14463,11449,10754,13009,22205,20055,17600,14554,13787,13510,11744,10156,9963,7766,6489,6008,5027,3773,2397
E06000023,male,15181,11620,10919,12785,22332,20679,19084,15814,14559,13675,11745,10260,10098,7684,5944,4665,3533,1971,817
E06000024,female,5603,5419,5635,5558,4778,5153,5524,6317,7632,7701,6996,6531,7583,6487,5047,4365,3539,2752,1731
E06000024,male,6118,5674,5877,5922,4700,5156,5191,6099,7406,7741,6497,6196,7037,6274,4531,3662,2580,1455,624
E06000025,female,7878,7229,7611,8471,7464,7645,8033,8651,10403,10737,8592,7566,7973,6963,5528,4799,3510,2284,1381
E06000025,male,8143,7514,8149,9180,8039,7931,7861,8552,10277,10688,8861,7466,7747,6697,5021,4014,2677,1361,521
E06000026,female,7528,6375,6595,8350,11627,9170,7742,7667,9102,8891,8133,7186,7645,6268,5196,4506,3533,2355,1502
E06000026,male,7848,6692,6963,8847,13007,9814,7887,7687,8638,8725,8285,6832,7358,6099,4580,3669,2492,1272,523
E06000027,female,3356,3055,3413,3648,3297,3410,3267,3545,4526,4927,4539,4312,5328,4496,3590,3188,2627,2068,1395
E06000027,male,3443,3278,3598,3944,3436,3274,2916,3404,4295,4660,4308,4109,4756,4356,3283,2671,1823,1121,531
E06000030,female,6918,5937,6139,6123,6505,7632,7518,7735,8139,8046,6833,5804,5596,4399,3497,3070,2454,1650,849
E06000030,male,7244,6332,6255,6418,6271,7451,7731,8434,8699,8423,7150,5863,5444,4218,3182,2556,1870,992,332
