ltla,sex,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E06000019,male,5118,5259,4899,5258,4832,5676,5453,5013,5526,6633,7056,6261,6067,6594,5097,3897,2638,1538,570
E06000020,female,5552,5636,5117,5313,5429,5326,5552,5194,5724,6369,6088,5180,4866,4895,3599,2802,1953,1153,760
E06000020,male,5735,5811,4955,5603,5919,5303,5593,5265,6009,6493,6083,4892,4653,4485,3459,2381,1489,761,280
E06000021,female,8769,8033,6667,7117,9114,9084,8623,7120,7933,8326,8202,7362,6678,6927,5243,4323,3236,2098,1181
E06000021,male,9108,8091,7023,7509,9406,9177,8935,7584,8141,8783,8598,7407,6619,6688,5062,3614,2303,1237,425
E06000022,female,4603,4817,4460,6386,9851,5479,4732,4981,5723,6270,6417,5480,5051,5349,4188,3516,2805,2014,1374
E06000022,male,4961,5070,4795,6587,10429,6078,4923,4662,5495,6027,6096,5285,4665,5000,3804,2913,2144,1263,594
E06000023,female,15089,13202,10737,13288,24464,22259,19059,14989,13422,13125,12647,10932,9354,9006,6939,5816,4926,3477,2546
E06000023,male,15723,13783,10890,13491,23828,23596,20458,16876,14277,13381,12584,10568,9270,8902,6292,4926,3477,2060,981
E06000024,female,5858,5801,5584,5490,4692,5245,5882,6141,7040,7933,7681,6947,6669,7705,5958,4724,3826,2554,1966
E06000024,male,6174,6449,5716,5869,4924,5049,5432,5769,6842,7669,7633,6451,6189,7072,5676,4071,2847,1593,820
E06000025,female,7976,8218,7325,8003,7841,8439,8720,8542,9334,10611,10200,8214,7280,7748,6438,5085,4022,2426,1598
E06000025,male,8386,8555,7516,8578,9040,8391,8680,8462,9172,10393,10302,8205,7095,7288,5964,4423,3119,1646,717
E06000026,female,7832,7177,6271,8062,11742,8840,8712,7291,7920,9035,8718,7746,6906,7352,5584,4751,3692,2313,1596
E06000026,male,8178,7527,6558,8467,13515,9447,9060,7276,7691,8385,8470,7905,6340,6925,5270,3939,2773,1413,707
E06000027,female,3649,3368,3174,3513,3236,3488,3409,3323,3956,4706,5111,4668,4607,5340,4130,3355,2667,1923,1377
E06000027,male,3706,3570,3321,3790,3407,3477,3207,2895,3812,4516,4828,4473,4247,5013,3937,2884,2053,1060,595
E06000030,female,7390,6895,5913,6128,5774,7399,8112,7477,7983,8124,7852,6509,5589,5373,4016,3229,2590,1692,1039
E06000030,male,7754,7293,6219,6309,5751,7037,7799,7687,8535,8598,8169,6673,5544,5092,3653,2794,1964,1119,510
E06000031,female,7688,6643,5473,5509,5430,7374,7681,6683,6404,6547,6251,5257,4824,4382,3256,2735,2340,1567,883
E06000031,male,8226,7004,5770,5690,5924,7726,7743,7050,6702,6672,6039,5114,4344,4410,2925,2366,1693,925,407
E06000032,female,8719,7798,6647,6606,7376,8878,9072,7477,6613,6750,6490,5186,4292,3833,3009,2899,2144,1262,829
E06000032,male,9247,8466,7105,6653,7773,9524,9554,7930,6986,6559,6506,5297,4239,3658,2719,2509,1718,886,372
E06000033,female,5577,5516,4724,4947,4759,5550,6050,6007,6427,6694,6163,5191,4800,5338,4100,3259,2715,2061,1530
E06000033,male,5824,5695,4931,5169,4825,5278,5780,5987,6355,6444,6447,5349,4678,4891,3531,2823,2005,1231,583
E06000034,female,6238,6046,4920,4854,4738,6084,6568,6316,6181,6112,5435,4313,3875,4009,2804,2265,1620,1161,678
E06000034,male,6518,6098,5140,5072,4736,5496,5885,5924,6142,6306,5630,4577,3958,3888,2450,1834,1220,673,276
E06000035,female,9025,8692,8029,8313,9880,9617,9217,8790,9084,9982,9696,8324,6938,7354,5268,4208,3021,1959,1236
E06000035,male,9526,9150,8201,9208,9663,9872,9052,8715,9166,9962,9626,8063,6919,7037,4881,3617,2283,1130,472
E06000036,female,3958,4098,3390,3535,3002,3907,4433,4739,4563,4690,4443,3647,2921,2751,1967,1648,1198,811,531
E06000036,male,4064,4173,3582,3917,3193,3904,4149,4187,4601,4625,4527,3712,2947,2602,1736,1373,945,511,225
E06000037,female,4751,4899,4708,4793,3410,4134,4572,5140,6038,6258,6026,5063,4604,4673,3511,2580,2031,1272,861
