ltla,sex,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E06000001,female,2651,2882,2578,2692,2845,3050,2967,2657,2685,3365,3644,3212,2756,2780,2021,1864,1465,893,544
E06000001,male,2833,3008,2662,2832,2898,3020,2705,2371,2637,3100,3477,3198,2645,2737,1907,1436,1092,526,210
E06000002,female,4739,4618,3976,4373,5696,4953,4685,3983,3945,4468,4926,4520,3914,3548,2663,2346,1852,1177,630
E06000002,male,5087,4702,4149,4588,6480,5523,4470,3728,3854,4122,4613,4290,3619,3378,2444,1921,1374,734,238
E06000003,female,3710,3796,3477,3687,3701,4114,4045,3670,3953,4936,5365,4811,4355,4716,3802,3087,2189,1386,877
E06000003,male,4000,4018,3803,3812,4068,3939,3591,3305,3584,4461,5076,4610,4014,4351,3511,2702,1678,904,392
E06000004,female,5821,6322,5485,5387,5780,6296,6689,6046,6092,7024,7435,6692,5688,5648,4186,3457,2735,1713,1008
E06000004,male,6298,6531,5806,5894,6518,6465,6341,5610,5714,6802,6937,6375,5475,5300,3920,2927,2046,1062,433
E06000005,female,3088,3203,2915,2925,2776,3359,3359,3254,3537,3916,4052,3673,3066,3271,2494,2153,1676,1087,719
E06000005,male,3282,3258,3233,2952,2743,3158,3104,3237,3180,3758,3952,3411,3050,3072,2396,1801,1255,644,318
E06000006,female,3821,4175,3698,3585,3648,4223,4128,3926,4283,4551,4660,4434,4082,4071,2691,2055,1665,926,511
E06000006,male,4093,4225,3845,3708,3720,3951,4031,3615,3875,4457,4459,4078,3761,3971,2578,1798,1134,623,251
E06000007,female,6028,6344,5780,5628,5311,6526,6751,6687,6981,8162,8146,6622,5716,6085,4967,4026,2661,1738,1072
E06000007,male,6449,6526,6163,6080,5901,6651,6691,6434,7213,7894,8273,6736,5630,5695,4478,3286,2185,1030,427
E06000008,female,5357,5512,5055,4712,4335,5044,5374,4762,4780,5080,4793,4221,3714,3543,2616,2041,1508,1027,567
E06000008,male,5675,5563,5266,5190,4898,4929,5280,4956,4835,5306,4772,4293,3651,3551,2425,1805,1188,617,221
E06000009,female,4194,3884,3655,3933,4124,4391,4068,3698,4138,5229,5330,4573,4021,4384,3503,2933,2286,1453,993
E06000009,male,4355,4056,3819,3969,4088,4476,4032,3784,4088,5141,5584,4834,3995,4240,3357,2471,1638,883,383
E06000010,female,8666,7985,6705,7004,10944,11215,9558,7590,7698,8246,8600,7720,6358,6288,4533,3903,3107,2007,1058
E06000010,male,9183,8577,7061,7572,11441,11912,9733,8330,8268,8446,8635,7614,6483,6293,4147,3230,2275,1159,491
E06000011,female,7596,8809,8652,9064,6975,7564,7904,8884,10653,12739,13386,12331,11903,13774,10637,8372,6387,3938,2500
E06000011,male,8402,9223,8876,9658,8570,7724,7669,8087,9973,12164,13286,12175,11111,13054,9876,7266,4924,2611,1087
E06000012,female,4911,4880,4487,4320,4338,5467,5023,4368,4670,5756,5968,5307,4646,4848,3797,3307,2534,1683,1028
E06000012,male,4937,5152,4575,4518,4623,5435,4780,4299,4770,5477,5775,5226,4606,4734,3526,2645,1964,1018,430
E06000013,female,4700,5175,4633,4559,4211,5154,5204,4705,5110,6270,6441,5866,5434,5593,4427,3253,2591,1656,1180
E06000013,male,4800,5434,4941,4743,4693,5085,5192,4761,5060,6101,6524,5895,5314,5556,4092,3003,1979,1060,412
E06000014,female,4958,5331,4735,7143,11490,7400,6362,6106,6034,6951,6802,5983,5314,5854,4704,3802,3096,2125,1374
E06000014,male,5282,5557,4886,6535,11200,8405,6798,6100,5953,6641,6636,5859,5029,5213,4105,3062,2244,1235,616
E06000015,female,8655,8688,7229,7683,8974,9510,8898,8310,7855,8811,8608,7021,6030,6164,5039,4110,3527,2458,1578
E06000015,male,8839,9110,7909,8214,10034,9878,8829,7871,7937,8738,8410,7060,5839,5746,4512,3419,2575,1495,640
E06000016,female,12791,11933,10283,11602,19127,15426,13235,11267,10215,10194,9625,9142,7705,6533,4706,4185,3267,2318,1528
E06000016,male,13287,12195,10726,12165,19300,15889,13543,12189,10576,9868,9728,8935,7789,6457,4276,3219,2353,1299,637
E06000017,female,882,959,1043,1207,809,788,827,973,1100,1393,1389,1321,1254,1413,1229,894,663,495,350
E06000017,male,948,984,1131,1438,1131,1227,1105,1113,1181,1412,1415,1290,1216,1407,1122,812,570,301,157
E06000018,female,10497,9416,7974,12797,24684,13860,10837,9194,8627,9239,8916,7490,6465,5524,4359,3770,3164,2152,1443
E06000018,male,10831,10115,8596,12488,25356,15558,12206,10735,9255,9339,8953,7599,6216,6096,3975,3007,2260,1250,536
E06000019,female,4576,5062,4748,4912,4165,5210,5102,5150,5357,6752,7192,6762,6589,6882,5755,4220,3365,2301,1545
E06000019,male,5010,5356,5017,5021,4679,5786,5506,5167,5286,6502,7186,6461,6133,6618,5389,3861,2763,1513,633
E06000020,female,5427,5772,5270,5338,5359,5300,5722,5354,5459,6383,6236,5361,4869,4938,3829,2828,2006,1166,775
E06000020,male,5733,5966,5084,5475,5905,5491,5740,5383,5748,6560,6265,5068,4670,4554,3541,2530,1523,794,305
E06000021,female,8725,8166,6872,7012,8948,9194,8688,7367,7539,8371,8277,7544,6798,6973,5401,4292,3264,2134,1187
E06000021,male,9196,8356,7210,7526,9075,9577,8960,7810,7810,8826,8649,7567,6821,6605,5210,3627,2366,1252,464
E06000022,female,4666,4961,4506,6697,10215,5775,4770,4917,5569,6177,6462,5608,5065,5330,4429,3491,2766,2037,1362
E06000022,male,4921,5224,4924,6829,10678,6427,5044,4728,5180,5991,6142,5369,4755,4979,3991,2930,2157,1269,605
E06000023,female,15005,13495,11070,13272,24688,23494,19010,15417,13344,12842,12850,11059,9468,9077,7066,5708,4888,3390,2568
E06000023,male,15682,14150,11267,13176,23949,25148,20618,17201,13974,13395,12821,10695,9260,8890,6564,4921,3457,2054,1033
E06000024,female,5803,5986,5644,5456,4673,5286,5901,6347,6807,7929,7870,7057,6682,7688,6345,4758,3870,2551,1969
E06000024,male,6126,6551,5893,5740,4958,5186,5379,5887,6625,7642,7859,6553,6163,7033,5992,4104,2948,1657,829
E06000025,female,7951,8410,7435,7745,8052,8656,8743,8924,8863,10467,10582,8406,7324,7731,6641,5109,4104,2598,1628
E06000025,male,8283,8727,7684,8534,9349,8399,8943,8697,8836,10256,10394,8578,7060,7314,6141,4397,3215,1753,748
E06000026,female,7759,7462,6400,7834,11656,8766,8679,7435,7522,8991,8742,8029,6918,7325,5932,4668,3759,2410,1545
E06000026,male,8088,7783,6702,8107,13311,9929,9094,7518,7319,8212,8539,8072,6465,6812,5551,3941,2807,1520,753
E06000027,female,3613,3504,3228,3330,3167,3488,3376,3409,3718,4805,5159,4747,4595,5417,4392,3308,2679,1899,1387
E06000027,male,3741,3631,3444,3600,3358,3493,3302,2905,3575,4480,4895,4605,4352,4899,4208,2918,2079,1091,609
E06000030,female,7330,7071,5991,6099,5454,7374,7952,7610,7764,8117,8027,6794,5685,5478,4223,3207,2540,1760,1068
E06000030,male,7749,7425,6404,6145,5624,6878,7719,7787,8279,8622,8227,7011,5691,5171,3837,2781,2001,1170,515
