ltla,sex,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E06000001,female,2747,2797,2482,2848,2888,3025,2816,2521,3031,3504,3550,3043,2719,2663,1967,1914,1490,863,517
E06000001,male,2911,2880,2706,2948,2896,2933,2631,2303,2917,3272,3423,3005,2672,2674,1724,1529,1078,536,183
E06000002,female,4814,4401,3897,4452,5653,4965,4614,3767,4319,4671,4883,4428,3723,3376,2626,2396,1885,1109,676
E06000002,male,5097,4502,3971,4698,6479,5240,4130,3738,4039,4349,4533,4146,3538,3299,2327,2005,1367,647,231
E06000003,female,3838,3606,3419,3831,3940,4134,3866,3466,4408,5178,5114,4560,4396,4716,3549,3039,2149,1361,861
E06000003,male,4083,3952,3628,4136,4033,3915,3495,3175,3984,4766,4953,4402,4015,4415,3286,2594,1621,873,345
E06000004,female,6071,6040,5226,5612,6100,6470,6442,5783,6591,7159,7355,6287,5580,5427,3927,3547,2795,1529,978
E06000004,male,6405,6125,5649,6160,6605,6420,6157,5307,6297,7030,6776,6111,5465,5082,3626,2946,2003,929,411
E06000005,female,3163,3190,2844,3113,2995,3274,3407,3194,3783,3934,3890,3437,3143,3199,2305,2179,1557,1097,698
E06000005,male,3338,3242,3067,3106,2798,3134,3208,3074,3519,3839,3757,3270,2971,3147,2172,1760,1130,679,264
E06000006,female,4015,4019,3574,3658,3829,4172,4149,3883,4508,4491,4684,4364,4039,3673,2571,2104,1597,917,505
E06000006,male,4195,4222,3613,3835,3813,3961,3860,3648,4239,4432,4380,3998,3904,3663,2393,1770,1076,552,195
E06000007,female,6188,6035,5690,5864,5606,6484,6736,6346,7645,8210,7673,6252,5707,5969,4746,3736,2586,1673,1035
E06000007,male,6430,6402,6138,6149,6150,6394,6658,6363,7620,8118,7860,6282,5615,5690,4099,3229,1951,961,391
E06000008,female,5355,5404,4924,4818,4403,5294,5298,4482,5092,5074,4738,4069,3600,3421,2473,2061,1566,1040,576
E06000008,male,5730,5468,5152,5360,4714,4944,5326,4716,5165,5225,4746,4113,3662,3415,2294,1821,1104,548,225
E06000009,female,4203,3882,3643,4129,4352,4396,4042,3657,4658,5394,5170,4417,3957,4481,3451,2965,2250,1541,1020
E06000009,male,4198,4053,3737,4171,4301,4335,4003,3615,4650,5414,5379,4672,3983,4334,3161,2462,1607,863,352
E06000010,female,8738,7572,6308,7357,11554,10545,9118,7340,8128,8425,8639,7205,6368,6094,4408,4033,3186,1986,1155
E06000010,male,9239,8117,6722,7778,12327,10853,9258,8205,8562,8779,8596,7176,6465,6028,3865,3415,2231,1147,492
E06000011,female,7871,8575,8606,9624,7468,7706,8028,8870,11465,13069,12981,11935,12056,13431,9768,8235,6082,3735,2481
E06000011,male,8477,8967,8881,10116,8546,7779,7847,8485,10962,12456,12953,11572,11346,12770,8923,7104,4693,2406,973
E06000012,female,5034,4755,4281,4589,4878,5410,4894,4175,5236,5961,5781,5052,4606,4815,3631,3284,2494,1609,1043
E06000012,male,5092,5048,4330,4848,4983,5353,4565,4235,5259,5590,5779,4908,4626,4652,3292,2694,1920,909,408
E06000013,female,4837,5009,4529,4602,4575,5173,5065,4536,5608,6388,6164,5690,5398,5379,4061,3250,2537,1622,1176
E06000013,male,4941,5312,4806,4901,4730,5053,4928,4522,5492,6362,6367,5556,5314,5343,3815,2957,1859,969,387
E06000014,female,5186,5153,4553,6928,11394,6958,6408,5910,6558,6844,6757,5665,5300,5854,4394,3950,2976,2040,1361
E06000014,male,5440,5309,4726,6814,11085,7396,6707,5854,6486,6713,6409,5565,5087,5220,3651,3110,2121,1189,583
E06000015,female,8894,8145,6916,7533,9510,9407,8829,7747,8414,8940,8143,6620,5930,6132,4781,4201,3418,2428,1496
E06000015,male,9004,8658,7612,8192,10118,9364,8576,7720,8292,8920,8116,6604,5803,5688,4123,3493,2578,1376,592
E06000016,female,12518,11339,9713,11387,19064,14695,13082,10663,10340,10148,9821,8660,7416,5984,4649,4271,3334,2339,1436
E06000016,male,12905,11814,10178,11505,18508,14036,13778,11491,10314,9837,9670,8585,7520,5891,4019,3343,2331,1305,602
E06000017,female,842,970,1038,1243,792,751,857,913,1205,1397,1302,1230,1271,1365,1075,887,613,486,327
E06000017,male,942,976,1137,1546,1146,1309,1056,1142,1225,1364,1380,1156,1235,1338,987,801,541,269,149
