ltla,sex,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E06000001,female,2787,2738,2595,2917,2900,3087,2773,2505,3152,3575,3503,2893,2856,2491,1956,1945,1435,827,507
E06000001,male,2975,2815,2710,3060,2898,2898,2616,2322,3021,3362,3428,2905,2722,2568,1710,1490,1053,494,173
E06000002,female,4875,4328,3914,4616,5582,5003,4558,3742,4428,4874,4825,4315,3657,3277,2641,2400,1877,1114,640
E06000002,male,4913,4465,3952,4943,6509,5091,4105,3799,4092,4506,4568,4067,3526,3224,2324,1982,1339,606,234
E06000003,female,3769,3583,3506,3934,4052,4044,3836,3474,4633,5240,5082,4460,4505,4585,3485,2882,2193,1311,809
E06000003,male,4050,3932,3677,4290,3976,3886,3419,3285,4182,4871,4865,4286,4104,4352,3205,2429,1634,831,303
E06000004,female,6132,5861,5251,5696,6106,6476,6313,5718,6784,7283,7150,6266,5501,5275,3928,3447,2710,1546,905
E06000004,male,6412,6022,5633,6258,6619,6444,5978,5324,6517,7053,6788,6013,5487,4967,3527,2850,1929,919,345
E06000005,female,3233,3149,2902,3038,2988,3394,3358,3233,3790,4034,3837,3339,3163,3155,2263,2085,1565,1095,682
E06000005,male,3401,3210,2985,3233,2779,3175,3209,3059,3657,3852,3751,3211,3088,2994,2146,1700,1076,649,248
E06000006,female,4114,3895,3596,3765,3833,4252,4085,3820,4551,4580,4695,4254,4091,3504,2513,2103,1524,874,507
E06000006,male,4172,4129,3660,3902,3748,4011,3909,3564,4384,4460,4380,3972,3946,3514,2261,1690,1125,502,189
E06000007,female,6163,5967,5754,5817,5668,6395,6576,6420,7900,8225,7460,6100,5687,5943,4658,3492,2557,1627,1022
E06000007,male,6433,6208,6165,6305,6144,6367,6505,6377,7803,8285,7601,6047,5738,5581,3993,3079,1833,922,348
E06000008,female,5511,5339,4903,4956,4493,5473,5285,4517,5228,4999,4610,4032,3698,3285,2474,2005,1578,1031,592
E06000008,male,5735,5438,5221,5439,4634,5088,5267,4836,5281,5096,4750,3982,3751,3346,2259,1764,1108,531,228
