ltla,sex,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E06000001,female,2808,2663,2657,3007,2947,3016,2728,2560,3249,3621,3432,2849,2878,2338,2064,1878,1386,819,496
E06000001,male,2990,2721,2708,3096,2957,2775,2490,2473,3031,3486,3284,2855,2779,2382,1719,1524,959,482,154
E06000002,female,4768,4240,4027,4774,5644,4980,4327,3893,4570,4987,4791,4221,3699,3119,2688,2421,1835,1108,645
E06000002,male,4881,4335,3987,5003,6469,4931,4088,3807,4216,4609,4623,3993,3567,3038,2407,1896,1301,597,241
E06000003,female,3699,3482,3615,4038,4051,3954,3818,3655,4759,5321,4964,4422,4543,4388,3509,2793,2192,1373,783
E06000003,male,4030,3814,3796,4401,3970,3784,3414,3380,4367,5058,4785,4154,4308,4147,3151,2368,1586,823,281
E06000004,female,6178,5602,5232,5937,6097,6420,6121,5738,7026,7495,6995,6029,5672,4940,3902,3407,2685,1557,855
E06000004,male,6288,5836,5781,6438,6687,6296,5863,5423,6723,7044,6751,5915,5503,4709,3523,2763,1868,863,325
E06000005,female,3265,3005,2994,3028,3086,3333,3322,3296,3819,4032,3806,3235,3190,2974,2319,2046,1552,1130,670
E06000005,male,3359,3231,2993,3221,2906,3198,3174,3133,3684,3978,3643,3204,3133,2844,2138,1662,1039,615,246
E06000006,female,4114,3743,3699,3818,3828,4256,3995,4022,4561,4628,4670,4192,4160,3299,2436,2106,1481,886,524
E06000006,male,4156,3927,3726,3993,3828,3979,3790,3753,4400,4544,4379,3895,4122,3248,2229,1600,1128,489,177
E06000007,female,6137,5728,5839,5874,5813,6238,6391,6648,8004,8321,7102,5968,5889,5663,4580,3323,2555,1635,1012
E06000007,male,6377,6084,6240,6512,6151,6363,6243,6634,7796,8484,7236,5963,5763,5347,3934,2952,1757,903,336
E06000008,female,5592,5219,4902,4955,4753,5466,5125,4730,5318,4944,4483,4000,3771,3170,2411,1986,1580,1048,633
E06000008,male,5757,5393,5235,5420,4652,5263,5155,4929,5472,4995,4673,4061,3767,3178,2266,1712,1095,519,226
E06000009,female,4150,3784,3825,4250,4336,4408,3976,3923,5048,5471,4882,4264,4365,4227,3368,2967,2340,1557,1043
E06000009,male,4326,3925,3843,4295,4284,4307,3895,3960,5063,5641,5169,4356,4360,4180,3105,2338,1629,808,369
E06000010,female,8643,7055,6376,8087,11753,10336,8657,7803,8417,8731,8273,6920,6533,5595,4371,4067,3311,2023,1108
E06000010,male,9166,7502,6923,8542,12537,10320,9137,8554,8794,9090,8275,7091,6667,5399,3923,3296,2165,1118,454
E06000011,female,8035,8300,9018,9775,7603,7514,8153,9454,12407,13036,12378,11598,12897,12346,9134,7907,5805,3745,2440
E06000011,male,8582,8651,9206,10546,8224,7736,7833,9056,11730,12897,12365,11098,12101,11793,8481,6596,4313,2284,864
E06000012,female,5014,4543,4376,4896,5198,5174,4543,4391,5754,6012,5603,4805,4822,4490,3602,3208,2445,1577,975
E06000012,male,5130,4722,4592,5053,5293,4924,4499,4534,5466,5816,5534,4855,4760,4333,3146,2687,1758,873,385
E06000013,female,5008,4747,4593,4772,4679,5170,4702,4824,6108,6393,5947,5573,5532,5019,3796,3158,2545,1616,1051
E06000013,male,5194,4959,4820,5176,4680,5038,4734,4707,5989,6500,6061,5390,5515,4951,3578,2748,1767,945,366
E06000014,female,5240,4849,4595,6889,10481,6860,6461,5880,6977,6855,6351,5509,5650,5394,4238,3765,3006,2035,1288
E06000014,male,5447,4977,4822,6623,10366,7287,6481,5965,6706,6772,6146,5303,5278,4862,3497,3007,2020,1174,511
E06000015,female,8939,7503,6981,8018,9921,9294,8621,7855,8828,8913,7561,6356,6137,5756,4599,4162,3548,2325,1379
E06000015,male,9121,8157,7529,8450,10428,9050,8302,8073,8879,8881,7684,6256,5979,5392,4008,3381,2499,1280,537
