ltla,sex,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E06000001,female,2483,2823,2936,2413,2516,3005,3157,2944,2629,2880,3481,3583,3017,2638,2579,1692,1496,972,587
E06000001,male,2664,2951,3046,2713,2646,3117,3006,2727,2426,2755,3113,3420,3014,2534,2472,1462,1086,592,261
E06000002,female,4589,4834,4433,3900,5065,5287,4786,4620,3709,4025,4379,4736,4272,3553,3199,2274,1892,1167,637
E06000002,male,4842,5006,4598,4367,5676,5837,5277,4019,3585,3895,4001,4400,3933,3219,2908,1972,1382,764,247
E06000003,female,3414,4038,3863,3297,3373,4052,4308,4039,3664,4294,5147,5366,4803,4294,4556,3188,2526,1489,911
E06000003,male,3540,4251,4127,3655,3628,4131,3900,3658,3335,3778,4702,5008,4569,3893,4033,2987,1974,983,454
E06000004,female,5432,6231,6441,5033,4084,6094,6665,6850,5960,6304,7142,7269,6295,5413,5183,3502,2832,1909,1069
E06000004,male,5645,6690,6591,5716,5095,6698,6579,6364,5652,6034,6823,6777,6007,5085,4806,3230,2186,1212,521
E06000005,female,2815,3148,3332,2749,2715,3230,3466,3375,3321,3693,3957,3900,3541,2960,3114,2143,1827,1158,701
E06000005,male,2877,3361,3342,2980,2607,3111,3203,3187,3091,3376,3819,3831,3244,2858,2878,1989,1399,774,330
E06000006,female,3558,4042,4285,3511,3304,4194,4387,4359,3967,4504,4450,4675,4286,3880,3612,2227,1637,1059,527
E06000006,male,3816,4345,4340,3603,3532,3987,3996,4026,3735,4044,4397,4408,3903,3573,3433,1995,1249,648,265
E06000007,female,5490,6360,6155,5397,4908,5956,6740,6932,6619,7251,8037,7779,6161,5471,5725,4370,3280,1805,1118
E06000007,male,5777,6641,6566,5842,5352,6372,6616,6754,6325,7442,7943,7790,6140,5166,5158,3699,2508,1289,463
E06000008,female,5158,5387,5512,4796,4300,4673,5169,5369,4527,4839,4943,4567,3838,3348,3181,2076,1631,972,491
E06000008,male,5149,5655,5543,5145,4967,5223,4963,5277,4672,4821,5061,4564,3926,3231,3053,1847,1313,607,236
E06000009,female,3921,4215,3803,3559,3793,4306,4101,3862,3659,4366,5233,5151,4392,3682,3979,2986,2315,1405,913
E06000009,male,4074,4295,4141,3830,3850,4171,4375,3760,3649,4340,5207,5348,4547,3723,3790,2598,1753,909,380
E06000010,female,7998,8375,7649,6910,9694,10440,10065,8643,6864,7569,7968,8236,7116,5827,5606,3735,3032,1899,1009
