date,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate,VaccineRegisterPopulationByVaccinationDate,newVirusTestsBySpecimenDate,newPCRTestsBySpecimenDate
2021-12-23,23.0,0.0,22.0,38.0,269.0,57508.0,,
2021-12-22,121.0,0.0,23.0,23.0,565.0,57508.0,,
2021-12-21,125.0,0.0,26.0,41.0,666.0,57508.0,,
2021-12-20,91.0,0.0,25.0,42.0,966.0,57508.0,1441.0,357.0
2021-12-19,57.0,0.0,34.0,34.0,634.0,57508.0,1351.0,378.0
2021-12-18,64.0,0.0,26.0,37.0,1160.0,57508.0,1370.0,430.0
2021-12-17,58.0,0.0,32.0,31.0,1215.0,57508.0,1676.0,542.0
2021-12-16,73.0,0.0,17.0,49.0,1049.0,57508.0,1666.0,599.0
2021-12-15,98.0,0.0,17.0,35.0,1066.0,57508.0,1711.0,518.0
2021-12-14,75.0,0.0,18.0,40.0,909.0,57508.0,1284.0,461.0
2021-12-13,37.0,0.0,9.0,32.0,868.0,57508.0,1342.0,397.0
2021-12-12,23.0,0.0,16.0,23.0,268.0,57508.0,1173.0,343.0
2021-12-11,32.0,0.0,14.0,20.0,266.0,57508.0,877.0,343.0
2021-12-10,40.0,0.0,14.0,26.0,432.0,57508.0,1347.0,655.0
2021-12-09,31.0,0.0,7.0,42.0,606.0,57508.0,1075.0,318.0
2021-12-08,36.0,0.0,8.0,21.0,429.0,57508.0,1208.0,380.0
2021-12-07,35.0,0.0,7.0,18.0,526.0,57508.0,1097.0,512.0
2021-12-06,44.0,0.0,3.0,16.0,290.0,57508.0,1364.0,477.0
2021-12-05,34.0,0.0,8.0,13.0,293.0,57508.0,1207.0,451.0
2021-12-04,25.0,0.0,8.0,13.0,219.0,57508.0,799.0,380.0
2021-12-03,43.0,0.0,8.0,16.0,266.0,57508.0,1041.0,453.0
2021-12-02,47.0,0.0,38.0,23.0,459.0,57508.0,1162.0,511.0
2021-12-01,61.0,0.0,31.0,90.0,432.0,57508.0,1154.0,370.0
2021-11-30,43.0,0.0,13.0,66.0,465.0,57508.0,1073.0,526.0
2021-11-29,42.0,0.0,32.0,59.0,346.0,57508.0,1181.0,378.0
2021-11-28,36.0,0.0,14.0,22.0,434.0,57508.0,942.0,256.0
2021-11-27,28.0,0.0,11.0,16.0,966.0,57508.0,741.0,401.0
2021-11-26,40.0,0.0,14.0,26.0,335.0,57508.0,830.0,373.0
2021-11-25,40.0,0.0,8.0,22.0,296.0,57508.0,977.0,385.0
2021-11-24,44.0,0.0,12.0,13.0,368.0,57508.0,1352.0,543.0
2021-11-23,43.0,0.0,62.0,14.0,426.0,57508.0,1014.0,483.0
2021-11-22,42.0,0.0,7.0,15.0,347.0,57508.0,1138.0,413.0
2021-11-21,33.0,0.0,17.0,13.0,310.0,57508.0,939.0,282.0
2021-11-20,39.0,0.0,16.0,11.0,957.0,57508.0,850.0,495.0
2021-11-19,39.0,0.0,10.0,29.0,503.0,57508.0,918.0,471.0
2021-11-18,56.0,0.0,16.0,16.0,187.0,57508.0,982.0,417.0
2021-11-17,52.0,0.0,129.0,14.0,166.0,57508.0,1137.0,454.0
2021-11-16,47.0,0.0,4.0,14.0,284.0,57508.0,1040.0,566.0
2021-11-15,79.0,0.0,8.0,19.0,287.0,57508.0,1340.0,616.0
2021-11-14,54.0,0.0,13.0,18.0,272.0,57508.0,1018.0,345.0
2021-11-13,53.0,0.0,21.0,26.0,948.0,57508.0,733.0,357.0
2021-11-12,55.0,0.0,15.0,19.0,534.0,57508.0,1007.0,523.0
2021-11-11,32.0,0.0,134.0,16.0,143.0,57508.0,913.0,345.0
2021-11-10,51.0,0.0,11.0,12.0,339.0,57508.0,1246.0,510.0
2021-11-09,48.0,1.0,5.0,14.0,216.0,57508.0,1039.0,548.0
2021-11-08,52.0,0.0,15.0,25.0,398.0,57508.0,1274.0,510.0
2021-11-07,36.0,0.0,27.0,21.0,237.0,57508.0,946.0,242.0
2021-11-06,23.0,0.0,47.0,20.0,1008.0,57508.0,659.0,320.0
2021-11-05,26.0,0.0,40.0,22.0,399.0,57508.0,1055.0,582.0
2021-11-04,36.0,0.0,6.0,9.0,101.0,57508.0,981.0,397.0
2021-11-03,39.0,0.0,23.0,4.0,162.0,57508.0,1212.0,447.0
2021-11-02,46.0,1.0,24.0,4.0,347.0,57508.0,1088.0,598.0
2021-11-01,72.0,1.0,8.0,19.0,235.0,57508.0,1339.0,537.0
2021-10-31,37.0,0.0,28.0,6.0,154.0,57508.0,1266.0,452.0
2021-10-30,50.0,1.0,45.0,17.0,840.0,57508.0,803.0,474.0
2021-10-29,53.0,0.0,48.0,9.0,252.0,57508.0,957.0,464.0
2021-10-28,46.0,0.0,67.0,19.0,253.0,57508.0,991.0,487.0
2021-10-27,44.0,0.0,66.0,27.0,247.0,57508.0,999.0,411.0
2021-10-26,46.0,0.0,11.0,7.0,171.0,57508.0,1034.0,536.0
