date,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate,VaccineRegisterPopulationByVaccinationDate,newVirusTestsBySpecimenDate,newPCRTestsBySpecimenDate
2021-12-20,46.0,0.0,71.0,123.0,1704.0,165409.0,,
2021-12-19,115.0,0.0,44.0,123.0,1291.0,165409.0,,
2021-12-18,120.0,0.0,112.0,46.0,1408.0,165409.0,3548.0,990.0
2021-12-17,148.0,0.0,69.0,82.0,1912.0,165409.0,4122.0,1368.0
2021-12-16,147.0,0.0,89.0,107.0,2099.0,165409.0,4748.0,1591.0
2021-12-15,160.0,0.0,42.0,66.0,1951.0,165409.0,4387.0,1684.0
2021-12-14,167.0,2.0,45.0,76.0,1899.0,165409.0,3494.0,1596.0
2021-12-13,160.0,1.0,54.0,107.0,1780.0,165409.0,3645.0,1348.0
2021-12-12,97.0,0.0,23.0,56.0,1139.0,165409.0,3397.0,1076.0
2021-12-11,89.0,1.0,88.0,71.0,991.0,165409.0,2532.0,1163.0
2021-12-10,95.0,0.0,35.0,77.0,946.0,165409.0,3599.0,1758.0
2021-12-09,106.0,0.0,48.0,97.0,1389.0,165409.0,4148.0,2245.0
2021-12-08,114.0,0.0,46.0,91.0,1383.0,165409.0,3769.0,1576.0
2021-12-07,117.0,2.0,27.0,62.0,1322.0,165409.0,2634.0,1011.0
2021-12-06,122.0,0.0,47.0,71.0,1287.0,165409.0,3190.0,1279.0
2021-12-05,79.0,0.0,14.0,30.0,776.0,165409.0,3578.0,1593.0
2021-12-04,63.0,0.0,57.0,38.0,827.0,165409.0,2493.0,1442.0
2021-12-03,96.0,0.0,19.0,34.0,973.0,165409.0,2999.0,1676.0
2021-12-02,105.0,0.0,41.0,80.0,1446.0,165409.0,3109.0,1485.0
2021-12-01,105.0,0.0,112.0,106.0,1399.0,165409.0,3594.0,1547.0
2021-11-30,171.0,1.0,60.0,88.0,1205.0,165409.0,3118.0,1376.0
2021-11-29,134.0,1.0,58.0,101.0,1290.0,165409.0,2917.0,1061.0
2021-11-28,91.0,1.0,16.0,24.0,817.0,165409.0,2932.0,1135.0
2021-11-27,97.0,0.0,30.0,42.0,765.0,165409.0,2049.0,1181.0
2021-11-26,95.0,0.0,17.0,22.0,903.0,165409.0,2450.0,1338.0
2021-11-25,99.0,0.0,37.0,33.0,1253.0,165409.0,2610.0,1270.0
2021-11-24,93.0,1.0,176.0,58.0,1264.0,165409.0,3596.0,1938.0
2021-11-23,134.0,0.0,60.0,64.0,1634.0,165409.0,3050.0,1549.0
2021-11-22,105.0,1.0,78.0,70.0,1418.0,165409.0,2905.0,1158.0
