date,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate,VaccineRegisterPopulationByVaccinationDate,newVirusTestsBySpecimenDate,newPCRTestsBySpecimenDate
2021-12-23,77.0,1.0,114.0,151.0,1687.0,215144.0,,
2021-12-22,489.0,0.0,203.0,239.0,4740.0,215144.0,,
2021-12-21,187.0,0.0,104.0,164.0,2439.0,215144.0,,
2021-12-20,359.0,2.0,126.0,126.0,2728.0,215144.0,3372.0,757.0
2021-12-19,221.0,0.0,116.0,144.0,1321.0,215144.0,3100.0,1069.0
2021-12-18,203.0,1.0,119.0,119.0,2773.0,215144.0,3717.0,1535.0
2021-12-17,245.0,3.0,114.0,170.0,1928.0,215144.0,4582.0,2131.0
2021-12-16,299.0,2.0,116.0,130.0,2240.0,215144.0,4329.0,1788.0
2021-12-15,245.0,3.0,126.0,248.0,2290.0,215144.0,3787.0,1453.0
2021-12-14,224.0,0.0,88.0,102.0,1762.0,215144.0,3776.0,1949.0
2021-12-13,185.0,0.0,51.0,125.0,1703.0,215144.0,3736.0,1577.0
2021-12-12,102.0,0.0,77.0,88.0,496.0,215144.0,2447.0,856.0
2021-12-11,117.0,0.0,56.0,94.0,1411.0,215144.0,2208.0,1040.0
2021-12-10,130.0,0.0,115.0,209.0,1110.0,215144.0,3512.0,2021.0
2021-12-09,167.0,1.0,95.0,115.0,1172.0,215144.0,3720.0,1955.0
2021-12-08,124.0,0.0,80.0,131.0,1033.0,215144.0,3394.0,1657.0
2021-12-07,149.0,3.0,77.0,120.0,1093.0,215144.0,3003.0,1681.0
2021-12-06,140.0,0.0,86.0,138.0,1018.0,215144.0,2819.0,1210.0
2021-12-05,84.0,1.0,68.0,101.0,577.0,215144.0,2775.0,1358.0
2021-12-04,83.0,1.0,92.0,92.0,1884.0,215144.0,2392.0,1496.0
2021-12-03,120.0,0.0,91.0,84.0,922.0,215144.0,3017.0,1677.0
2021-12-02,94.0,0.0,49.0,101.0,1023.0,215144.0,3090.0,1652.0
2021-12-01,147.0,0.0,96.0,152.0,1164.0,215144.0,3221.0,1574.0
2021-11-30,136.0,1.0,53.0,114.0,1102.0,215144.0,2808.0,1491.0
2021-11-29,122.0,0.0,59.0,74.0,814.0,215144.0,2683.0,1080.0
2021-11-28,91.0,3.0,30.0,72.0,408.0,215144.0,2113.0,941.0
2021-11-27,67.0,1.0,63.0,81.0,977.0,215144.0,1804.0,1049.0
2021-11-26,104.0,1.0,207.0,74.0,920.0,215144.0,2367.0,1255.0
2021-11-25,110.0,2.0,55.0,77.0,957.0,215144.0,3135.0,1766.0
2021-11-24,137.0,0.0,67.0,86.0,837.0,215144.0,3523.0,1982.0
