date,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate,VaccineRegisterPopulationByVaccinationDate,newVirusTestsBySpecimenDate,newPCRTestsBySpecimenDate
2022-01-24,124.0,0.0,11.0,32.0,26.0,90975.0,2790,201
2022-01-23,215.0,0.0,54.0,80.0,246.0,90975.0,3194,366
2022-01-22,160.0,0.0,17.0,23.0,93.0,90975.0,2472,465
2022-01-21,167.0,0.0,13.0,31.0,38.0,90975.0,2740,644
2022-01-20,179.0,0.0,25.0,33.0,91.0,90975.0,4794,2397
2022-01-19,190.0,1.0,20.0,18.0,69.0,90975.0,4822,1912
2022-01-18,203.0,0.0,18.0,15.0,95.0,90975.0,5241,2906
2022-01-17,245.0,0.0,18.0,90.0,35.0,90975.0,5361,2596
2022-01-16,156.0,0.0,35.0,77.0,304.0,90975.0,3999,1399
2022-01-15,133.0,0.0,50.0,42.0,202.0,90975.0,3576,1799
2022-01-14,125.0,0.0,13.0,123.0,60.0,90975.0,4988,2921
2022-01-13,139.0,0.0,19.0,38.0,145.0,90975.0,5980,3721
2022-01-12,188.0,0.0,9.0,13.0,83.0,90975.0,5980,3261
2022-01-11,193.0,0.0,17.0,18.0,183.0,90975.0,5288,3250
2022-01-10,186.0,0.0,13.0,31.0,50.0,90975.0,5567,2947
2022-01-09,125.0,0.0,14.0,21.0,113.0,90975.0,5192,2349
2022-01-08,134.0,0.0,78.0,108.0,944.0,90975.0,4010,2302
2022-01-07,167.0,0.0,27.0,28.0,182.0,90975.0,5577,3378
2022-01-06,191.0,0.0,65.0,39.0,520.0,90975.0,6148,3685
2022-01-05,263.0,0.0,30.0,44.0,584.0,90975.0,6460,3098
2022-01-04,334.0,0.0,35.0,51.0,609.0,90975.0,6923,3960
2022-01-03,289.0,0.0,18.0,34.0,96.0,90975.0,6773,3499
2022-01-02,192.0,0.0,14.0,38.0,143.0,90975.0,5512,3634
2022-01-01,145.0,0.0,0.0,2.0,12.0,90975.0,4874,3401
2021-12-31,249.0,0.0,22.0,28.0,91.0,90975.0,6393,3793
2021-12-30,281.0,0.0,56.0,61.0,789.0,90975.0,5142,3090
2021-12-29,305.0,0.0,32.0,28.0,240.0,90975.0,5772,3576
2021-12-28,249.0,0.0,19.0,22.0,136.0,90975.0,5917,3879
2021-12-27,204.0,0.0,20.0,29.0,217.0,90975.0,6749,4714
2021-12-26,120.0,0.0,1.0,0.0,8.0,90975.0,10166,8137
2021-12-25,112.0,0.0,0.0,1.0,0.0,90975.0,6284,4315
2021-12-24,182.0,1.0,2.0,7.0,128.0,90975.0,11746,9273
2021-12-23,213.0,0.0,69.0,110.0,1748.0,90975.0,13504,11166
2021-12-22,202.0,0.0,49.0,97.0,2167.0,90975.0,10212,7700
2021-12-21,182.0,0.0,48.0,80.0,2142.0,90975.0,6557,4382
2021-12-20,163.0,0.0,47.0,59.0,1619.0,90975.0,7050,4697
2021-12-19,114.0,0.0,171.0,37.0,805.0,90975.0,6897,4711
2021-12-18,121.0,0.0,52.0,84.0,1997.0,90975.0,6989,4898
2021-12-17,131.0,0.0,42.0,73.0,2054.0,90975.0,4893,2681
2021-12-16,108.0,0.0,38.0,59.0,1596.0,90975.0,6102,3790
2021-12-15,144.0,0.0,12.0,46.0,972.0,90975.0,6205,3697
2021-12-14,106.0,0.0,28.0,52.0,1298.0,90975.0,5085,3306
2021-12-13,106.0,0.0,9.0,21.0,181.0,90975.0,5763,3614
2021-12-12,64.0,0.0,26.0,52.0,500.0,90975.0,4517,2515
2021-12-11,50.0,0.0,21.0,63.0,991.0,90975.0,4333,2937
2021-12-10,75.0,0.0,27.0,45.0,543.0,90975.0,5205,3776
2021-12-09,79.0,0.0,66.0,93.0,1021.0,90975.0,5647,3905
2021-12-08,68.0,0.0,77.0,64.0,422.0,90975.0,5477,3624
2021-12-07,67.0,0.0,29.0,99.0,1017.0,90975.0,5155,3774
2021-12-06,94.0,0.0,6.0,12.0,49.0,90975.0,5616,3791
2021-12-05,65.0,0.0,13.0,28.0,470.0,90975.0,4275,2571
2021-12-04,57.0,0.0,38.0,98.0,1243.0,90975.0,4220,3127
2021-12-03,78.0,0.0,28.0,43.0,251.0,90975.0,6292,4943
2021-12-02,85.0,0.0,62.0,50.0,1081.0,90975.0,5885,4281
2021-12-01,124.0,0.0,18.0,46.0,635.0,90975.0,6182,4436
2021-11-30,88.0,0.0,78.0,30.0,958.0,90975.0,5475,4070
2021-11-29,111.0,0.0,6.0,15.0,51.0,90975.0,5599,3828
2021-11-28,79.0,0.0,8.0,31.0,170.0,90975.0,4449,2747
2021-11-27,58.0,0.0,51.0,47.0,1033.0,90975.0,2474,1583
2021-11-26,81.0,0.0,22.0,23.0,658.0,90975.0,5305,4234
2021-11-25,84.0,0.0,63.0,41.0,726.0,90975.0,6192,4786
2021-11-24,88.0,0.0,37.0,16.0,87.0,90975.0,5894,4314
2021-11-23,100.0,0.0,33.0,43.0,917.0,90975.0,4839,3655
