date,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate,VaccineRegisterPopulationByVaccinationDate,newVirusTestsBySpecimenDate,newPCRTestsBySpecimenDate
2021-12-23,62.0,0.0,105.0,125.0,2056.0,208638.0,,
2021-12-22,220.0,0.0,117.0,164.0,3013.0,208638.0,,
2021-12-21,271.0,0.0,81.0,168.0,1930.0,208638.0,,
2021-12-20,236.0,0.0,83.0,171.0,1995.0,208638.0,5054.0,1434.0
2021-12-19,169.0,0.0,87.0,130.0,2642.0,208638.0,4832.0,1523.0
2021-12-18,188.0,0.0,126.0,172.0,3042.0,208638.0,4874.0,1910.0
2021-12-17,184.0,0.0,90.0,109.0,2364.0,208638.0,4437.0,1394.0
2021-12-16,233.0,0.0,180.0,112.0,2344.0,208638.0,5260.0,1539.0
2021-12-15,227.0,1.0,53.0,136.0,1269.0,208638.0,6229.0,2102.0
2021-12-14,232.0,0.0,147.0,140.0,1219.0,208638.0,4474.0,1675.0
2021-12-13,209.0,0.0,48.0,148.0,1115.0,208638.0,5327.0,1784.0
2021-12-12,152.0,0.0,58.0,116.0,950.0,208638.0,5714.0,2022.0
2021-12-11,130.0,1.0,99.0,133.0,1478.0,208638.0,2891.0,1004.0
2021-12-10,133.0,0.0,49.0,120.0,1082.0,208638.0,3509.0,1380.0
2021-12-09,142.0,1.0,150.0,124.0,1075.0,208638.0,4913.0,2159.0
2021-12-08,157.0,1.0,50.0,102.0,675.0,208638.0,4759.0,1412.0
2021-12-07,155.0,0.0,60.0,77.0,774.0,208638.0,3464.0,1489.0
2021-12-06,154.0,2.0,38.0,79.0,597.0,208638.0,4583.0,1541.0
2021-12-05,114.0,0.0,59.0,126.0,908.0,208638.0,4814.0,1643.0
2021-12-04,107.0,1.0,76.0,159.0,1268.0,208638.0,3000.0,1636.0
2021-12-03,138.0,0.0,54.0,112.0,906.0,208638.0,3875.0,2159.0
2021-12-02,140.0,2.0,130.0,131.0,835.0,208638.0,4244.0,1851.0
2021-12-01,172.0,1.0,34.0,86.0,771.0,208638.0,4869.0,1771.0
2021-11-30,175.0,0.0,44.0,86.0,656.0,208638.0,3760.0,1927.0
2021-11-29,184.0,0.0,153.0,93.0,729.0,208638.0,3913.0,1169.0
2021-11-28,133.0,0.0,77.0,104.0,756.0,208638.0,4527.0,1192.0
2021-11-27,103.0,1.0,84.0,128.0,1194.0,208638.0,2741.0,1530.0
2021-11-26,93.0,0.0,158.0,77.0,1206.0,208638.0,2926.0,1397.0
2021-11-25,144.0,0.0,187.0,101.0,793.0,208638.0,3838.0,1572.0
2021-11-24,153.0,0.0,35.0,76.0,724.0,208638.0,4799.0,1744.0
2021-11-23,136.0,1.0,32.0,81.0,677.0,208638.0,3504.0,1714.0
2021-11-22,162.0,0.0,25.0,50.0,794.0,208638.0,4332.0,1708.0
