date,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate,VaccineRegisterPopulationByVaccinationDate,newVirusTestsBySpecimenDate,newPCRTestsBySpecimenDate
2022-01-24,117.0,0.0,5.0,12.0,44.0,87375.0,2141,169
2022-01-23,141.0,0.0,14.0,58.0,15.0,87375.0,2416,189
2022-01-22,106.0,0.0,10.0,47.0,75.0,87375.0,1715,267
2022-01-21,139.0,1.0,12.0,35.0,71.0,87375.0,1890,338
2022-01-20,139.0,1.0,11.0,18.0,64.0,87375.0,2458,533
2022-01-19,153.0,0.0,9.0,18.0,58.0,87375.0,2995,570
2022-01-18,198.0,0.0,3.0,18.0,58.0,87375.0,2633,847
2022-01-17,186.0,0.0,6.0,8.0,29.0,87375.0,2805,485
2022-01-16,134.0,0.0,12.0,52.0,20.0,87375.0,2627,450
2022-01-15,100.0,0.0,29.0,65.0,226.0,87375.0,2044,564
2022-01-14,113.0,0.0,11.0,18.0,139.0,87375.0,2224,555
2022-01-13,123.0,0.0,10.0,19.0,122.0,87375.0,2538,677
2022-01-12,112.0,0.0,7.0,24.0,119.0,87375.0,2820,650
2022-01-11,145.0,1.0,21.0,22.0,152.0,87375.0,2729,1072
2022-01-10,180.0,2.0,11.0,31.0,177.0,87375.0,3010,811
2022-01-09,126.0,0.0,8.0,27.0,47.0,87375.0,3321,1008
2022-01-08,109.0,1.0,55.0,132.0,759.0,87375.0,2608,987
2022-01-07,140.0,0.0,20.0,24.0,152.0,87375.0,3153,1312
2022-01-06,214.0,0.0,15.0,25.0,213.0,87375.0,3292,1141
2022-01-05,255.0,0.0,20.0,42.0,205.0,87375.0,4409,1473
2022-01-04,349.0,0.0,18.0,59.0,162.0,87375.0,4128,1421
2022-01-03,286.0,0.0,24.0,47.0,101.0,87375.0,3360,1261
2022-01-02,238.0,0.0,7.0,10.0,29.0,87375.0,2712,833
2022-01-01,182.0,0.0,1.0,8.0,3.0,87375.0,2124,781
2021-12-31,250.0,0.0,17.0,41.0,277.0,87375.0,3213,792
2021-12-30,298.0,0.0,31.0,50.0,555.0,87375.0,2884,964
2021-12-29,341.0,0.0,32.0,64.0,570.0,87375.0,3101,1035
2021-12-28,246.0,0.0,15.0,49.0,147.0,87375.0,3060,1091
2021-12-27,273.0,0.0,14.0,32.0,150.0,87375.0,2622,848
2021-12-26,165.0,1.0,3.0,7.0,20.0,87375.0,2253,586
2021-12-25,90.0,1.0,0.0,0.0,1.0,87375.0,2442,753
2021-12-24,154.0,1.0,7.0,8.0,107.0,87375.0,3043,895
2021-12-23,203.0,0.0,26.0,39.0,795.0,87375.0,3905,1848
2021-12-22,206.0,1.0,38.0,67.0,1860.0,87375.0,4110,1899
2021-12-21,159.0,0.0,46.0,107.0,1688.0,87375.0,3199,1419
2021-12-20,151.0,0.0,56.0,84.0,1363.0,87375.0,3212,1243
2021-12-19,95.0,1.0,50.0,50.0,636.0,87375.0,3017,1160
2021-12-18,116.0,0.0,46.0,91.0,1770.0,87375.0,2441,633
2021-12-17,112.0,1.0,41.0,75.0,1867.0,87375.0,3167,1500
2021-12-16,135.0,0.0,36.0,76.0,1749.0,87375.0,3012,1108
2021-12-15,126.0,0.0,31.0,38.0,995.0,87375.0,2881,846
2021-12-14,127.0,0.0,17.0,50.0,989.0,87375.0,2347,931
2021-12-13,70.0,0.0,45.0,40.0,1137.0,87375.0,2764,981
2021-12-12,71.0,2.0,59.0,50.0,1363.0,87375.0,2487,677
2021-12-11,58.0,0.0,50.0,131.0,1247.0,87375.0,1675,550
2021-12-10,76.0,0.0,38.0,106.0,1143.0,87375.0,2156,1001
2021-12-09,74.0,0.0,4.0,36.0,449.0,87375.0,2741,1260
2021-12-08,97.0,0.0,13.0,34.0,553.0,87375.0,2524,982
2021-12-07,85.0,0.0,12.0,27.0,587.0,87375.0,2134,970
2021-12-06,115.0,0.0,19.0,27.0,494.0,87375.0,2512,1040
2021-12-05,90.0,0.0,33.0,33.0,142.0,87375.0,2507,1003
2021-12-04,84.0,1.0,38.0,78.0,1363.0,87375.0,1702,791
2021-12-03,87.0,0.0,23.0,50.0,999.0,87375.0,2160,1202
2021-12-02,103.0,0.0,9.0,32.0,539.0,87375.0,2421,1165
2021-12-01,111.0,0.0,24.0,64.0,544.0,87375.0,2703,1132
2021-11-30,111.0,0.0,15.0,60.0,571.0,87375.0,2106,1075
2021-11-29,131.0,0.0,16.0,36.0,380.0,87375.0,2235,915
2021-11-28,74.0,0.0,26.0,44.0,177.0,87375.0,2255,853
2021-11-27,63.0,0.0,30.0,58.0,1110.0,87375.0,1802,1174
2021-11-26,58.0,0.0,30.0,42.0,870.0,87375.0,1837,1053
2021-11-25,52.0,0.0,305.0,38.0,384.0,87375.0,2092,1049
2021-11-24,72.0,0.0,12.0,28.0,1091.0,87375.0,2326,1077
2021-11-23,89.0,0.0,7.0,24.0,563.0,87375.0,1726,949
2021-11-22,77.0,0.0,14.0,28.0,205.0,87375.0,2180,1014
2021-11-21,71.0,1.0,15.0,18.0,94.0,87375.0,2239,955
