date,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate,VaccineRegisterPopulationByVaccinationDate,newVirusTestsBySpecimenDate,newPCRTestsBySpecimenDate
2022-01-24,223.0,0.0,9.0,32.0,91.0,127986.0,4243,237
2022-01-23,250.0,0.0,22.0,72.0,98.0,127986.0,4836,333
2022-01-22,197.0,0.0,7.0,15.0,43.0,127986.0,3376,430
2022-01-21,227.0,0.0,37.0,147.0,118.0,127986.0,3853,548
2022-01-20,236.0,1.0,43.0,264.0,90.0,127986.0,4480,801
2022-01-19,262.0,0.0,31.0,130.0,419.0,127986.0,5437,822
2022-01-18,253.0,0.0,9.0,69.0,81.0,127986.0,4350,1085
2022-01-17,283.0,1.0,16.0,47.0,133.0,127986.0,4609,593
2022-01-16,200.0,0.0,19.0,110.0,79.0,127986.0,4980,416
2022-01-15,162.0,0.0,38.0,140.0,130.0,127986.0,3347,786
2022-01-14,144.0,1.0,22.0,91.0,158.0,127986.0,3811,802
2022-01-13,168.0,1.0,30.0,110.0,142.0,127986.0,4479,1078
2022-01-12,187.0,0.0,42.0,122.0,651.0,127986.0,5143,960
2022-01-11,194.0,0.0,12.0,79.0,359.0,127986.0,4260,1324
2022-01-10,214.0,0.0,23.0,113.0,426.0,127986.0,5003,1108
2022-01-09,159.0,1.0,28.0,134.0,437.0,127986.0,5621,1045
2022-01-08,177.0,0.0,33.0,145.0,563.0,127986.0,4013,1307
2022-01-07,187.0,0.0,43.0,98.0,554.0,127986.0,4931,1588
2022-01-06,253.0,1.0,29.0,66.0,389.0,127986.0,6208,1770
2022-01-05,354.0,0.0,30.0,106.0,710.0,127986.0,7563,1748
2022-01-04,462.0,0.0,29.0,103.0,480.0,127986.0,6266,1467
2022-01-03,353.0,0.0,46.0,132.0,393.0,127986.0,5179,1578
2022-01-02,272.0,0.0,24.0,97.0,486.0,127986.0,4253,1381
2022-01-01,169.0,0.0,2.0,5.0,24.0,127986.0,3162,899
2021-12-31,295.0,0.0,32.0,97.0,326.0,127986.0,5616,1691
2021-12-30,343.0,0.0,60.0,150.0,1310.0,127986.0,4505,1335
2021-12-29,430.0,0.0,41.0,91.0,1021.0,127986.0,4615,1113
2021-12-28,298.0,0.0,63.0,127.0,606.0,127986.0,4610,1404
2021-12-27,265.0,0.0,56.0,71.0,630.0,127986.0,4295,1062
2021-12-26,219.0,0.0,0.0,1.0,9.0,127986.0,4296,1102
2021-12-25,135.0,0.0,0.0,0.0,4.0,127986.0,4471,1396
2021-12-24,217.0,0.0,10.0,40.0,418.0,127986.0,6055,1753
2021-12-23,275.0,0.0,55.0,114.0,2352.0,127986.0,6032,2117
2021-12-22,282.0,0.0,71.0,190.0,2693.0,127986.0,5764,1595
2021-12-21,233.0,0.0,89.0,173.0,2815.0,127986.0,5161,1558
2021-12-20,251.0,0.0,48.0,123.0,2655.0,127986.0,5569,1824
2021-12-19,173.0,0.0,62.0,87.0,3688.0,127986.0,5597,1752
2021-12-18,195.0,0.0,19.0,36.0,2272.0,127986.0,5316,1825
2021-12-17,207.0,0.0,41.0,107.0,2617.0,127986.0,5558,1875
2021-12-16,204.0,0.0,31.0,65.0,2096.0,127986.0,5537,1664
2021-12-15,265.0,0.0,32.0,86.0,1468.0,127986.0,6446,2103
2021-12-14,260.0,0.0,30.0,69.0,1471.0,127986.0,4572,1609
2021-12-13,199.0,0.0,36.0,68.0,1291.0,127986.0,5335,1788
2021-12-12,133.0,0.0,29.0,53.0,893.0,127986.0,5279,1725
2021-12-11,124.0,0.0,17.0,33.0,818.0,127986.0,3591,906
2021-12-10,171.0,1.0,30.0,54.0,682.0,127986.0,4491,1793
2021-12-09,165.0,0.0,23.0,41.0,664.0,127986.0,5201,1954
2021-12-08,169.0,0.0,28.0,79.0,738.0,127986.0,5591,1843
2021-12-07,161.0,0.0,33.0,34.0,710.0,127986.0,4346,1919
2021-12-06,202.0,0.0,29.0,50.0,590.0,127986.0,4632,1692
2021-12-05,129.0,0.0,30.0,43.0,679.0,127986.0,5010,1470
2021-12-04,141.0,0.0,34.0,43.0,702.0,127986.0,3654,1661
2021-12-03,144.0,0.0,34.0,92.0,924.0,127986.0,4029,1788
2021-12-02,141.0,0.0,20.0,32.0,786.0,127986.0,3922,1308
2021-12-01,163.0,0.0,41.0,116.0,1193.0,127986.0,5503,2181
2021-11-30,165.0,1.0,16.0,53.0,773.0,127986.0,3692,1670
2021-11-29,139.0,0.0,29.0,74.0,745.0,127986.0,4401,1639
2021-11-28,94.0,0.0,35.0,72.0,674.0,127986.0,4308,982
2021-11-27,97.0,0.0,3.0,15.0,274.0,127986.0,2797,1254
2021-11-26,102.0,1.0,18.0,78.0,1289.0,127986.0,3083,1293
2021-11-25,126.0,0.0,15.0,32.0,829.0,127986.0,3643,1297
2021-11-24,112.0,0.0,22.0,80.0,2214.0,127986.0,4558,1699
2021-11-23,110.0,0.0,7.0,28.0,685.0,127986.0,3221,1520
2021-11-22,119.0,1.0,14.0,48.0,665.0,127986.0,3760,1232
2021-11-21,90.0,0.0,18.0,47.0,567.0,127986.0,3976,1055
2021-11-20,68.0,0.0,30.0,36.0,571.0,127986.0,2375,1059
2021-11-19,62.0,0.0,22.0,53.0,844.0,127986.0,3475,1788
2021-11-18,102.0,0.0,25.0,34.0,735.0,127986.0,3782,1616
2021-11-17,120.0,0.0,39.0,48.0,1894.0,127986.0,4156,1492
2021-11-16,82.0,1.0,22.0,27.0,606.0,127986.0,2609,900
2021-11-15,110.0,0.0,27.0,26.0,671.0,127986.0,3476,1106
2021-11-14,80.0,0.0,44.0,23.0,411.0,127986.0,3864,858
2021-11-13,79.0,0.0,48.0,26.0,602.0,127986.0,2271,1015
2021-11-12,96.0,0.0,29.0,33.0,1084.0,127986.0,3037,1385
2021-11-11,90.0,0.0,19.0,21.0,617.0,127986.0,3271,1124
2021-11-10,87.0,0.0,22.0,74.0,1737.0,127986.0,4587,1754
2021-11-09,92.0,0.0,32.0,29.0,611.0,127986.0,2690,1087
2021-11-08,92.0,0.0,38.0,27.0,563.0,127986.0,3333,1023
2021-11-07,66.0,0.0,10.0,5.0,77.0,127986.0,3940,798
2021-11-06,45.0,0.0,77.0,35.0,487.0,127986.0,2273,1067
2021-11-05,62.0,0.0,45.0,28.0,452.0,127986.0,2753,1204
2021-11-04,63.0,0.0,27.0,23.0,727.0,127986.0,3439,1320
2021-11-03,80.0,0.0,46.0,56.0,1850.0,127986.0,3965,1200
2021-11-02,75.0,0.0,157.0,23.0,507.0,127986.0,2946,1421
2021-11-01,83.0,0.0,43.0,26.0,562.0,127986.0,3603,1293
2021-10-31,95.0,0.0,71.0,40.0,315.0,127986.0,4385,908
2021-10-30,77.0,0.0,8.0,20.0,257.0,127986.0,2332,1092
2021-10-29,77.0,0.0,94.0,68.0,468.0,127986.0,2880,1282
2021-10-28,93.0,2.0,58.0,31.0,537.0,127986.0,3279,1381
2021-10-27,103.0,1.0,58.0,51.0,523.0,127986.0,3508,1514
2021-10-26,103.0,0.0,48.0,96.0,495.0,127986.0,2823,1252
