year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2012,E06000005,90424,79383,9,43664,0.00020611945767680468,18.638145840967386,female,12-15,2557,0.028277890825444574,5.828623521184527e-06,0.00011337440006046635,3.205988907310144e-06
2012,E06000005,90424,79383,9,43664,0.00020611945767680468,18.638145840967386,male,12-15,2515,0.02781341236839777,5.73288547351548e-06,0.00011337440006046635,3.1533289409014517e-06
2012,E06000047,448548,79383,4055,235921,0.017187956985601112,7709.6237299774075,female,12-15,11165,0.02489142745035091,0.0004278327843268422,0.05108146580502122,0.0012714906001432666
2012,E06000047,448548,79383,4055,235921,0.017187956985601112,7709.6237299774075,male,12-15,11583,0.0258233232563739,0.0004438501693558274,0.05108146580502122,0.0013190932038924727
2012,E06000057,277357,79383,844,150372,0.0056127470539728145,1556.7346846487378,female,12-15,6949,0.025054352332913896,0.0001406237422457594,0.010631999294559288,0.0002663778563291804
2012,E06000057,277357,79383,844,150372,0.0056127470539728145,1556.7346846487378,male,12-15,7401,0.026684020954942548,0.00014977066000300263,0.010631999294559288,0.0002837044919689544
2012,E07000026,84603,79383,94,38423,0.0024464513442469353,206.97712307732345,female,12-15,2149,0.025400990508610805,6.214228737499454e-05,0.0011841326228537595,3.0078141514044765e-05
2012,E07000026,84603,79383,94,38423,0.0024464513442469353,206.97712307732345,male,12-15,2300,0.027185797193952935,6.650873008957072e-05,0.0011841326228537595,3.219158933564587e-05
2012,E07000028,93900,79383,140,43046,0.003252334711703759,305.39422942898295,female,12-15,2278,0.024259850905218316,7.890115519979939e-05,0.0017636017787183655,4.278471620788537e-05
2012,E07000028,93900,79383,140,43046,0.003252334711703759,305.39422942898295,male,12-15,2260,0.02406815761448349,7.82777044563418e-05,0.0017636017787183655,4.244664557937706e-05
2012,E07000029,61561,79383,19,30456,0.0006238508011557657,38.40487916995009,female,12-15,1553,0.02522701060736505,1.5737890778169687e-05,0.00023934595568320675,6.0379829628501825e-06
2012,E07000029,61561,79383,19,30456,0.0006238508011557657,38.40487916995009,male,12-15,1541,0.025032081999967513,1.5616284410276554e-05,0.00023934595568320675,5.9913275890226214e-06
2012,E07000030,46708,79383,67,20574,0.0032565373772722853,152.10634781763392,female,12-15,1154,0.02470668836173675,8.04582541186139e-05,0.0008440094226723606,2.0852677780335365e-05
2012,E07000030,46708,79383,67,20574,0.0032565373772722853,152.10634781763392,male,12-15,1258,0.026933287659501585,8.77092579559933e-05,0.0008440094226723606,2.2731948568164547e-05
2012,E08000021,245052,79383,1392,110639,0.012581458617666465,3083.1115971764025,female,12-15,5640,0.023015523235884627,0.00028956885315622343,0.017535240542685463,0.00040358273615700345
2012,E08000021,245052,79383,1392,110639,0.012581458617666465,3083.1115971764025,male,12-15,6053,0.024700879813264125,0.00031077309719053554,0.017535240542685463,0.00043313586914155
2012,E08000022,174566,79383,509,101849,0.004997594478099932,872.4100776639928,female,12-15,4276,0.02449503339711055,0.0001224162436462731,0.006411952181197485,0.00015706098281910823
2012,E08000022,174566,79383,509,101849,0.004997594478099932,872.4100776639928,male,12-15,4507,0.025818315135822553,0.0001290294691566307,0.006411952181197485,0.00016554580204998146
2012,E08000023,129321,79383,2626,79275,0.03312519709870703,4283.783614001892,female,12-15,3324,0.025703482033080476,0.0008514329084688656,0.03308013050653163,0.000850274540126593
2012,E08000023,129321,79383,2626,79275,0.03312519709870703,4283.783614001892,male,12-15,3414,0.02639942468740576,0.000874486146062788,0.03308013050653163,0.0008732964139567354
2012,E08000024,240015,79383,9783,128844,0.07592903045543448,18224.106244761108,female,12-15,6078,0.025323417286419597,0.0019227825223762296,0.12323797286572692,0.0031208066124112583
2012,E08000024,240015,79383,9783,128844,0.07592903045543448,18224.106244761108,male,12-15,6326,0.026356686040455806,0.0020012376170700937,0.12323797286572692,0.003248144559084176
2012,E08000037,173699,79383,59845,95966,0.6236062772231832,108319.78674738969,female,12-15,4250,0.024467613515333997,0.015258157376833077,0.7538767746242898,0.018445565559693674
2012,E08000037,173699,79383,59845,95966,0.6236062772231832,108319.78674738969,male,12-15,4524,0.026045054951381413,0.016241859758304198,0.7538767746242898,0.01963476202165981
2012,E06000005,90424,79383,9,43664,0.00020611945767680468,18.638145840967386,female,16-17,1269,0.014033884809342652,2.892656726000455e-06,0.00011337440006046635,1.5910832707769153e-06
2012,E06000005,90424,79383,9,43664,0.00020611945767680468,18.638145840967386,male,16-17,1354,0.014973900734318323,3.0864122986640003e-06,0.00011337440006046635,1.6976570123183164e-06
2012,E06000047,448548,79383,4055,235921,0.017187956985601112,7709.6237299774075,female,16-17,5713,0.012736652487582155,0.00021891703509711147,0.05108146580502122,0.0006506068785148663
2012,E06000047,448548,79383,4055,235921,0.017187956985601112,7709.6237299774075,male,16-17,6076,0.013545930424391592,0.0002328268694643881,0.05108146580502122,0.0006919459817707557
2012,E06000057,277357,79383,844,150372,0.0056127470539728145,1556.7346846487378,female,16-17,3591,0.012947212437400173,7.2669428465178e-05,0.010631999294559288,0.00013765475350094788
2012,E06000057,277357,79383,844,150372,0.0056127470539728145,1556.7346846487378,male,16-17,3981,0.014353342443132858,8.05616805123569e-05,0.010631999294559288,0.00015260472672995644
2012,E07000026,84603,79383,94,38423,0.0024464513442469353,206.97712307732345,female,16-17,1127,0.013321040625036936,3.258927774388965e-05,0.0011841326228537595,1.577387877446647e-05
