ltla,sex,12-15,16-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E06000001,female,2306,1219,4136,3016,2728,2560,3249,3621,3432,2849,2878,2338,2064,1878,1386,819,496
E06000001,male,2237,1306,4129,2775,2490,2473,3031,3486,3284,2855,2779,2382,1719,1524,959,482,154
E06000002,female,3348,1766,7793,4980,4327,3893,4570,4987,4791,4221,3699,3119,2688,2421,1835,1108,645
E06000002,male,3342,1848,8698,4931,4088,3807,4216,4609,4623,3993,3567,3038,2407,1896,1301,597,241
E06000003,female,3088,1610,5659,3954,3818,3655,4759,5321,4964,4422,4543,4388,3509,2793,2192,1373,783
E06000003,male,3219,1820,5715,3784,3414,3380,4367,5058,4785,4154,4308,4147,3151,2368,1586,823,281
E06000004,female,4409,2286,8577,6420,6121,5738,7026,7495,6995,6029,5672,4940,3902,3407,2685,1557,855
E06000004,male,4838,2528,9352,6296,5863,5423,6723,7044,6751,5915,5503,4709,3523,2763,1868,863,325
E06000005,female,2557,1269,4204,3333,3322,3296,3819,4032,3806,3235,3190,2974,2319,2046,1552,1130,670
E06000005,male,2515,1354,4110,3198,3174,3133,3684,3978,3643,3204,3133,2844,2138,1662,1039,615,246
E06000006,female,3018,1498,5368,4256,3995,4022,4561,4628,4670,4192,4160,3299,2436,2106,1481,886,524
E06000006,male,3092,1641,5434,3979,3790,3753,4400,4544,4379,3895,4122,3248,2229,1600,1128,489,177
E06000007,female,4862,2491,7972,6238,6391,6648,8004,8321,7102,5968,5889,5663,4580,3323,2555,1635,1012
E06000007,male,5156,2625,8679,6363,6243,6634,7796,8484,7236,5963,5763,5347,3934,2952,1757,903,336
E06000008,female,3955,2100,6566,5466,5125,4730,5318,4944,4483,4000,3771,3170,2411,1986,1580,1048,633
E06000008,male,4349,2292,6650,5263,5155,4929,5472,4995,4673,4061,3767,3178,2266,1712,1095,519,226
E06000009,female,3302,1713,5977,4408,3976,3923,5048,5471,4882,4264,4365,4227,3368,2967,2340,1557,1043
E06000009,male,3277,1717,5968,4307,3895,3960,5063,5641,5169,4356,4360,4180,3105,2338,1629,808,369
E06000010,female,5388,2986,15366,10336,8657,7803,8417,8731,8273,6920,6533,5595,4371,4067,3311,2023,1108
