ltla,sex,12-15,16-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E06000001,female,1932,1174,3874,3050,2967,2657,2685,3365,3644,3212,2756,2780,2021,1864,1465,893,544
E06000001,male,2169,1116,4021,3020,2705,2371,2637,3100,3477,3198,2645,2737,1907,1436,1092,526,210
E06000002,female,3056,1678,7601,4953,4685,3983,3945,4468,4926,4520,3914,3548,2663,2346,1852,1177,630
E06000002,male,3188,1622,8632,5523,4470,3728,3854,4122,4613,4290,3619,3378,2444,1921,1374,734,238
E06000003,female,2709,1509,5170,4114,4045,3670,3953,4936,5365,4811,4355,4716,3802,3087,2189,1386,877
E06000003,male,2906,1608,5556,3939,3591,3305,3584,4461,5076,4610,4014,4351,3511,2702,1678,904,392
E06000004,female,4186,2194,7917,6296,6689,6046,6092,7024,7435,6692,5688,5648,4186,3457,2735,1713,1008
E06000004,male,4518,2403,8913,6465,6341,5610,5714,6802,6937,6375,5475,5300,3920,2927,2046,1062,433
E06000005,female,2272,1245,3874,3359,3359,3254,3537,3916,4052,3673,3066,3271,2494,2153,1676,1087,719
E06000005,male,2458,1231,3920,3158,3104,3237,3180,3758,3952,3411,3050,3072,2396,1801,1255,644,318
E06000006,female,2876,1452,5018,4223,4128,3926,4283,4551,4660,4434,4082,4071,2691,2055,1665,926,511
E06000006,male,2840,1601,5141,3951,4031,3615,3875,4457,4459,4078,3761,3971,2578,1798,1134,623,251
E06000007,female,4570,2459,7384,6526,6751,6687,6981,8162,8146,6622,5716,6085,4967,4026,2661,1738,1072
E06000007,male,4895,2566,8178,6651,6691,6434,7213,7894,8273,6736,5630,5695,4478,3286,2185,1030,427
E06000008,female,3951,1937,6147,5044,5374,4762,4780,5080,4793,4221,3714,3543,2616,2041,1508,1027,567
E06000008,male,4133,2168,6936,4929,5280,4956,4835,5306,4772,4293,3651,3551,2425,1805,1188,617,221
E06000009,female,2839,1656,5686,4391,4068,3698,4138,5229,5330,4573,4021,4384,3503,2933,2286,1453,993
E06000009,male,2965,1607,5731,4476,4032,3784,4088,5141,5584,4834,3995,4240,3357,2471,1638,883,383
E06000010,female,5103,2488,14223,11215,9558,7590,7698,8246,8600,7720,6358,6288,4533,3903,3107,2007,1058
E06000010,male,5444,2753,14914,11912,9733,8330,8268,8446,8635,7614,6483,6293,4147,3230,2275,1159,491
E06000011,female,6975,3717,10534,7564,7904,8884,10653,12739,13386,12331,11903,13774,10637,8372,6387,3938,2500
E06000011,male,7111,3875,12528,7724,7669,8087,9973,12164,13286,12175,11111,13054,9876,7266,4924,2611,1087
E06000012,female,3428,1759,6060,5467,5023,4368,4670,5756,5968,5307,4646,4848,3797,3307,2534,1683,1028
E06000012,male,3393,1899,6420,5435,4780,4299,4770,5477,5775,5226,4606,4734,3526,2645,1964,1018,430
E06000013,female,3640,1867,5947,5154,5204,4705,5110,6270,6441,5866,5434,5593,4427,3253,2591,1656,1180
E06000013,male,3813,1938,6541,5085,5192,4761,5060,6101,6524,5895,5314,5556,4092,3003,1979,1060,412
E06000014,female,3696,1959,15737,7400,6362,6106,6034,6951,6802,5983,5314,5854,4704,3802,3096,2125,1374
E06000014,male,3824,2043,14741,8405,6798,6100,5953,6641,6636,5859,5029,5213,4105,3062,2244,1235,616
E06000015,female,5585,2861,12393,9510,8898,8310,7855,8811,8608,7021,6030,6164,5039,4110,3527,2458,1578
E06000015,male,6181,3087,13630,9878,8829,7871,7937,8738,8410,7060,5839,5746,4512,3419,2575,1495,640
E06000016,female,7844,3927,24937,15426,13235,11267,10215,10194,9625,9142,7705,6533,4706,4185,3267,2318,1528
E06000016,male,8244,4308,25117,15889,13543,12189,10576,9868,9728,8935,7789,6457,4276,3219,2353,1299,637
E06000017,female,899,588,1170,788,827,973,1100,1393,1389,1321,1254,1413,1229,894,663,495,350
E06000017,male,1005,641,1628,1227,1105,1113,1181,1412,1415,1290,1216,1407,1122,812,570,301,157
E06000018,female,6082,3220,32763,13860,10837,9194,8627,9239,8916,7490,6465,5524,4359,3770,3164,2152,1443
E06000018,male,6580,3270,32918,15558,12206,10735,9255,9339,8953,7599,6216,6096,3975,3007,2260,1250,536
E06000019,female,3855,2035,6052,5210,5102,5150,5357,6752,7192,6762,6589,6882,5755,4220,3365,2301,1545
E06000019,male,3887,2162,6599,5786,5506,5167,5286,6502,7186,6461,6133,6618,5389,3861,2763,1513,633
E06000020,female,4045,2074,7618,5300,5722,5354,5459,6383,6236,5361,4869,4938,3829,2828,2006,1166,775
E06000020,male,3994,2148,8223,5491,5740,5383,5748,6560,6265,5068,4670,4554,3541,2530,1523,794,305
E06000021,female,5210,2766,11904,9194,8688,7367,7539,8371,8277,7544,6798,6973,5401,4292,3264,2134,1187
E06000021,male,5463,2838,12434,9577,8960,7810,7810,8826,8649,7567,6821,6605,5210,3627,2366,1252,464
E06000022,female,3638,1958,13982,5775,4770,4917,5569,6177,6462,5608,5065,5330,4429,3491,2766,2037,1362
E06000022,male,3913,2066,14446,6427,5044,4728,5180,5991,6142,5369,4755,4979,3991,2930,2157,1269,605
E06000023,female,8389,4355,31489,23494,19010,15417,13344,12842,12850,11059,9468,9077,7066,5708,4888,3390,2568
E06000023,male,8575,4511,30571,25148,20618,17201,13974,13395,12821,10695,9260,8890,6564,4921,3457,2054,1033
E06000024,female,4505,2360,6651,5286,5901,6347,6807,7929,7870,7057,6682,7688,6345,4758,3870,2551,1969
E06000024,male,4625,2467,7097,5186,5379,5887,6625,7642,7859,6553,6163,7033,5992,4104,2948,1657,829
E06000025,female,5808,3023,11276,8656,8743,8924,8863,10467,10582,8406,7324,7731,6641,5109,4104,2598,1628
E06000025,male,5987,3174,13179,8399,8943,8697,8836,10256,10394,8578,7060,7314,6141,4397,3215,1753,748
E06000026,female,4915,2724,15556,8766,8679,7435,7522,8991,8742,8029,6918,7325,5932,4668,3759,2410,1545
E06000026,male,5308,2801,17292,9929,9094,7518,7319,8212,8539,8072,6465,6812,5551,3941,2807,1520,753
E06000027,female,2555,1406,4476,3488,3376,3409,3718,4805,5159,4747,4595,5417,4392,3308,2679,1899,1387
E06000027,male,2669,1558,4766,3493,3302,2905,3575,4480,4895,4605,4352,4899,4208,2918,2079,1091,609
E06000030,female,4701,2561,7786,7374,7952,7610,7764,8117,8027,6794,5685,5478,4223,3207,2540,1760,1068
E06000030,male,4943,2509,8028,6878,7719,7787,8279,8622,8227,7011,5691,5171,3837,2781,2001,1170,515
E06000031,female,4385,2228,7282,7187,7955,7086,6339,6497,6389,5436,4907,4459,3438,2647,2329,1605,937
E06000031,male,4593,2321,7870,7764,7979,7330,6790,6684,6121,5334,4438,4385,3144,2344,1762,956,426
E06000032,female,5207,2661,9773,8562,9105,7776,6675,6618,6714,5318,4409,3851,3099,2768,2222,1365,825
E06000032,male,5519,2680,10135,9445,9904,8267,7105,6731,6476,5455,4396,3713,2734,2454,1803,926,409
E06000033,female,3690,1994,6612,5485,6033,6159,6388,6621,6347,5440,4764,5319,4386,3228,2686,2072,1543
E06000033,male,4018,2079,6781,5182,5806,6097,6263,6511,6501,5601,4717,4842,3806,2760,2044,1238,593
E06000034,female,3867,2019,6578,5981,6679,6489,6169,6188,5601,4473,3851,4018,2958,2220,1671,1144,696
E06000034,male,4055,2085,6676,5409,6028,5999,6180,6256,5916,4636,4003,3870,2671,1828,1211,718,281
E06000035,female,6412,3313,12626,9976,9343,9134,8815,9913,9791,8554,6988,7415,5540,4129,3097,2020,1253
E06000035,male,6549,3697,12875,10133,9340,8801,8837,9889,9758,8398,7006,6915,5143,3610,2356,1188,490
E06000036,female,2808,1540,4126,3778,4416,4883,4434,4629,4506,3811,2936,2750,2140,1595,1260,791,515
E06000036,male,2935,1737,4553,3808,4215,4205,4572,4623,4553,3793,3028,2667,1862,1366,964,518,259
E06000037,female,3960,2117,5055,4148,4635,5128,5778,6334,6106,5213,4579,4785,3715,2610,2045,1323,865
E06000037,male,4022,2201,5633,4224,4366,4701,5503,6359,6250,5423,4517,4472,3454,2397,1593,907,413
E06000038,female,3168,1663,9653,6885,6839,6489,5267,5120,4790,3820,3093,3023,2372,1950,1576,1113,740
E06000038,male,3280,1607,9354,7125,7387,7002,5839,5411,4969,4088,3255,2854,2111,1644,1199,725,352
E06000039,female,3657,1744,5372,5435,7066,6850,5216,4706,4248,3612,2888,2331,1641,1400,1151,755,470
E06000039,male,3865,1823,5771,5164,6518,7157,6051,5072,4281,3581,3069,2342,1444,1230,835,445,206
E06000040,female,3576,1766,4404,4063,4917,5315,5497,5964,5462,4599,3925,4094,3395,2670,2163,1546,1100
E06000040,male,4108,2228,4675,4296,4524,5129,5516,5806,5734,4628,3727,3831,3081,2237,1676,974,495
E06000041,female,3972,1906,5321,3948,4924,6094,6255,6475,6172,5271,4286,4542,3711,2713,2167,1330,979
E06000041,male,4195,2090,5651,4182,4277,5482,6110,6322,6248,5374,4234,4177,3245,2411,1716,929,374
E06000042,female,6284,3095,8686,9017,10837,11044,9869,9426,8883,7696,6913,6399,4346,3310,2332,1571,1085
E06000042,male,6539,3257,9778,8249,10456,11092,10048,9411,8643,7701,6459,5898,3999,2646,1663,1006,432
E06000043,female,5235,2613,21139,12538,10177,9993,9942,10242,9952,7281,5910,5674,4495,3613,3044,2269,1661
E06000043,male,5587,2858,20132,14031,11655,10483,10356,10698,9957,7330,5832,5929,4223,3109,2245,1397,714
E06000044,female,4160,2108,14537,8348,7724,6283,6245,6776,6755,5686,4531,4654,3653,2908,2348,1675,1216
E06000044,male,4329,2227,17627,9512,8210,6853,6466,6862,6689,5918,4434,4419,3406,2383,1759,934,534
E06000045,female,4333,2321,20689,10543,9138,8026,6680,6822,7061,6123,5129,5177,4125,3144,2632,1939,1272
E06000045,male,4598,2449,23169,12022,9871,8578,7680,7057,7375,6292,5163,4880,3770,2611,1860,1171,550
E06000046,female,2666,1577,4508,3336,3279,3263,3939,5209,5323,5098,5181,5799,4989,3414,2760,1963,1460
E06000046,male,2889,1585,5122,3450,3316,3294,3618,4589,5119,4820,4722,5620,4721,3116,2180,1191,647
E06000047,female,9974,5491,24687,15708,15449,14574,15377,18986,20019,18432,16465,17306,13364,10564,7785,4900,2876
E06000047,male,10621,5667,25931,15464,15300,13877,14606,18488,19617,17319,15793,16523,12624,9146,5954,3064,1307
E06000049,female,7970,4291,12453,9241,10293,10826,12537,15054,15122,13166,11543,13188,10455,8102,6305,4454,2952
E06000049,male,8208,4412,13453,9464,9528,10171,11954,14089,14789,12917,11304,12486,9809,7144,4897,2786,1349
E06000050,female,6905,3624,13872,9643,9756,9698,10875,12655,13231,11681,10160,11157,8669,7072,5291,3510,2322
E06000050,male,7162,3744,13905,9224,9234,9076,10347,12028,12481,11028,9915,10733,8196,6102,4033,2285,959
E06000051,female,6804,3671,10259,7888,7849,8215,9282,11431,12221,11150,10568,11567,9718,7297,5357,3648,2605
E06000051,male,6690,3761,11916,9271,8505,8165,8999,11590,12289,10914,10117,10755,9009,6448,4440,2428,1030
E06000052,female,10969,6063,21081,13436,14214,14803,16801,20366,21166,20062,19211,22093,17638,12350,9632,6579,4405
E06000052,male,11638,6361,21969,13834,13316,14063,15353,18341,19656,18762,17792,20590,16501,11045,7666,4304,1849
E06000053,female,33,18,87,46,72,83,69,84,70,83,69,76,84,51,35,33,20
E06000053,male,47,14,67,74,74,59,87,59,106,93,86,83,81,47,29,28,14
E06000054,female,11180,5959,15630,12747,13608,14037,16602,18976,19031,16745,14913,15908,13008,9637,7532,5304,3681
E06000054,male,11491,5987,18135,14707,14114,13396,15151,18095,18699,16425,14271,15067,11946,8488,6137,3410,1556
