year,msoa,ltla,ppln_msoa,total_trust_patients,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor,msoa_frac_tp,ag_msoa_frac_tp
2012,E02002190,E08000032,12036,65995,4138,5339,0.7750515077729911,9328.519947555722,female,0-4,534,0.04436689930209372,0.03438663219930021,0.06270171982725964,0.0027818808896441214
2012,E02002190,E08000032,12036,65995,4138,5339,0.7750515077729911,9328.519947555722,male,0-4,570,0.04735792622133599,0.03670483212284854,0.06270171982725964,0.0029694234215302422
2012,E02005241,E07000122,5631,65995,1337,2378,0.5622371740958789,3165.957527333894,female,0-4,171,0.030367607884922748,0.017073798041270696,0.020259110538677173,0.0006152207249358545
2012,E02005241,E07000122,5631,65995,1337,2378,0.5622371740958789,3165.957527333894,male,0-4,170,0.03019001953471852,0.01697395126909952,0.020259110538677173,0.0006116229429186857
2012,E02005240,E07000122,5411,65995,1337,2333,0.5730818688384055,3100.945992284612,female,0-4,164,0.030308630567362778,0.017369326647477083,0.020259110538677173,0.0006140258969401323
2012,E02005240,E07000122,5411,65995,1337,2333,0.5730818688384055,3100.945992284612,male,0-4,160,0.029569395675475882,0.016945684534123984,0.020259110538677173,0.0005990496555513486
2012,E02005242,E07000122,6215,65995,1414,2519,0.5613338626439063,3488.6899563318775,female,0-4,190,0.030571198712791632,0.01716064905910574,0.021425865595878477,0.0006550143947251666
2012,E02005242,E07000122,6215,65995,1414,2519,0.5613338626439063,3488.6899563318775,male,0-4,183,0.029444891391794046,0.016528414620086057,0.021425865595878477,0.0006308822854458184
2012,E02005742,E07000163,7434,65995,381,3238,0.11766522544780729,874.7232859789993,female,0-4,151,0.020312079634113533,0.002390025429461784,0.00577316463368437,0.0001172649797802448
2012,E02005742,E07000163,7434,65995,381,3238,0.11766522544780729,874.7232859789993,male,0-4,155,0.020850147968792036,0.002453337361368056,0.00577316463368437,0.00012037133686051617
2012,E02005222,E07000121,5985,65995,8,2472,0.003236245954692557,19.368932038834952,female,0-4,91,0.0152046783625731,4.920607884327864e-05,0.00012122130464429124,1.843130947807937e-06
2012,E02005222,E07000121,5985,65995,8,2472,0.003236245954692557,19.368932038834952,male,0-4,113,0.018880534670008355,6.110205394824711e-05,0.00012122130464429124,2.2887230450801855e-06
2012,E02002247,E08000033,9313,65995,8,3095,0.002584814216478191,24.07237479806139,female,0-4,242,0.02598518200365081,6.716686786080986e-05,0.00012122130464429124,3.149957663901909e-06
2012,E02002247,E08000033,9313,65995,8,3095,0.002584814216478191,24.07237479806139,male,0-4,249,0.02673681949962418,6.910971114603989e-05,0.00012122130464429124,3.2410721417833694e-06
2012,E02005243,E07000122,4983,65995,759,2423,0.3132480396203054,1560.9149814279817,female,0-4,149,0.029901665663255066,0.009366638150396449,0.01150087127812713,0.0003438952077946904
2012,E02005243,E07000122,4983,65995,759,2423,0.3132480396203054,1560.9149814279817,male,0-4,156,0.031306441902468396,0.009806681553435209,0.01150087127812713,0.00036005135849645443
2012,E02005245,E07000122,6956,65995,1219,2769,0.4402311303719754,3062.247742867461,female,0-4,170,0.02443933294997125,0.010758955170102908,0.018471096295173878,0.00045142127230873483
2012,E02005245,E07000122,6956,65995,1219,2769,0.4402311303719754,3062.247742867461,male,0-4,182,0.0261644623346751,0.011518410829168994,0.018471096295173878,0.0004832863032952337
2012,E02005244,E07000122,5889,65995,584,2413,0.24202237878159966,1425.2697886448404,female,0-4,215,0.03650874511801664,0.008835933339793501,0.00884915523903326,0.0003230715531316269
2012,E02005244,E07000122,5889,65995,584,2413,0.24202237878159966,1425.2697886448404,male,0-4,236,0.04007471557140432,0.009698977991587285,0.00884915523903326,0.00035462737925146025
2012,E02005183,E07000117,6070,65995,11,2784,0.003951149425287357,23.983477011494255,female,0-4,139,0.022899505766062603,9.047936904694276e-05,0.00016667929388590046,3.816873451423421e-06
2012,E02005183,E07000117,6070,65995,11,2784,0.003951149425287357,23.983477011494255,male,0-4,148,0.02438220757825371,9.633774546005417e-05,0.00016667929388590046,4.064009142522779e-06
2012,E02005246,E07000122,5093,65995,426,2228,0.19120287253141832,973.7962298025135,female,0-4,182,0.03573532299234243,0.006832696406973912,0.006455034472308508,0.00023067274179464921
2012,E02005246,E07000122,5093,65995,426,2228,0.19120287253141832,973.7962298025135,male,0-4,190,0.037306106420577266,0.007133034710577161,0.006455034472308508,0.00024081220297243603
2012,E02005250,E07000122,7735,65995,51,3402,0.014991181657848324,115.95679012345678,female,0-4,364,0.047058823529411764,0.0007054673721340387,0.0007727858171073566,3.636639139328737e-05
2012,E02005250,E07000122,7735,65995,51,3402,0.014991181657848324,115.95679012345678,male,0-4,383,0.04951519069166128,0.0007422912184816946,0.0007727858171073566,3.826463709788204e-05
2012,E02005177,E07000117,5807,65995,11,2887,0.0038101835815725666,22.125736058191894,female,0-4,216,0.03719648699845015,0.00014172544405367219,0.00016667929388590046,6.199884187937748e-06
2012,E02005177,E07000117,5807,65995,11,2887,0.0038101835815725666,22.125736058191894,male,0-4,228,0.039262958498364045,0.00014959907983443175,0.00016667929388590046,6.5443221983787334e-06
2012,E02005252,E07000122,8829,65995,37,3899,0.009489612721210567,83.78379071556809,female,0-4,314,0.035564616604371956,0.00033749443815382467,0.000560648533979847,1.993925016079646e-05
2012,E02005252,E07000122,8829,65995,37,3899,0.009489612721210567,83.78379071556809,male,0-4,364,0.041227772114622266,0.0003912355907260897,0.000560648533979847,2.3114289995318187e-05
2012,E02005251,E07000122,6949,65995,111,2936,0.03780653950953679,262.7176430517711,female,0-4,202,0.029068930781407397,0.0010989956800872688,0.001681945601939541,4.8892360280873114e-05
2012,E02005251,E07000122,6949,65995,111,2936,0.03780653950953679,262.7176430517711,male,0-4,249,0.035832493884012086,0.0013547025957511383,0.001681945601939541,6.0268305494739626e-05
2012,E02006881,E07000117,9932,65995,19,4428,0.004290876242095754,42.616982836495026,female,0-4,326,0.03282319774466371,0.00014084027939218846,0.00028790059853019167,9.44981827636352e-06
2012,E02006881,E07000117,9932,65995,19,4428,0.004290876242095754,42.616982836495026,male,0-4,305,0.03070881997583568,0.00013176774605710883,0.00028790059853019167,8.841087651199e-06
2012,E02005271,E07000124,7549,65995,17,2786,0.006101938262742283,46.0635319454415,female,0-4,191,0.02530136441912836,0.0001543873636486655,0.00025759527236911885,6.517511858855703e-06
2012,E02005271,E07000124,7549,65995,17,2786,0.006101938262742283,46.0635319454415,male,0-4,207,0.027420850443767388,0.00016732033651975793,0.00025759527236911885,7.063481438655133e-06
2012,E02005247,E07000122,9888,65995,224,3681,0.06085302906818799,601.7147514262429,female,0-4,257,0.025991100323624595,0.0015816371835077178,0.0033941965300401545,8.821890253037214e-05
2012,E02005247,E07000122,9888,65995,224,3681,0.06085302906818799,601.7147514262429,male,0-4,255,0.02578883495145631,0.0015693287229356734,0.0033941965300401545,8.753237410601127e-05
2012,E02005249,E07000122,9461,65995,111,4155,0.026714801444043323,252.7487364620939,female,0-4,457,0.04830356199133284,0.0012904200676384947,0.001681945601939541,8.124396364933624e-05
2012,E02005249,E07000122,9461,65995,111,4155,0.026714801444043323,252.7487364620939,male,0-4,465,0.04914913856886164,0.0013130094780129103,0.001681945601939541,8.26661774550139e-05
2012,E02005176,E07000117,8795,65995,11,3911,0.002812579902838149,24.73664024546152,female,0-4,250,0.028425241614553724,7.994826329841241e-05,0.00016667929388590046,4.737899200849928e-06
2012,E02005176,E07000117,8795,65995,11,3911,0.002812579902838149,24.73664024546152,male,0-4,279,0.031722569641841954,8.922226184102825e-05,0.00016667929388590046,5.287495508148519e-06
2012,E02005181,E07000117,6197,65995,12,2853,0.004206098843322818,26.0651945320715,female,0-4,202,0.03259641762142972,0.00013710375445396308,0.00018183195696643684,5.9270704061998125e-06
2012,E02005181,E07000117,6197,65995,12,2853,0.004206098843322818,26.0651945320715,male,0-4,234,0.03776020655155721,0.00015882316110013545,0.00018183195696643684,6.866012252726516e-06
2012,E02005178,E07000117,9080,65995,12,4023,0.002982848620432513,27.084265473527218,female,0-4,500,0.05506607929515418,0.000164253778658178,0.00018183195696643684,1.0012772960706875e-05
2012,E02005178,E07000117,9080,65995,12,4023,0.002982848620432513,27.084265473527218,male,0-4,559,0.06156387665198238,0.00018363572453984303,0.00018183195696643684,1.1194280170070286e-05
2012,E02005182,E07000117,5901,65995,9,2946,0.003054989816700611,18.027494908350306,female,0-4,215,0.03643450262667344,0.00011130703450103903,0.00013637396772482764,4.968717685280112e-06
2012,E02005182,E07000117,5901,65995,9,2946,0.003054989816700611,18.027494908350306,male,0-4,179,0.030333841721742076,9.266957756133017e-05,0.00013637396772482764,4.136746351930884e-06
2012,E02005272,E07000124,7356,65995,16,2935,0.00545144804088586,40.10085178875639,female,0-4,205,0.027868406742794997,0.0001519231713406201,0.00024244260928858247,6.7564892474387445e-06
2012,E02005272,E07000124,7356,65995,16,2935,0.00545144804088586,40.10085178875639,male,0-4,244,0.03317020119630234,0.0001808256283273722,0.00024244260928858247,8.041870128658799e-06
2012,E02005248,E07000122,6501,65995,102,3091,0.03299902944031058,214.52669039145908,female,0-4,291,0.04476234425473004,0.0014771139158791537,0.0015455716342147132,6.918340956106469e-05
2012,E02005248,E07000122,6501,65995,102,3091,0.03299902944031058,214.52669039145908,male,0-4,302,0.046454391632056606,0.0015329498370979533,0.0015455716342147132,7.179858999120802e-05
2012,E02005186,E07000117,6033,65995,13,2497,0.005206247496996396,31.409291149379257,female,0-4,161,0.026686557268357367,0.00013893682198183653,0.00019698462004697325,5.256841343869168e-06
2012,E02005186,E07000117,6033,65995,13,2497,0.005206247496996396,31.409291149379257,male,0-4,153,0.02536051715564396,0.00013203312896410552,0.00019698462004697325,4.995631836099272e-06
