year,msoa,ltla,ppln_msoa,total_trust_patients,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor,msoa_frac_tp,ag_msoa_frac_tp
2018,E02006025,E06000051,9769,156465,2595,3557,0.7295473713803767,7126.9482710149005,female,0-4,215,0.02200839389906848,0.01605616591736933,0.016585178793979485,0.000365013147784378
2018,E02006025,E06000051,9769,156465,2595,3557,0.7295473713803767,7126.9482710149005,male,0-4,231,0.023646227863650324,0.017251043380987516,0.016585178793979485,0.0003921769169218202
2018,E02006021,E06000051,8501,156465,2688,3539,0.7595365922576999,6456.820570782706,female,0-4,157,0.018468415480531703,0.0140274373584824,0.017179560924168346,0.00031727926892064824
2018,E02006021,E06000051,8501,156465,2688,3539,0.7595365922576999,6456.820570782706,male,0-4,141,0.016586283966592164,0.012597889602203937,0.017179560924168346,0.0002849450759096267
2018,E02006045,E06000051,10955,156465,2277,5148,0.4423076923076923,4845.480769230769,female,0-4,254,0.023185759926973984,0.01025523996770003,0.01455277538107564,0.0003374171562567971
2018,E02006045,E06000051,10955,156465,2277,5148,0.4423076923076923,4845.480769230769,male,0-4,213,0.019443176631675035,0.008599866587087035,0.01455277538107564,0.0002829521822153456
2018,E02006192,E07000197,8769,156465,82,3010,0.02724252491694352,238.88970099667773,female,0-4,202,0.02303569392176987,0.0006275504656429002,0.0005240788674783498,1.207252038209906e-05
2018,E02006192,E07000197,8769,156465,82,3010,0.02724252491694352,238.88970099667773,male,0-4,210,0.023947998631542934,0.0006524039494307378,0.0005240788674783498,1.2550640001192091e-05
2018,E02002969,E06000021,9343,156465,8,3942,0.0020294266869609334,18.960933536276002,female,0-4,315,0.03371508080916194,6.842228474715766e-05,5.112964560764388e-05,1.7238401334055254e-06
2018,E02002969,E06000021,9343,156465,8,3942,0.0020294266869609334,18.960933536276002,male,0-4,315,0.03371508080916194,6.842228474715766e-05,5.112964560764388e-05,1.7238401334055254e-06
2018,E02003810,E06000050,8859,156465,70,3658,0.01913613996719519,169.52706396938217,female,0-4,194,0.021898634157354102,0.00041905532832552957,0.000447384399066884,9.797107282873404e-06
2018,E02003810,E06000050,8859,156465,70,3658,0.01913613996719519,169.52706396938217,male,0-4,249,0.028107009820521504,0.0005378596739848292,0.000447384399066884,1.2574637698121019e-05
2018,E02006172,E07000195,9437,156465,10,3765,0.0026560424966799467,25.065073041168656,female,0-4,182,0.019285789975627847,5.122387775731167e-05,6.391205700955485e-05,1.2325945083966285e-06
2018,E02006172,E07000195,9437,156465,10,3765,0.0026560424966799467,25.065073041168656,male,0-4,204,0.021617039313341104,5.7415775068635064e-05,6.391205700955485e-05,1.3815894489720451e-06
2018,E02006160,E07000195,8598,156465,8,3636,0.0022002200220022,18.917491749174918,female,0-4,237,0.027564549895324496,6.0648074577171606e-05,5.112964560764388e-05,1.4093656674821588e-06
2018,E02006160,E07000195,8598,156465,8,3636,0.0022002200220022,18.917491749174918,male,0-4,230,0.026750407071411957,5.885678123522982e-05,5.112964560764388e-05,1.3677388334215041e-06
2018,E02006015,E06000051,10324,156465,3033,4392,0.6905737704918032,7129.483606557376,female,0-4,235,0.022762495156915925,0.015719182106312842,0.019384526890997986,0.0004412401994754482
2018,E02006015,E06000051,10324,156465,3033,4392,0.6905737704918032,7129.483606557376,male,0-4,292,0.02828361100348702,0.019531919893801486,0.019384526890997986,0.0005482644180716206
2018,E02006016,E06000051,8116,156465,2002,3553,0.5634674922600619,4573.102167182662,female,0-4,161,0.01983735830458354,0.011177706536947999,0.012795193813312882,0.0002538228442512782
2018,E02006016,E06000051,8116,156465,2002,3553,0.5634674922600619,4573.102167182662,male,0-4,192,0.02365697387875801,0.013329935745925564,0.012795193813312882,0.00030269556581518893
2018,E02003840,E06000049,10385,156465,81,4790,0.016910229645093946,175.61273486430062,female,0-4,169,0.016273471352912856,0.0002751881377006141,0.0005176876617773944,8.424575333690866e-06
2018,E02003840,E06000049,10385,156465,81,4790,0.016910229645093946,175.61273486430062,male,0-4,169,0.016273471352912856,0.0002751881377006141,0.0005176876617773944,8.424575333690866e-06
2018,E02003837,E06000049,13828,156465,12,5756,0.0020847810979847115,28.82835302293259,female,0-4,374,0.02704657217240382,5.6386182430306774e-05,7.669446841146582e-05,2.0743224751148552e-06
2018,E02003837,E06000049,13828,156465,12,5756,0.0020847810979847115,28.82835302293259,male,0-4,377,0.0272635232860862,5.683847801129854e-05,7.669446841146582e-05,2.0909614254500008e-06
2018,E02006034,E06000051,9893,156465,3514,4297,0.8177798464044682,8090.296020479404,female,0-4,263,0.02658445365409886,0.02174023042599567,0.022458696833157574,0.0005970521850925343
2018,E02006034,E06000051,9893,156465,3514,4297,0.8177798464044682,8090.296020479404,male,0-4,278,0.028100677246537958,0.022980167522535344,0.022458696833157574,0.0006311045910864051
2018,E02002928,E06000020,5937,156465,1739,2155,0.8069605568445476,4790.924825986079,female,0-4,115,0.019370052214923363,0.01563086812146252,0.011114306713961589,0.00021528470138210926
2018,E02002928,E06000020,5937,156465,1739,2155,0.8069605568445476,4790.924825986079,male,0-4,112,0.01886474650496884,0.015223106344380887,0.011114306713961589,0.00020966857873735859
2018,E02006199,E07000197,8015,156465,21,3264,0.006433823529411764,51.56709558823529,female,0-4,166,0.020711166562694946,0.0001332519907526329,0.0001342153197200652,2.779755841987626e-06
