msoa,ltla,ppln_msoa,ppln_ltla,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor
E02003856,E06000049,10736,378846,88,5222,0.01685178092684795,180.9207200306396,female,0-4,300,0.027943368107302535,0.00047089551770253214
E02003856,E06000049,10736,378846,88,5222,0.01685178092684795,180.9207200306396,male,0-4,315,0.02934053651266766,0.0004944402935876587
E02001252,E08000008,7385,224119,55,3955,0.01390644753476612,102.69911504424779,female,0-4,233,0.031550440081245766,0.00043875453968862633
E02001252,E08000008,7385,224119,55,3955,0.01390644753476612,102.69911504424779,male,0-4,183,0.024779959377115777,0.00034460120499149626
E02001240,E08000008,6065,224119,42,3331,0.012608826178324827,76.47253077154008,female,0-4,173,0.02852431986809563,0.00035965819107175516
E02001240,E08000008,6065,224119,42,3331,0.012608826178324827,76.47253077154008,male,0-4,196,0.03231657048639736,0.00040747401994256654
E02001056,E08000003,8434,545501,50,4791,0.010436234606553955,88.01920267167606,female,0-4,386,0.04576713303296182,0.00047763653760135485
E02001056,E08000003,8434,545501,50,4791,0.010436234606553955,88.01920267167606,male,0-4,370,0.04387004979843491,0.0004578381318976718
E02001220,E08000007,5683,291045,63,2638,0.023881728582259287,135.71986353297953,female,0-4,164,0.028857997536512404,0.0006891788645944964
E02001220,E08000007,5683,291045,63,2638,0.023881728582259287,135.71986353297953,male,0-4,197,0.03466478972373746,0.0008278550995433889
E02003857,E06000049,6625,378846,51,2766,0.01843817787418655,122.15292841648589,female,0-4,208,0.03139622641509434,0.0005788892072197437
E02003857,E06000049,6625,378846,51,2766,0.01843817787418655,122.15292841648589,male,0-4,237,0.03577358490566038,0.0006595997216878811
E02001199,E08000007,8013,291045,84,3597,0.02335279399499583,187.12593828190157,female,0-4,270,0.03369524522650692,0.0007868781203854827
E02001199,E08000007,8013,291045,84,3597,0.02335279399499583,187.12593828190157,male,0-4,297,0.03706476974915762,0.0008655659324240312
E02001166,E08000006,7219,251332,30,3409,0.00880023467292461,63.52889410384277,female,0-4,444,0.061504363485247265,0.0005412528320790313
E02001166,E08000006,7219,251332,30,3409,0.00880023467292461,63.52889410384277,male,0-4,439,0.06081174677933232,0.0005351576425285918
E02003859,E06000049,11920,378846,109,5507,0.01979299073905938,235.9324496095878,female,0-4,279,0.023406040268456375,0.0004632755382716079
E02003859,E06000049,11920,378846,109,5507,0.01979299073905938,235.9324496095878,male,0-4,280,0.02348993288590604,0.0004649360240718646
E02001253,E08000008,4998,224119,30,2604,0.01152073732718894,57.58064516129033,female,0-4,116,0.023209283713485393,0.00026738806121526953
E02001253,E08000008,4998,224119,30,2604,0.01152073732718894,57.58064516129033,male,0-4,140,0.028011204481792718,0.00032270972905291154
E02001187,E08000007,7079,291045,59,3412,0.017291910902696366,122.40943728018757,female,0-4,249,0.03517445966944484,0.0006082336226545268
E02001187,E08000007,7079,291045,59,3412,0.017291910902696366,122.40943728018757,male,0-4,229,0.03234920186467015,0.0005593795164172153
E02001239,E08000008,9268,224119,62,5210,0.011900191938579654,110.29097888675624,female,0-4,328,0.035390591281829954,0.0004211548290736002
E02001239,E08000008,9268,224119,62,5210,0.011900191938579654,110.29097888675624,male,0-4,327,0.03528269313767803,0.0004198708204483758
E02001202,E08000007,6257,291045,51,3211,0.015882902522578637,99.37932108377453,female,0-4,226,0.03611954610835864,0.0005736832299988448
E02001202,E08000007,6257,291045,51,3211,0.015882902522578637,99.37932108377453,male,0-4,251,0.040115071120345215,0.0006371437642907525
E02001177,E08000006,12780,251332,76,6297,0.012069239320311259,154.2448785135779,female,0-4,390,0.03051643192488263,0.0003683101201033952
E02001177,E08000006,12780,251332,76,6297,0.012069239320311259,154.2448785135779,male,0-4,383,0.02996870109546166,0.000361699425640001
E02001189,E08000007,8312,291045,79,3950,0.02,166.24,female,0-4,232,0.02791145332050048,0.0005582290664100096
E02001189,E08000007,8312,291045,79,3950,0.02,166.24,male,0-4,272,0.032723772858517804,0.0006544754571703561
E02001055,E08000003,9318,545501,62,4540,0.013656387665198238,127.25022026431718,female,0-4,421,0.045181369392573514,0.0006170142956695062
E02001055,E08000003,9318,545501,62,4540,0.013656387665198238,127.25022026431718,male,0-4,437,0.04689847606782571,0.0006404637700892498
E02001186,E08000006,10459,251332,69,5061,0.013633669235328987,142.59454653230586,female,0-4,396,0.03786212831054594,0.0005161997339315688
E02001186,E08000006,10459,251332,69,5061,0.013633669235328987,142.59454653230586,male,0-4,370,0.03537623099722727,0.0004823078322087891
E02003860,E06000049,7164,378846,69,2671,0.025833021340321977,185.06776488206663,female,0-4,217,0.03029034059184813,0.0007824910149148338
E02003860,E06000049,7164,378846,69,2671,0.025833021340321977,185.06776488206663,male,0-4,236,0.03294249022892239,0.0008510040530871004
E02001169,E08000006,10465,251332,95,4653,0.02041693531055233,213.66322802493013,female,0-4,299,0.02857142857142857,0.0005833410088729237
E02001169,E08000006,10465,251332,95,4653,0.02041693531055233,213.66322802493013,male,0-4,313,0.02990922121356904,0.0006106546347064386
E02001179,E08000006,6512,251332,33,3461,0.009534816527015313,62.09072522392372,female,0-4,200,0.030712530712530713,0.0002928383454243032
E02001179,E08000006,6512,251332,33,3461,0.009534816527015313,62.09072522392372,male,0-4,243,0.037315724815724816,0.00035579858969052845
E02001049,E08000003,9856,545501,56,4500,0.012444444444444444,122.65244444444444,female,0-4,316,0.03206168831168831,0.00039898989898989895
