msoa,ltla,ppln_msoa,ppln_ltla,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor
E02004705,E07000085,8707,117985,13,3278,0.003965832824893227,34.53050640634533,female,0-4,247,0.028367979786378776,0.00011250266541272851
E02004705,E07000085,8707,117985,13,3278,0.003965832824893227,34.53050640634533,male,0-4,220,0.025267026530377858,0.00010020480320162053
E02004755,E07000089,12009,93680,16,3977,0.004023133014835303,48.313804375157154,female,0-4,481,0.04005329336331085,0.00016113972688281962
E02004755,E07000089,12009,93680,16,3977,0.004023133014835303,48.313804375157154,male,0-4,501,0.041718710966774916,0.00016783992342680378
E02000534,E09000018,8125,264030,113,3175,0.03559055118110236,289.17322834645665,female,0-4,281,0.03458461538461539,0.001230885523924894
E02000534,E09000018,8125,264030,113,3175,0.03559055118110236,289.17322834645665,male,0-4,343,0.04221538461538461,0.0015024688067837673
E02006383,E07000211,9886,142858,8,3404,0.0023501762632197414,23.233842538190363,female,0-4,276,0.02791826825814283,6.561285137048844e-05
E02006383,E07000211,9886,142858,8,3404,0.0023501762632197414,23.233842538190363,male,0-4,305,0.030851709488165083,7.250695531883685e-05
E02000601,E09000021,11528,168433,12,3476,0.0034522439585730723,39.79746835443038,female,0-4,520,0.04510756419153366,0.00015572231596616912
E02000601,E09000021,11528,168433,12,3476,0.0034522439585730723,39.79746835443038,male,0-4,513,0.04450034698126301,0.00015362605402047068
E02000517,E09000017,9495,291368,10,4312,0.002319109461966605,22.019944341372913,female,0-4,447,0.04707740916271722,0.00010917766503413085
E02000517,E09000017,9495,291368,10,4312,0.002319109461966605,22.019944341372913,male,0-4,456,0.04802527646129542,0.00011137587305495228
E02000529,E09000018,8521,264030,134,3764,0.035600425079702444,303.35122210414454,female,0-4,363,0.04260063372843563,0.0015166006693970177
E02000529,E09000018,8521,264030,134,3764,0.035600425079702444,303.35122210414454,male,0-4,412,0.048351132496185896,0.0017213208699492322
E02000542,E09000018,10962,264030,245,4449,0.055068554731400314,603.6614969656102,female,0-4,502,0.04579456303594235,0.002521840400945353
E02000542,E09000018,10962,264030,245,4449,0.055068554731400314,603.6614969656102,male,0-4,526,0.04798394453566868,0.0026424064758909477
E02000511,E09000017,9849,291368,10,4142,0.0024142926122646064,23.77836793819411,female,0-4,327,0.03320134023758757,8.015775045289129e-05
E02000511,E09000017,9849,291368,10,4142,0.0024142926122646064,23.77836793819411,male,0-4,383,0.03888719666971266,9.388507163136807e-05
