year,msoa,ltla,ppln_msoa,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor
2015,E02000691,E09000024,7486,8,2541,0.003148366784730421,23.568673750491932,female,0-4,269,0.0359337429869089,0.00011313260287102368
2015,E02000691,E09000024,7486,8,2541,0.003148366784730421,23.568673750491932,male,0-4,289,0.03860539674058242,0.00012154394880938975
2015,E02000949,E09000032,9829,11,3307,0.003326277592984578,32.693982461445415,female,0-4,344,0.0349984739037542,0.00011641463953471308
2015,E02000949,E09000032,9829,11,3307,0.003326277592984578,32.693982461445415,male,0-4,336,0.034184555905992474,0.00011370732233623138
2015,E02000925,E09000032,7908,12,3354,0.0035778175313059034,28.293381037567084,female,0-4,250,0.03161355589276682,0.00011310753450006018
2015,E02000925,E09000032,7908,12,3354,0.0035778175313059034,28.293381037567084,male,0-4,303,0.03831562974203338,0.00013708633181407293
2015,E02000947,E09000032,8587,8,3373,0.0023717758671805513,20.366439371479395,female,0-4,446,0.05193897752416443,0.00012318761345784626
2015,E02000947,E09000032,8587,8,3373,0.0023717758671805513,20.366439371479395,male,0-4,449,0.0522883428438337,0.00012401622969186764
2015,E02000213,E09000008,10424,3440,4921,0.6990449095712253,7286.844137370453,female,0-4,536,0.051419800460475826,0.03594474976306378
2015,E02000213,E09000008,10424,3440,4921,0.6990449095712253,7286.844137370453,male,0-4,560,0.05372217958557176,0.03755421617036514
2015,E02000623,E09000022,8196,14,3257,0.004298434141848327,35.229966226588886,female,0-4,239,0.029160566129819425,0.00012534477304804176
2015,E02000623,E09000022,8196,14,3257,0.004298434141848327,35.229966226588886,male,0-4,258,0.0314787701317716,0.00013530942027780238
2015,E02000194,E09000008,9356,1522,3661,0.4157334061731767,3889.6017481562412,female,0-4,350,0.0374091492090637,0.015552233022724652
2015,E02000194,E09000008,9356,1522,3661,0.4157334061731767,3889.6017481562412,male,0-4,367,0.03922616502778965,0.016307627198114134
2015,E02006438,E07000215,7967,8,3332,0.0024009603841536613,19.12845138055222,female,0-4,180,0.02259319693736664,5.424537079799913e-05
2015,E02006438,E07000215,7967,8,3332,0.0024009603841536613,19.12845138055222,male,0-4,187,0.023471821262708675,5.635491299569909e-05
2015,E02006580,E07000226,8180,9,3207,0.002806361085126286,22.95603367633302,female,0-4,239,0.02921760391198044,8.199514661921546e-05
2015,E02006580,E07000226,8180,9,3207,0.002806361085126286,22.95603367633302,male,0-4,316,0.03863080684596577,0.00010841199301954847
2015,E02006432,E07000215,5660,101,2224,0.045413669064748204,257.0413669064748,female,0-4,135,0.023851590106007067,0.0010831882197422274
2015,E02006432,E07000215,5660,101,2224,0.045413669064748204,257.0413669064748,male,0-4,152,0.02685512367491166,0.0012195896992653228
2015,E02000233,E09000008,6350,1603,2827,0.567032189600283,3600.654403961797,female,0-4,217,0.03417322834645669,0.019377320495001796
2015,E02000233,E09000008,6350,1603,2827,0.567032189600283,3600.654403961797,male,0-4,285,0.04488188976377953,0.025449476226154434
2015,E02006378,E07000211,9182,331,3552,0.09318693693693694,855.642454954955,female,0-4,256,0.027880636027009367,0.002598111071210614
2015,E02006378,E07000211,9182,331,3552,0.09318693693693694,855.642454954955,male,0-4,254,0.027662818558048356,0.002577813328466781
2015,E02000140,E09000006,8421,19,3343,0.005683517798384685,47.86090338019743,female,0-4,334,0.039662747892174326,0.00022542393357801742
2015,E02000140,E09000006,8421,19,3343,0.005683517798384685,47.86090338019743,male,0-4,330,0.03918774492340577,0.00022272424575073578
2015,E02000697,E09000024,8444,9,2914,0.0030885380919698007,26.079615648593,female,0-4,311,0.03683088583609664,0.00011375359386577546
2015,E02000697,E09000024,8444,9,2914,0.0030885380919698007,26.079615648593,male,0-4,362,0.042870677404073895,0.00013240772019103124
2015,E02006374,E07000210,7090,8,2444,0.0032733224222585926,23.207855973813423,female,0-4,164,0.0231311706629055,7.571577958397873e-05
2015,E02006374,E07000210,7090,8,2444,0.0032733224222585926,23.207855973813423,male,0-4,156,0.022002820874471085,7.202232692134562e-05
2015,E02000694,E09000024,9080,17,3320,0.0051204819277108436,46.49397590361446,female,0-4,384,0.04229074889867841,0.00021654901544504007
2015,E02000694,E09000024,9080,17,3320,0.0051204819277108436,46.49397590361446,male,0-4,392,0.04317180616740088,0.00022106045326681173
2015,E02006788,E09000008,7763,2048,3336,0.6139088729016786,4765.774580335731,female,0-4,308,0.03967538322813345,0.02435706979952557
2015,E02006788,E09000008,7763,2048,3336,0.6139088729016786,4765.774580335731,male,0-4,323,0.04160762591781528,0.02554329073132065
2015,E02000859,E09000029,8536,106,4070,0.026044226044226043,222.3135135135135,female,0-4,262,0.03069353327085286,0.0007993893186020646
2015,E02000859,E09000029,8536,106,4070,0.026044226044226043,222.3135135135135,male,0-4,302,0.035379568884723524,0.0009214334893810057
2015,E02006437,E07000215,8651,10,3514,0.0028457598178713715,24.618668184405234,female,0-4,207,0.02392786961044966,6.809296986468315e-05
2015,E02006437,E07000215,8651,10,3514,0.0028457598178713715,24.618668184405234,male,0-4,231,0.026702115362385852,7.598780695044352e-05
2015,E02000221,E09000008,10681,2952,4641,0.6360698125404007,6793.86166774402,female,0-4,423,0.03960303342383672,0.025190294045931046
2015,E02000221,E09000008,10681,2952,4641,0.6360698125404007,6793.86166774402,male,0-4,409,0.03829229472895796,0.024356572729990065
2015,E02000652,E09000022,8018,292,3164,0.0922882427307206,739.9671302149178,female,0-4,254,0.03167872287353455,0.002923573665951987
