ltla,sex,12-15,16-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E06000001,female,2201,1191,4059,3087,2773,2505,3152,3575,3503,2893,2856,2491,1956,1945,1435,827,507
E06000001,male,2222,1269,4148,2898,2616,2322,3021,3362,3428,2905,2722,2568,1710,1490,1053,494,173
E06000002,female,3271,1702,7666,5003,4558,3742,4428,4874,4825,4315,3657,3277,2641,2400,1877,1114,640
E06000002,male,3214,1899,8701,5091,4105,3799,4092,4506,4568,4067,3526,3224,2324,1982,1339,606,234
E06000003,female,2978,1624,5578,4044,3836,3474,4633,5240,5082,4460,4505,4585,3485,2882,2193,1311,809
E06000003,male,3100,1749,5720,3886,3419,3285,4182,4871,4865,4286,4104,4352,3205,2429,1634,831,303
E06000004,female,4259,2283,8481,6476,6313,5718,6784,7283,7150,6266,5501,5275,3928,3447,2710,1546,905
E06000004,male,4665,2473,9172,6444,5978,5324,6517,7053,6788,6013,5487,4967,3527,2850,1929,919,345
E06000005,female,2472,1301,4072,3394,3358,3233,3790,4034,3837,3339,3163,3155,2263,2085,1565,1095,682
E06000005,male,2400,1307,4053,3175,3209,3059,3657,3852,3751,3211,3088,2994,2146,1700,1076,649,248
E06000006,female,2996,1513,5310,4252,4085,3820,4551,4580,4695,4254,4091,3504,2513,2103,1524,874,507
E06000006,male,3044,1547,5337,4011,3909,3564,4384,4460,4380,3972,3946,3514,2261,1690,1125,502,189
E06000007,female,4743,2481,7789,6395,6576,6420,7900,8225,7460,6100,5687,5943,4658,3492,2557,1627,1022
E06000007,male,5023,2664,8541,6367,6505,6377,7803,8285,7601,6047,5738,5581,3993,3079,1833,922,348
E06000008,female,3876,2107,6353,5473,5285,4517,5228,4999,4610,4032,3698,3285,2474,2005,1578,1031,592
E06000008,male,4176,2281,6731,5088,5267,4836,5281,5096,4750,3982,3751,3346,2259,1764,1108,531,228
E06000009,female,3155,1783,6024,4406,4042,3718,4913,5471,5035,4339,4129,4361,3406,2943,2283,1517,1042
E06000009,male,3121,1780,6061,4215,4022,3677,4894,5601,5250,4404,4164,4259,3169,2385,1642,822,352
E06000010,female,5127,3017,14967,10474,8928,7502,8365,8619,8376,7106,6359,5913,4429,4024,3257,2010,1104
E06000010,male,5554,3090,15939,10511,9251,8213,8794,8917,8451,7105,6461,5808,3950,3360,2194,1104,478
E06000011,female,7341,3997,11223,7677,8148,8936,12012,12996,12633,11734,12329,13107,9397,8054,5952,3644,2454
E06000011,male,7549,4143,12758,7843,7820,8658,11349,12693,12593,11384,11650,12363,8637,6854,4541,2301,906
E06000012,female,3525,1987,6834,5399,4733,4202,5565,5939,5728,4934,4622,4729,3599,3263,2451,1595,988
E06000012,male,3701,2034,7040,5190,4590,4330,5369,5696,5659,4909,4643,4549,3169,2704,1832,875,401
E06000013,female,3744,1988,6413,5225,4953,4572,5866,6370,6056,5575,5456,5257,3932,3166,2561,1629,1085
E06000013,male,3853,2086,6690,5073,4834,4567,5774,6417,6175,5430,5402,5223,3654,2864,1818,969,354
E06000014,female,3747,2005,14939,6978,6502,5869,6817,6945,6428,5625,5442,5727,4260,3893,2979,2011,1337
E06000014,male,3959,2161,14435,7425,6551,5926,6665,6804,6188,5417,5124,5125,3529,2998,2125,1157,558
E06000015,female,5601,2920,13183,9264,8826,7691,8714,8938,7795,6516,5944,6066,4588,4179,3511,2318,1433
E06000015,male,6038,3201,13921,9103,8558,7834,8519,8946,7898,6419,5863,5638,3970,3504,2502,1359,554
E06000016,female,7572,4029,24548,14616,12813,10418,10588,10016,9794,8467,7264,5771,4651,4194,3380,2300,1404
E06000016,male,8194,4310,23118,14253,13581,11062,10350,9863,9694,8494,7376,5590,3989,3323,2274,1294,606
E06000017,female,955,591,1178,761,872,904,1235,1431,1267,1208,1274,1367,1035,812,631,460,313
E06000017,male,1096,699,1679,1183,1071,1045,1244,1391,1313,1131,1260,1295,955,761,510,274,136
E06000018,female,6148,3228,30871,12144,10854,8715,9398,9215,8288,7045,5833,5272,4246,3993,3298,2314,1333
