ltla,sex,12-15,16-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E06000001,female,2219,995,3452,3049,3145,2873,2590,2998,3538,3504,3010,2612,2496,1696,1519,958,575
E06000001,male,2228,1064,3801,3054,2967,2702,2339,2907,3254,3304,2924,2555,2419,1409,1106,598,255
E06000002,female,3375,1431,6910,5230,4801,4451,3649,4198,4505,4671,4254,3490,3090,2276,1914,1197,662
E06000002,male,3432,1638,7800,5845,4903,3918,3654,3934,4208,4305,3852,3164,2917,1903,1459,763,263
E06000003,female,2974,1379,4703,4117,4337,3960,3563,4517,5281,5247,4623,4365,4495,3152,2465,1460,898
E06000003,male,3241,1453,5133,4135,3861,3637,3231,3968,4783,4998,4414,3908,4076,2860,1955,977,423
E06000004,female,4701,2084,6212,6365,6726,6656,5854,6576,7115,7236,6112,5381,5050,3468,2832,1885,1004
E06000004,male,4965,2324,7511,6737,6596,6261,5419,6276,6884,6683,5858,5141,4650,3112,2229,1184,487
E06000005,female,2512,1111,3677,3306,3403,3386,3234,3785,3937,3828,3415,3029,3034,2065,1847,1102,719
E06000005,male,2638,1243,3689,2976,3185,3205,3081,3479,3885,3679,3187,2834,2897,1915,1410,740,345
E06000006,female,3115,1422,4728,4192,4355,4324,3918,4565,4525,4630,4284,3873,3415,2234,1656,1032,530
E06000006,male,3319,1418,4911,3941,3992,3978,3690,4246,4430,4282,3837,3638,3314,1951,1280,638,251
E06000007,female,4792,2287,6955,6097,6793,7016,6468,7571,8069,7451,6094,5474,5678,4310,3139,1799,1133
E06000007,male,5048,2465,7824,6596,6664,6789,6375,7623,8032,7589,5972,5230,5161,3578,2476,1176,491
E06000008,female,4157,2042,6098,4642,5277,5323,4431,4935,4941,4515,3817,3289,3048,2065,1619,1014,535
E06000008,male,4274,2113,6930,5103,4945,5262,4629,4978,4997,4545,3812,3254,2966,1830,1304,599,251
E06000009,female,3086,1440,5274,4428,4082,3879,3659,4636,5344,5047,4329,3698,4037,2959,2313,1417,934
E06000009,male,3159,1544,5419,4368,4307,3797,3556,4608,5338,5213,4452,3700,3820,2552,1750,897,418
E06000010,female,5581,2479,12871,10853,9963,8440,6787,7732,8200,8205,6809,5857,5467,3766,3074,1927,1018
E06000010,male,5998,2652,14060,11586,10413,8546,7523,8020,8315,8062,6700,5770,5246,3098,2395,1198,507
E06000011,female,7232,3472,9385,7431,8548,8976,9513,11904,13514,13477,12431,12263,13004,8980,6945,4316,2605
E06000011,male,7502,3602,11072,7964,7733,8447,8922,11409,12866,13303,11888,11595,12180,7699,5618,2960,1181
E06000012,female,3663,1772,5272,4981,5333,4861,4167,5207,5911,5702,4973,4519,4544,3279,2724,1697,1107
E06000012,male,3956,1711,5772,5054,5236,4428,4223,5108,5449,5698,4799,4305,4215,2813,2043,1133,492
E06000013,female,4006,1741,5451,4898,5427,5291,4716,5688,6508,6331,5646,5308,5060,3639,2657,1729,1207
E06000013,male,4188,1945,6026,4995,5228,5136,4649,5540,6369,6458,5641,5132,4934,3178,2246,1098,468
E06000014,female,4026,1846,16681,7952,6453,6080,5749,6393,6678,6527,5509,5144,5592,3960,3340,2098,1451
E06000014,male,4162,1957,14796,9196,6965,6262,5673,6281,6495,6239,5329,4722,4800,3183,2471,1311,663
E06000015,female,6103,2799,11887,9020,8992,8505,7616,8256,8689,7801,6358,5637,5778,4298,3544,2421,1674
E06000015,male,6675,3121,13419,9553,9046,8164,7363,7985,8549,7662,6176,5334,5135,3515,2771,1592,684
E06000016,female,8459,3923,25236,15558,12740,11719,9894,9779,9641,9274,8011,6765,5457,4013,3334,2334,1591
E06000016,male,8906,4106,26433,17036,12716,12290,10500,9713,9407,9202,7872,6722,5121,3301,2414,1408,661
E06000017,female,1015,536,972,915,859,1037,1054,1322,1529,1409,1322,1305,1411,1032,786,477,376
E06000017,male,1061,557,1297,1187,1176,1128,1210,1344,1450,1465,1234,1293,1349,945,683,352,154
E06000018,female,6792,3132,32634,15711,10752,9604,8190,8615,9024,8205,6793,5684,4846,3664,3145,2083,1463
E06000018,male,7256,3407,33009,18094,11833,10798,9048,9021,8900,8188,6631,5732,4892,3026,2280,1349,615
E06000019,female,3877,1881,5977,5066,5325,5446,5071,6164,7392,7142,6921,6555,6600,4763,3582,2345,1582
E06000019,male,4230,1924,6263,5495,5785,5548,4981,5918,7113,7119,6361,6247,6229,4341,3005,1627,790
E06000020,female,4488,2081,7332,5344,6098,5947,5263,6161,6493,5953,5036,4699,4486,3184,2270,1284,743
E06000020,male,4499,1980,7755,5859,5714,5858,5510,6211,6566,5805,4742,4474,4080,2848,1765,899,355
E06000021,female,5806,2578,10980,9228,9034,8027,6880,7965,8315,7849,7054,6281,6300,4481,3384,2094,1085
E06000021,male,6093,2780,12647,9589,9291,8599,7213,8102,8541,8110,6983,6143,5858,4038,2540,1346,506
E06000022,female,4012,1858,13617,7099,5214,5126,5121,6001,6278,6219,5124,4973,5057,3728,2991,2034,1370
E06000022,male,4171,2039,14499,7935,5665,4974,4818,5752,6205,5758,4948,4412,4640,3095,2369,1340,673
E06000023,female,9383,4095,32907,24812,19698,16335,12797,12373,12341,11445,9681,8501,7895,5884,4731,3378,2535
E06000023,male,9494,4258,31607,26267,21967,17299,14050,12606,12463,10966,9282,8046,7477,5030,3645,2121,1102
E06000024,female,4698,2274,6617,5124,5989,6742,6622,7484,8077,7564,6747,6759,7526,5225,4035,2806,1891
E06000024,male,4937,2318,6901,5061,5530,6150,6268,7368,7752,7418,6286,6059,6753,4706,3212,1783,886
E06000025,female,6195,2857,11498,9034,9945,9626,8601,9580,10559,9404,7662,7059,7353,5724,4341,2747,1810
E06000025,male,6501,2904,12725,9244,9495,9390,8573,9572,10298,9543,7404,6632,6684,5015,3466,2007,859
E06000026,female,5375,2517,14703,8464,8342,8373,6966,8202,8914,8378,7305,6693,6922,4869,3800,2510,1533
E06000026,male,5637,2672,15254,10227,8613,8390,7004,7722,8414,8157,7244,6075,6333,4351,2964,1670,810
E06000027,female,2714,1281,3970,3316,3572,3537,3460,4416,5164,5245,4845,4850,5156,3760,2802,1914,1361
E06000027,male,2895,1413,4475,3494,3544,3236,3075,4219,4832,5039,4654,4355,4938,3326,2237,1295,618
E06000030,female,5044,2330,7501,6685,8008,8171,7137,8021,8068,7466,6106,5283,4990,3572,2659,1813,1101
E06000030,male,5329,2488,7986,6500,7374,8086,7711,8552,8407,7750,6148,5133,4600,3001,2165,1272,570
E06000031,female,4973,2116,6747,6411,7853,7821,6536,6463,6583,5846,5019,4492,4030,2856,2280,1621,1021
E06000031,male,5050,2332,7437,7194,8120,7806,6828,6671,6567,5799,4674,4097,3801,2486,1821,1064,482
E06000032,female,5472,2540,8457,7236,8349,8361,6768,6232,6345,5934,4634,3844,3373,2634,2351,1465,899
E06000032,male,5924,2813,8680,8126,9625,8929,7502,6629,6262,5930,4625,3676,3097,2181,1961,987,473
E06000033,female,4156,1790,6402,5211,5992,6280,6182,6595,6622,6022,4961,4792,5022,3553,2773,1900,1558
E06000033,male,4312,2042,6346,5138,5649,6233,5918,6593,6500,6213,4905,4408,4544,2945,2176,1304,650
E06000034,female,4509,1931,6134,5890,7207,7019,6320,5999,5944,4975,3920,3622,3540,2377,1731,1133,659
E06000034,male,4606,2055,6560,5406,6256,6338,6152,6093,6154,5199,4062,3487,3219,1952,1318,719,306
E06000035,female,6762,3176,10815,10033,9987,9557,8741,9173,9756,9099,7450,6521,6642,4408,3394,1991,1238
E06000035,male,6982,3374,11697,9847,9831,9148,8517,9171,9715,8817,7364,6198,6115,3929,2558,1330,535
E06000036,female,3148,1430,4205,3654,4420,4950,4472,4484,4570,4233,3270,2645,2601,1687,1383,826,564
E06000036,male,3274,1612,4774,3596,4207,4470,4196,4643,4558,4133,3319,2649,2289,1445,1075,562,285
E06000037,female,4183,1968,4891,3833,4453,4938,5359,6043,6164,5649,4823,4361,4434,3074,2193,1409,924
E06000037,male,4112,2057,5417,4066,4241,4686,4978,5807,6324,5785,4830,4111,4106,2713,1793,987,463
