ltla,sex,12-15,16-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E06000049,male,8667,4105,12472,9740,9463,10515,10912,13706,14737,13934,11612,11445,11391,7475,5315,2871,1424
E06000050,female,7297,3410,13535,9611,9951,10416,10097,12387,13140,12447,10686,10325,10181,7164,5610,3590,2335
E06000050,male,7533,3596,13398,9723,9143,9539,9335,11728,12447,11754,10166,9819,9641,6407,4370,2389,1114
E06000051,female,6948,3456,10032,7989,8211,8644,8695,11177,12593,11963,10902,10995,10994,7799,5697,3798,2599
E06000051,male,6922,3527,11420,9087,8948,8488,8520,11131,12261,12101,10485,10255,10295,6823,4843,2562,1128
E06000052,female,11467,5673,20756,13824,14639,15520,15742,19951,21734,21120,20098,20329,20535,13211,9967,6681,4451
E06000052,male,12052,6071,22098,14178,13523,14385,14502,17972,20014,19882,18588,18750,19203,12035,8051,4427,1992
E06000053,female,26,7,65,67,78,77,63,91,72,76,67,69,87,57,37,23,23
E06000053,male,41,19,61,70,57,68,63,53,103,82,85,77,83,48,31,20,21
E06000054,female,11562,5566,14972,12545,14026,14759,15249,18767,19435,17804,15446,14895,14937,10357,7843,5431,3718
E06000054,male,12018,5610,17466,14214,14622,14384,13907,17789,18841,17621,14688,13963,13829,9104,6455,3666,1639
E06000055,female,4042,1938,5931,4855,5861,6323,5656,6097,6247,5553,4746,4329,4041,2799,2408,1704,1083
E06000055,male,4327,2128,6651,4779,5113,5680,5583,5922,6253,5483,4573,4040,3904,2491,1850,1058,522
E06000056,female,6383,3045,8527,8690,10145,10407,9447,10401,10682,9832,8010,7584,7262,4803,3712,2221,1372
E06000056,male,6585,3132,9697,8364,9414,9509,9045,10079,10605,9623,8012,6919,6901,4250,3153,1657,768
E06000057,female,6466,3279,9607,8209,8751,9251,8667,11179,12686,13259,12086,11746,11105,7449,5630,3575,2224
E06000057,male,7077,3377,10819,8307,8252,8452,8355,10198,11916,12194,11350,10847,10432,6588,4590,2416,1123
E06000058,female,7696,3643,18146,10935,12294,12916,11451,12800,13501,12552,11204,11314,11569,8067,6899,5271,3503
E06000058,male,7975,3904,18994,12196,12437,13607,12060,13317,13913,12356,10560,10234,10715,7047,5525,3330,1771
E06000059,female,7781,3816,10091,7975,8515,9355,9639,12549,14364,14580,14139,14665,15355,10438,8047,5736,3761
E06000059,male,8206,4221,11977,9109,8458,8655,9232,11839,13565,13780,12886,13345,14183,9495,6847,3989,1955
E06000060,female,13312,6369,17314,14701,16085,18522,18293,20266,20436,18264,15073,13991,13842,10145,8221,5465,3796
E06000060,male,13871,6646,19019,14208,14626,16841,17860,19694,20532,18022,14945,12897,12584,8508,6360,3617,1611
E07000008,female,2355,1107,12555,4777,3355,3753,3399,3427,3387,2928,2660,2256,2073,1457,1319,992,748
E07000008,male,2378,1235,13508,7300,4713,4027,3514,3593,3618,2944,2475,2189,1768,1305,992,642,381
E07000009,female,2004,897,2653,2280,2837,3288,3021,3390,3370,2971,2613,2560,2556,1626,1265,906,633
E07000009,male,2275,985,2900,2138,2428,2925,2989,3297,3285,2920,2535,2375,2390,1558,1134,578,261
