ltla,sex,12-15,16-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E06000001,female,2301,1007,3363,3005,3157,2944,2629,2880,3481,3583,3017,2638,2579,1692,1496,972,587
E06000001,male,2326,1106,3720,3117,3006,2727,2426,2755,3113,3420,3014,2534,2472,1462,1086,592,261
E06000002,female,3412,1540,6632,5287,4786,4620,3709,4025,4379,4736,4272,3553,3199,2274,1892,1167,637
E06000002,male,3581,1634,7549,5837,5277,4019,3585,3895,4001,4400,3933,3219,2908,1972,1382,764,247
E06000003,female,3023,1387,4594,4052,4308,4039,3664,4294,5147,5366,4803,4294,4556,3188,2526,1489,911
E06000003,male,3293,1515,4985,4131,3900,3658,3335,3778,4702,5008,4569,3893,4033,2987,1974,983,454
E06000004,female,5003,2157,5793,6094,6665,6850,5960,6304,7142,7269,6295,5413,5183,3502,2832,1909,1069
E06000004,male,5091,2454,7144,6698,6579,6364,5652,6034,6823,6777,6007,5085,4806,3230,2186,1212,521
E06000005,female,2616,1185,3683,3230,3466,3375,3321,3693,3957,3900,3541,2960,3114,2143,1827,1158,701
E06000005,male,2585,1326,3610,3111,3203,3187,3091,3376,3819,3831,3244,2858,2878,1989,1399,774,330
E06000006,female,3275,1408,4635,4194,4387,4359,3967,4504,4450,4675,4286,3880,3612,2227,1637,1059,527
E06000006,male,3417,1483,4856,3987,3996,4026,3735,4044,4397,4408,3903,3573,3433,1995,1249,648,265
E06000007,female,4835,2317,6818,5956,6740,6932,6619,7251,8037,7779,6161,5471,5725,4370,3280,1805,1118
E06000007,male,5112,2428,7493,6372,6616,6754,6325,7442,7943,7790,6140,5166,5158,3699,2508,1289,463
E06000008,female,4312,2004,6078,4673,5169,5369,4527,4839,4943,4567,3838,3348,3181,2076,1631,972,491
E06000008,male,4386,2131,6881,5223,4963,5277,4672,4821,5061,4564,3926,3231,3053,1847,1313,607,236
E06000009,female,3076,1449,5094,4306,4101,3862,3659,4366,5233,5151,4392,3682,3979,2986,2315,1405,913
E06000009,male,3247,1578,5277,4171,4375,3760,3649,4340,5207,5348,4547,3723,3790,2598,1753,909,380
E06000010,female,5731,2608,12715,10440,10065,8643,6864,7569,7968,8236,7116,5827,5606,3735,3032,1899,1009
E06000010,male,6226,2743,13672,10822,10742,8792,7544,7872,8081,8128,6835,5781,5328,3152,2373,1215,480
E06000011,female,7371,3583,9170,7570,8479,9106,9474,11660,13423,13872,12649,12066,13391,9257,7074,4371,2592
E06000011,male,7758,3694,10844,8181,7914,8351,8851,11037,12732,13618,12261,11457,12481,8035,5692,3043,1172
E06000012,female,3757,1772,5270,4742,5396,4975,4205,5032,5762,5841,5098,4490,4611,3296,2760,1737,1109
E06000012,male,4095,1712,5674,4896,5231,4439,4158,4928,5349,5707,4943,4363,4262,2923,1964,1235,508
E06000013,female,4150,1859,5306,4792,5519,5330,4782,5381,6518,6492,5721,5265,5208,3791,2697,1773,1240
E06000013,male,4322,1950,5933,5013,5098,5190,4760,5370,6253,6526,5793,5070,5016,3325,2266,1182,461
E06000014,female,4106,1910,16817,7602,6595,6127,5736,6141,6593,6611,5653,5111,5547,4060,3337,2143,1466
E06000014,male,4271,1984,15019,8926,7491,6359,5627,6070,6405,6374,5390,4652,4814,3289,2460,1330,665
E06000015,female,6438,2864,11625,8585,9052,8471,7761,7945,8616,8076,6575,5554,5752,4419,3468,2470,1636
E06000015,male,6813,3226,13446,9487,9116,8231,7337,7839,8333,7868,6399,5271,5157,3627,2740,1531,736
E06000016,female,8682,4042,24894,14991,12902,11770,10053,9623,9482,9192,8259,6792,5720,3979,3296,2253,1598
E06000016,male,9189,4155,26267,16857,13121,12079,10748,9702,9205,9236,7984,6832,5327,3295,2431,1404,675
E06000017,female,1025,566,878,922,878,1019,1095,1259,1556,1487,1350,1278,1453,1098,757,500,404
E06000017,male,1059,606,1340,1261,1198,1171,1243,1349,1448,1497,1330,1257,1393,998,661,381,165
E06000018,female,7147,3084,33784,15270,11241,9375,8274,8464,9003,8357,6897,5886,4949,3724,3012,2027,1470
E06000018,male,7520,3584,34618,17665,12745,10778,9395,8798,8846,8322,6856,5664,5175,3031,2226,1351,610
E06000019,female,3909,1937,5878,5062,5453,5363,5227,5931,7221,7479,6937,6647,6664,5006,3594,2420,1562
E06000019,male,4377,1944,6111,5439,5838,5543,5142,5695,6913,7356,6540,6197,6340,4506,3041,1674,807
E06000020,female,4685,2079,7164,5720,5898,5977,5438,5905,6489,6102,5155,4764,4620,3251,2333,1307,750
E06000020,male,4760,2014,7573,5889,5625,6024,5470,6158,6554,6049,4747,4465,4171,2969,1802,934,373
E06000021,female,6034,2698,10692,9002,9068,8260,6959,7722,8145,8056,7118,6301,6356,4582,3446,2028,1096
E06000021,male,6360,2922,12540,9391,9261,8815,7307,7776,8453,8280,7058,6095,5909,4136,2620,1311,534
E06000022,female,4157,1860,13828,7314,5646,5062,5184,5867,6208,6335,5315,4883,5096,3895,3016,1991,1409
E06000022,male,4379,2070,14770,8331,6082,5134,4889,5640,6083,5954,5049,4370,4629,3339,2320,1363,680
E06000023,female,9679,4171,32811,24905,20578,16098,12849,12118,12181,11581,9807,8367,8022,5956,4672,3383,2418
E06000023,male,9880,4522,32156,26025,23117,17439,14378,12491,12091,11373,9187,7977,7542,5031,3682,2141,1083
E06000024,female,4725,2293,6509,5201,5876,6675,6750,7351,7989,7703,6937,6624,7499,5548,4026,2838,1872
E06000024,male,5179,2397,6821,5121,5575,6101,6298,7115,7727,7629,6373,5970,6637,5032,3234,1833,890
E06000025,female,6519,2898,11529,9169,9987,9799,8861,9319,10356,9762,7896,6997,7367,5997,4402,2876,1809
E06000025,male,6701,3068,12365,9637,9333,9623,8871,9244,10261,9754,7714,6570,6644,5288,3527,2026,906
E06000026,female,5728,2541,14710,8241,8383,8509,7065,7861,8929,8573,7526,6613,6960,5028,3868,2526,1553
E06000026,male,5853,2725,14792,9644,8868,8721,7138,7568,8214,8257,7589,5996,6352,4468,3031,1686,879
E06000027,female,2781,1311,3833,3293,3482,3548,3506,4153,5099,5433,4953,4801,5207,3914,2851,1935,1367
E06000027,male,2986,1425,4332,3401,3515,3353,3064,3994,4741,5119,4772,4407,4858,3563,2268,1344,628
E06000030,female,5288,2399,7395,6534,7715,8225,7305,7908,7968,7628,6331,5388,5094,3697,2713,1811,1114
E06000030,male,5596,2530,7984,6251,7177,7880,7782,8427,8443,7897,6406,5183,4671,3144,2220,1248,590
E06000031,female,5135,2257,6481,6043,7585,7955,6705,6441,6474,6048,5043,4591,4093,2936,2290,1625,1032
E06000031,male,5386,2320,7182,6814,8110,7784,7000,6723,6605,5808,4804,4018,3951,2516,1869,1070,502
E06000032,female,5668,2553,8307,6830,8074,8445,6914,6206,6269,6035,4771,3845,3396,2590,2327,1506,916
E06000032,male,6192,2790,8822,7697,9538,9087,7635,6739,6284,6003,4826,3685,3114,2198,1874,1042,479
E06000033,female,4336,1771,6261,5019,5806,6309,6285,6532,6619,6075,5153,4679,5036,3733,2756,1935,1481
E06000033,male,4459,2087,6245,5155,5403,5935,6253,6468,6390,6367,5101,4383,4491,3035,2198,1282,652
E06000034,female,4755,2026,6045,5743,7174,7267,6381,6050,5947,5161,3995,3540,3578,2437,1751,1088,641
E06000034,male,4880,2124,6484,5224,6291,6492,6125,6060,6084,5348,4181,3469,3312,1949,1319,722,292
E06000035,female,6835,3282,10519,9898,10222,9525,8961,8969,9604,9180,7747,6424,6682,4623,3380,2015,1239
E06000035,male,7211,3382,11451,9369,10033,9165,8639,9005,9598,9048,7495,6181,6120,4084,2627,1348,550
E06000036,female,3265,1559,4070,3733,4420,4896,4778,4484,4575,4231,3479,2755,2610,1824,1390,863,605
E06000036,male,3488,1609,4729,3522,4280,4384,4355,4615,4508,4278,3378,2704,2360,1515,1097,605,288
E06000037,female,4200,2109,4832,3786,4293,4913,5362,5971,6071,5863,4864,4349,4485,3313,2174,1439,930
E06000037,male,4316,2097,5414,4047,4134,4541,4888,5670,6286,5869,5007,4118,4093,2829,1901,966,509
E06000038,female,3674,1638,8604,6223,5739,5812,5441,4962,4946,4459,3431,2807,2747,2106,1592,1070,677
E06000038,male,3981,1662,8710,6965,6382,6555,5854,5393,5076,4507,3689,2753,2438,1732,1285,716,412
E06000039,female,4567,1809,4989,4186,5710,6932,6062,4814,4428,3778,3187,2464,2045,1378,1129,791,498
E06000039,male,4724,2016,5677,4488,5240,6783,6857,5569,4670,3926,3071,2641,1780,1232,880,496,223
E06000040,female,3971,1876,4479,3594,4319,5453,5392,5746,5752,5220,4181,3600,3865,3024,2348,1589,1183
E06000040,male,4486,2286,5007,3551,4307,4694,5358,5647,5705,5561,4116,3403,3436,2533,1817,1081,635
E06000041,female,4638,2129,5465,4163,5320,6343,6778,6574,6340,5969,4740,4016,4349,3190,2366,1594,1131
E06000041,male,4810,2169,5877,4202,4640,5307,6515,6624,6304,5995,4945,3804,3725,2798,1930,1136,532
E06000042,female,7407,3228,8019,7818,9752,11222,10501,9529,9097,8177,7105,6319,5763,3753,2776,1688,1171
E06000042,male,7823,3321,9206,7907,8696,10747,10671,9697,8892,7973,6869,5754,5023,3201,2035,1003,531
E06000043,female,5597,2700,22460,13239,10546,9113,9177,9417,9801,8964,6472,5365,5118,3862,2963,2046,1573
E06000043,male,5934,2882,21316,14931,12012,10451,9248,9900,10102,8781,6459,5128,5134,3228,2318,1461,821
E06000044,female,4553,2217,14277,8431,7472,6831,5719,6046,6542,6334,5122,4115,4378,3078,2469,1620,1069
E06000044,male,4944,2183,17493,10178,8185,7318,6217,6271,6430,6290,5212,3838,3996,2660,1775,1047,523
E06000045,female,5055,2247,18717,11619,8831,8179,6964,6399,6603,6632,5609,4783,4662,3497,2606,1816,1245
E06000045,male,5450,2521,21087,13953,10009,8601,7375,7063,6745,6989,5713,4581,4259,2940,1932,1100,557
E06000046,female,2792,1328,4188,3264,3284,3458,3431,4490,5581,5625,5517,5445,5816,4287,2916,1965,1356
E06000046,male,3100,1474,4777,3612,3364,3339,3380,4001,4932,5377,5145,5001,5610,3957,2448,1364,693
E06000047,female,11543,5245,24293,16870,15978,15744,14688,16546,19453,19994,18044,15903,16086,11414,8462,5072,2716
E06000047,male,12055,5457,25773,17231,14878,15451,13762,15893,18813,19376,16801,15149,15058,10255,6689,3374,1404
E06000049,female,8787,4190,11245,9562,10496,11544,11556,13763,15411,15255,12670,11619,12616,9315,6881,4393,3113
E06000049,male,9275,4339,11931,9978,9870,10411,10974,13129,14556,14744,12356,10930,11726,8345,5604,3071,1535
E06000050,female,7629,3616,12771,9528,10141,10564,10114,11777,13006,13213,11326,10035,10681,7602,5792,3687,2360
E06000050,male,8153,3652,12631,10120,9237,9602,9415,11091,12215,12396,10583,9523,9907,7018,4683,2396,1231
E06000051,female,7183,3671,9652,7927,8612,8797,8731,10695,12319,12832,11483,10870,11372,8606,6116,3916,2718
E06000051,male,7327,3489,10730,8773,9437,8810,8628,10273,12252,12827,11128,10354,10503,7687,5045,2755,1274
E06000052,female,12301,5694,19931,13713,14415,15815,15772,19067,21898,22263,21155,19727,21299,15254,10263,6812,4589
E06000052,male,12803,6097,21697,13988,13702,14257,14666,17025,19696,20914,19531,18224,19875,13399,8558,4711,2129
E06000053,female,29,8,96,63,73,59,84,85,69,74,64,79,87,64,43,29,21
E06000053,male,44,14,71,59,60,47,59,51,90,89,77,75,72,58,51,19,19
E06000054,female,12172,5801,14520,12195,13960,15130,14967,17850,19541,18843,16232,14779,15401,11618,8283,5607,3869
E06000054,male,12481,5885,17180,13557,15028,14642,14303,16630,18652,18502,15706,13897,14290,10143,6772,3943,1756
E06000055,female,4210,2035,5926,4670,5761,6298,6049,5937,6205,5926,5049,4308,4299,3071,2346,1733,1217
E06000055,male,4608,2226,6452,4730,5019,5581,5629,5832,6305,5886,4837,4021,4109,2719,1912,1129,558
E06000056,female,6848,3107,9087,8570,10994,10847,10024,10209,10696,10382,8429,7484,7574,5433,3802,2415,1428
