ltla,sex,12-15,16-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E06000001,female,2021,1095,3725,3041,3060,2723,2605,3252,3633,3377,2774,2741,2146,1810,1481,926,549
E06000001,male,2107,1169,3843,3094,2772,2495,2479,3016,3427,3211,2740,2626,2148,1393,1112,543,227
E06000002,female,3060,1614,7475,5054,4697,4085,3819,4387,4798,4625,4041,3451,2867,2306,1897,1163,637
E06000002,male,3230,1652,8397,5748,4494,3785,3714,4031,4443,4370,3715,3211,2692,1932,1415,736,258
E06000003,female,2704,1461,4956,4189,4085,3837,3686,4798,5360,4994,4434,4446,4120,3088,2304,1434,883
E06000003,male,3009,1526,5451,4009,3714,3405,3372,4345,5043,4748,4093,4070,3829,2716,1759,912,406
E06000004,female,4291,2143,7627,6384,6662,6262,5791,6937,7372,6845,5829,5422,4603,3435,2742,1776,998
E06000004,male,4593,2288,8598,6509,6361,5874,5432,6684,6902,6514,5637,5148,4264,2981,2047,1182,419
E06000005,female,2268,1172,3760,3414,3332,3374,3345,3838,4051,3780,3137,3106,2803,2090,1746,1103,747
E06000005,male,2552,1160,3769,3075,3111,3239,3060,3707,3935,3588,3072,2947,2625,1841,1284,641,351
E06000006,female,2874,1468,4811,4082,4312,4071,4089,4537,4600,4601,4101,3949,3016,2075,1678,915,530
E06000006,male,2957,1465,5046,3921,3993,3738,3693,4429,4411,4238,3739,3813,2886,1831,1187,635,260
E06000007,female,4648,2279,7279,6517,6768,6864,6699,8025,8237,6936,5831,5633,5395,4162,2793,1737,1117
E06000007,male,4913,2554,8003,6574,6712,6627,6773,7831,8370,7027,5682,5389,4922,3344,2306,1048,457
E06000008,female,4043,1936,6023,4952,5357,5006,4555,5136,4814,4295,3743,3414,2833,2057,1535,1017,544
E06000008,male,4256,2059,6830,4980,5120,5058,4779,5220,4810,4431,3715,3321,2698,1839,1206,591,236
E06000009,female,2945,1535,5479,4512,4085,3796,3885,5091,5389,4766,4053,4131,3796,2880,2302,1443,970
E06000009,male,3087,1525,5571,4506,4195,3770,3792,5046,5512,4991,4127,3944,3674,2491,1631,895,387
E06000010,female,5161,2446,13942,11295,9631,7945,7319,8075,8418,7957,6497,6030,5023,3748,3100,2004,1024
E06000010,male,5513,2667,15013,11976,9800,8486,7925,8276,8638,7796,6540,5985,4670,3100,2355,1181,470
E06000011,female,6958,3597,9949,7618,8106,8956,9980,12667,13416,12683,11991,12982,11865,8368,6561,4117,2442
E06000011,male,7137,3773,11922,7774,7681,8223,9422,12045,13206,12577,11330,12122,11153,7351,5111,2672,1133
E06000012,female,3583,1711,5798,5387,5141,4526,4374,5732,5928,5498,4700,4630,4239,3223,2581,1664,1050
E06000012,male,3551,1757,6133,5474,4824,4455,4404,5372,5710,5408,4672,4433,3893,2655,2053,1043,434
E06000013,female,3649,1934,5691,5014,5337,4953,4862,6139,6466,6020,5486,5422,4709,3389,2587,1733,1133
E06000013,male,3871,1954,6246,5104,5243,4848,4805,5982,6570,6094,5345,5321,4538,3010,2077,1022,469
E06000014,female,3751,1855,16282,7634,6275,6176,5734,6876,6751,6155,5378,5478,5225,3782,3159,2099,1424
E06000014,male,3888,1981,14935,8473,6898,6115,5765,6542,6660,6052,5056,4915,4521,3050,2330,1255,644
E06000015,female,5754,2837,12283,9316,8994,8542,7630,8644,8626,7322,6142,5906,5435,4170,3508,2481,1610
E06000015,male,6272,3125,13544,9892,8804,8011,7717,8525,8484,7284,5911,5506,4904,3411,2610,1490,662
E06000016,female,8070,3804,25384,15909,13220,11481,10008,10197,9641,9217,7797,6664,5010,3976,3397,2297,1521
E06000016,male,8339,4208,26150,16544,13373,12307,10523,9996,9593,9099,7787,6495,4691,3124,2396,1316,649
E06000017,female,956,574,1192,789,853,997,1045,1443,1424,1372,1256,1400,1319,931,686,475,371
E06000017,male,1024,604,1558,1204,1111,1146,1209,1379,1472,1357,1218,1331,1252,872,603,299,145
E06000018,female,6309,3181,32757,14752,11067,9396,8317,9260,8948,7760,6701,5375,4690,3693,3079,2134,1457
E06000018,male,6759,3286,33280,16611,12260,10856,9058,9320,8921,7809,6409,5822,4489,2944,2241,1283,581
E06000019,female,3841,2016,6102,5240,5190,5231,5119,6671,7305,6912,6773,6613,6275,4291,3502,2280,1558
E06000019,male,3974,1993,6540,5710,5627,5344,5116,6321,7203,6769,6177,6438,5747,3944,2830,1608,672
E06000020,female,4155,2090,7484,5378,5781,5560,5234,6399,6367,5564,4853,4748,4185,2930,2089,1237,762
E06000020,male,4063,2137,7935,5667,5724,5601,5574,6503,6425,5346,4615,4507,3796,2598,1613,819,333
E06000021,female,5335,2671,11598,9304,8758,7708,7166,8324,8324,7583,6983,6583,5904,4285,3280,2142,1149
E06000021,male,5723,2810,12710,9751,9167,8095,7483,8680,8583,7843,6846,6336,5640,3687,2419,1332,444
E06000022,female,3605,1987,13909,6294,4808,4926,5248,6176,6477,5720,5116,5122,4831,3460,2788,2022,1352
E06000022,male,3944,2082,14462,7128,5035,4854,4936,5951,6154,5478,4789,4659,4366,2972,2188,1270,629
E06000023,female,8579,4286,32006,24271,19051,15777,13099,12676,12878,11261,9489,8725,7559,5708,4792,3449,2520
E06000023,male,8837,4308,31336,25517,20719,17397,13910,13114,12713,10935,9314,8437,7051,4944,3496,2113,1035
E06000024,female,4493,2290,6532,5291,5837,6590,6651,7765,8078,7244,6683,7246,6940,4858,3899,2689,1891
E06000024,male,4633,2324,7026,5153,5433,5988,6406,7624,7908,6759,6259,6559,6517,4239,3016,1734,830
E06000025,female,5882,3019,11287,8624,9217,9143,8662,10150,10707,8684,7490,7303,7134,5212,4154,2622,1673
E06000025,male,6029,3062,12883,8527,9210,8956,8780,9957,10532,8867,7181,6867,6672,4522,3282,1802,761
E06000026,female,5088,2575,15310,8635,8775,7773,7205,8739,8870,8102,7029,7058,6484,4679,3758,2478,1530
E06000026,male,5320,2722,16870,10246,8734,7968,7154,8192,8529,8058,6778,6427,6097,3976,2831,1598,770
E06000027,female,2639,1324,4328,3408,3453,3482,3633,4688,5157,4999,4715,5053,4803,3403,2706,1909,1378
E06000027,male,2764,1413,4784,3530,3431,3012,3452,4300,4938,4707,4462,4606,4634,2951,2152,1136,620
E06000030,female,4755,2474,7881,7059,8094,7831,7583,8033,8186,7033,5859,5180,4665,3258,2547,1779,1079
E06000030,male,4976,2497,8028,6810,7656,7998,8017,8566,8372,7266,5841,5046,4152,2866,2046,1167,541
E06000031,female,4462,2239,7139,7022,8050,7303,6273,6581,6488,5596,4879,4375,3803,2665,2303,1607,982
E06000031,male,4727,2310,7749,7598,8075,7589,6647,6759,6278,5437,4472,4232,3514,2306,1745,1023,415
