ltla,sex,12-15,16-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E06000001,female,2024,1150,3953,3037,2864,2583,2881,3443,3604,3076,2717,2763,1946,1913,1507,852,538
E06000001,male,2175,1093,4112,2914,2651,2337,2772,3123,3537,3101,2663,2709,1794,1491,1060,542,192
E06000002,female,3067,1663,7580,4892,4655,3863,4151,4543,4939,4422,3830,3494,2602,2391,1852,1139,626
E06000002,male,3162,1663,8577,5387,4215,3668,4006,4197,4577,4250,3543,3322,2394,1950,1380,684,233
E06000003,female,2777,1545,5327,4127,3909,3566,4185,5051,5233,4719,4310,4815,3572,3112,2148,1371,886
E06000003,male,2891,1620,5680,3874,3535,3267,3753,4661,4983,4542,4008,4366,3420,2641,1630,895,363
E06000004,female,4160,2170,8176,6363,6674,5842,6260,7185,7379,6499,5629,5574,3979,3541,2776,1589,987
E06000004,male,4493,2445,9007,6445,6104,5518,6038,6860,6918,6243,5380,5248,3784,2919,2044,960,423
E06000005,female,2277,1331,3965,3290,3313,3259,3675,3919,3990,3583,3058,3261,2387,2165,1627,1065,702
E06000005,male,2405,1236,3967,3093,3198,3104,3349,3834,3893,3288,3008,3102,2297,1798,1198,652,284
E06000006,female,2855,1507,5143,4178,4133,3876,4459,4437,4719,4410,4017,3892,2582,2101,1628,911,492
E06000006,male,2870,1577,5226,3903,3964,3610,4099,4400,4458,4057,3809,3832,2426,1757,1112,587,222
E06000007,female,4510,2491,7639,6430,6789,6554,7254,8190,8019,6343,5716,6065,4809,3918,2596,1701,1039
E06000007,male,4973,2490,8336,6488,6709,6354,7473,7996,8107,6486,5559,5747,4261,3317,2067,936,415
E06000008,female,3936,1962,6241,5188,5305,4585,4962,5065,4796,4092,3672,3524,2496,2103,1496,1041,572
E06000008,male,4136,2137,6897,4963,5294,4749,5006,5306,4763,4234,3590,3530,2335,1834,1140,577,215
E06000009,female,2872,1668,5849,4263,4070,3697,4431,5258,5289,4496,3918,4406,3483,2972,2233,1477,1038
E06000009,male,2995,1662,5807,4400,3987,3681,4343,5303,5444,4784,3954,4352,3193,2487,1598,867,358
E06000010,female,4914,2690,14549,10794,9276,7502,7980,8244,8639,7541,6319,6243,4403,3996,3072,2003,1071
E06000010,male,5259,2938,15486,11165,9535,8264,8498,8595,8683,7355,6517,6152,3939,3352,2295,1125,473
E06000011,female,6952,3891,10834,7548,7979,8771,11082,12960,13195,12053,11849,13767,10070,8398,6217,3772,2495
E06000011,male,7149,3918,12430,7838,7690,8263,10565,12163,13221,11848,11127,13039,9251,7269,4823,2494,1010
E06000012,female,3439,1826,6415,5483,4971,4232,5013,5797,5932,5166,4585,4871,3649,3343,2528,1632,1016
E06000012,male,3425,1945,6673,5431,4641,4226,5056,5510,5844,5039,4569,4718,3394,2625,1993,965,433
E06000013,female,3634,1893,6091,5208,5103,4623,5348,6349,6327,5737,5386,5451,4260,3274,2560,1645,1135
E06000013,male,3886,1926,6661,5013,5069,4621,5275,6198,6471,5761,5258,5440,3963,2993,1921,1012,394
E06000014,female,3636,2033,15736,7145,6436,5971,6328,6849,6884,5784,5294,5895,4488,3901,3070,2051,1354
E06000014,male,3818,2160,14704,8056,6810,5866,6305,6617,6618,5703,5029,5258,3829,3108,2194,1243,587
E06000015,female,5508,2886,12479,9619,8812,7998,8102,8888,8384,6837,5851,6126,4910,4189,3484,2456,1527
E06000015,male,5986,3080,13587,9584,8731,7729,8171,8691,8324,6854,5735,5741,4255,3517,2523,1440,607
E06000016,female,7668,3927,24866,14966,13362,10958,10296,10092,9816,8908,7517,6283,4633,4270,3242,2328,1503
E06000016,male,8152,4255,24484,14761,13614,11888,10526,9783,9742,8736,7646,6191,4071,3307,2325,1346,599
E06000017,female,927,591,1216,740,847,924,1157,1400,1350,1274,1228,1400,1170,877,634,480,339
E06000017,male,1055,628,1684,1200,1041,1060,1177,1379,1383,1244,1189,1366,1088,786,547,282,150
E06000018,female,6100,3277,32094,12903,10813,9050,8847,9281,8703,7237,6274,5435,4344,3853,3183,2255,1367
E06000018,male,6321,3443,32430,14463,12046,10524,9376,9345,8783,7390,6283,5884,3757,3045,2284,1234,547
E06000019,female,3874,2127,6258,5099,5034,4910,5661,6877,7126,6623,6428,6827,5465,4175,3344,2298,1521
E06000019,male,3931,2219,6798,5676,5453,5013,5526,6633,7056,6261,6067,6594,5097,3897,2638,1538,570
E06000020,female,4083,2084,7581,5326,5552,5194,5724,6369,6088,5180,4866,4895,3599,2802,1953,1153,760
E06000020,male,4022,2132,8281,5303,5593,5265,6009,6493,6083,4892,4653,4485,3459,2381,1489,761,280
E06000021,female,5223,2762,12097,9084,8623,7120,7933,8326,8202,7362,6678,6927,5243,4323,3236,2098,1181
E06000021,male,5388,2908,12608,9177,8935,7584,8141,8783,8598,7407,6619,6688,5062,3614,2303,1237,425
E06000022,female,3648,2039,13255,5479,4732,4981,5723,6270,6417,5480,5051,5349,4188,3516,2805,2014,1374
E06000022,male,3940,2039,13966,6078,4923,4662,5495,6027,6096,5285,4665,5000,3804,2913,2144,1263,594
E06000023,female,8369,4381,31217,22259,19059,14989,13422,13125,12647,10932,9354,9006,6939,5816,4926,3477,2546
E06000023,male,8461,4608,30496,23596,20458,16876,14277,13381,12584,10568,9270,8902,6292,4926,3477,2060,981
E06000024,female,4498,2298,6737,5245,5882,6141,7040,7933,7681,6947,6669,7705,5958,4724,3826,2554,1966
E06000024,male,4598,2393,7210,5049,5432,5769,6842,7669,7633,6451,6189,7072,5676,4071,2847,1593,820
E06000025,female,5852,3042,11284,8439,8720,8542,9334,10611,10200,8214,7280,7748,6438,5085,4022,2426,1598
E06000025,male,5901,3397,12705,8391,8680,8462,9172,10393,10302,8205,7095,7288,5964,4423,3119,1646,717
E06000026,female,4976,2710,15763,8840,8712,7291,7920,9035,8718,7746,6906,7352,5584,4751,3692,2313,1596
E06000026,male,5312,2899,17698,9447,9060,7276,7691,8385,8470,7905,6340,6925,5270,3939,2773,1413,707
E06000027,female,2570,1470,4571,3488,3409,3323,3956,4706,5111,4668,4607,5340,4130,3355,2667,1923,1377
E06000027,male,2727,1535,4901,3477,3207,2895,3812,4516,4828,4473,4247,5013,3937,2884,2053,1060,595
E06000030,female,4686,2623,8078,7399,8112,7477,7983,8124,7852,6509,5589,5373,4016,3229,2590,1692,1039
E06000030,male,4934,2534,8292,7037,7799,7687,8535,8598,8169,6673,5544,5092,3653,2794,1964,1119,510
E06000031,female,4314,2209,7587,7374,7681,6683,6404,6547,6251,5257,4824,4382,3256,2735,2340,1567,883
