catchment_year,msoa,trust_code,patients_from_msoa_to_trust,total_patients_of_msoa
2013,E02000001,R1H,1088,2304
2013,E02000001,RRV,601,2304
2013,E02000001,RJ1,164,2304
2013,E02000001,RP4,13,2304
2013,E02000001,RQM,34,2304
2013,E02000001,RYJ,48,2304
2013,E02000001,RAL,45,2304
2013,E02000001,RQX,92,2304
2013,E02000001,RP6,94,2304
2013,E02000001,RJZ,19,2304
2013,E02000001,RKE,17,2304
2013,E02000002,RF4,2248,2886
2013,E02000002,R1H,338,2886
2013,E02000002,RAN,10,2886
2013,E02000002,RRV,33,2886
2013,E02000002,RP4,28,2886
2013,E02000002,RQX,32,2886
2013,E02000002,RQ8,49,2886
2013,E02000002,RJ1,17,2886
2013,E02000002,RP6,33,2886
2013,E02000002,RJZ,17,2886
2013,E02000002,RYJ,9,2886
2013,E02000002,RAL,9,2886
2013,E02000003,RF4,3000,3929
2013,E02000003,R1H,463,3929
2013,E02000003,RYJ,10,3929
2013,E02000003,RDD,11,3929
2013,E02000003,RJZ,14,3929
2013,E02000003,R1K,15,3929
2013,E02000003,RAN,16,3929
2013,E02000003,RJ1,30,3929
2013,E02000003,RRV,59,3929
2013,E02000003,RQX,39,3929
2013,E02000003,RP4,35,3929
2013,E02000003,RQ8,73,3929
2013,E02000003,RP6,53,3929
2013,E02000003,RAL,18,3929
2013,E02000003,RQW,10,3929
2013,E02000004,RF4,1978,2456
2013,E02000004,R1H,212,2456
2013,E02000004,RJ1,11,2456
2013,E02000004,RAL,14,2456
2013,E02000004,RP4,16,2456
2013,E02000004,RQX,23,2456
2013,E02000004,RQ8,51,2456
2013,E02000004,RP6,30,2456
2013,E02000004,RRV,21,2456
2013,E02000004,RDD,19,2456
2013,E02000005,RF4,2516,3290
2013,E02000005,R1H,387,3290
2013,E02000005,RAN,13,3290
2013,E02000005,RDD,14,3290
2013,E02000005,RRV,29,3290
2013,E02000005,RQX,32,3290
2013,E02000005,RP4,36,3290
2013,E02000005,RQ8,66,3290
2013,E02000005,RP6,56,3290
2013,E02000005,RJ1,21,3290
2013,E02000005,RYJ,18,3290
2013,E02000005,RAL,9,3290
2013,E02000007,RF4,2936,3700
2013,E02000007,R1H,353,3700
2013,E02000007,RYJ,15,3700
2013,E02000007,RRV,30,3700
2013,E02000007,RQX,29,3700
2013,E02000007,RP4,32,3700
2013,E02000007,RQ8,74,3700
2013,E02000007,RP6,61,3700
2013,E02000007,RDD,19,3700
2013,E02000007,RJ1,18,3700
2013,E02000007,RAL,17,3700
2013,E02000007,RJZ,18,3700
2013,E02000007,RQM,15,3700
2013,E02000007,R1K,8,3700
2013,E02000008,RF4,3726,4848
2013,E02000008,R1H,579,4848
2013,E02000008,RQM,13,4848
2013,E02000008,RYJ,14,4848
2013,E02000008,RJZ,16,4848
2013,E02000008,RJ1,37,4848
2013,E02000008,RRV,51,4848
2013,E02000008,RAL,23,4848
2013,E02000008,RP4,36,4848
2013,E02000008,RQX,38,4848
