catchment_year,msoa,trust_code,patients_from_msoa_to_trust,total_patients_of_msoa
2012,E02001066,R0A,3227,3531
2012,E02001079,R0A,3118,3376
2012,E02001273,R0A,2799,3090
2012,E02001270,R0A,2344,2606
2012,E02001278,R0A,2528,2808
2012,E02001071,R0A,5324,5753
2012,E02001078,R0A,3649,4096
2012,E02001276,R0A,2997,3254
2012,E02001282,R0A,2988,3270
2012,E02001272,R0A,2611,2901
2012,E02001095,R0A,4044,4353
2012,E02001082,R0A,1872,2096
2012,E02001067,R0A,3683,4153
2012,E02001260,R0A,1916,2320
2012,E02001286,R0A,2527,2854
2012,E02001264,R0A,2147,2527
2012,E02001065,R0A,3018,3724
2012,E02001093,R0A,4223,4571
2012,E02001277,R0A,2921,3233
2012,E02001088,R0A,3846,4130
2012,E02001081,R0A,2057,2263
2012,E02001280,R0A,3184,3461
2012,E02001267,R0A,2027,2419
2012,E02001284,R0A,2372,2675
2012,E02001074,R0A,4259,4640
2012,E02001275,R0A,2522,2904
2012,E02001080,R0A,2169,2429
2012,E02001281,R0A,2538,2816
2012,E02001274,R0A,2389,2749
2012,E02001084,R0A,2807,3117
2012,E02001096,R0A,3208,3506
2012,E02001086,R0A,2489,2745
2012,E02001094,R0A,4212,4524
2012,E02001268,R0A,1937,2323
2012,E02001263,R0A,2058,2453
2012,E02001269,R0A,2243,2602
2012,E02001271,R0A,2140,2409
2012,E02006860,R0A,534,5606
2012,E02006872,R0A,350,4893
2012,E02001293,R0A,133,2494
2012,E02004103,R0A,276,3114
2012,E02004097,R0A,324,2762
2012,E02003867,R0A,288,2892
2012,E02003854,R0A,344,2624
2012,E02003871,R0A,279,3103
2012,E02003812,R0A,127,2117
2012,E02001233,R0A,498,3697
2012,E02003865,R0A,299,2769
2012,E02005286,R0A,191,3432
2012,E02003855,R0A,322,2864
2012,E02004094,R0A,454,3265
2012,E02003817,R0A,217,2794
2012,E02003870,R0A,363,4191
2012,E02003873,R0A,234,2821
2012,E02001230,R0A,386,2647
2012,E02001217,R0A,397,3092
2012,E02001241,R0A,693,4830
2012,E02001235,R0A,379,2962
2012,E02002610,R0A,565,4458
2012,E02001046,R0A,699,4705
2012,E02001193,R0A,570,2938
2012,E02000989,R0A,252,3454
2012,E02001035,R0A,317,2961
2012,E02000987,R0A,171,3154
2012,E02001006,R0A,156,2852
2012,E02003878,R0A,220,3222
2012,E02001037,R0A,390,2944
2012,E02001025,R0A,255,3578
2012,E02004102,R0A,336,3736
2012,E02001042,R0A,409,2565
2012,E02001311,R0A,292,3811
2012,E02001255,R0A,481,2996
2012,E02001244,R0A,341,2487
2012,E02001174,R0A,405,2487
2012,E02001117,R0A,250,2141
2012,E02001052,R0A,1100,6345
2012,E02001317,R0A,204,3983
2012,E02001303,R0A,241,4108
2012,E02001191,R0A,383,2661
2012,E02001154,R0A,410,4140
2012,E02001026,R0A,346,4255
2012,E02001116,R0A,225,2834
2012,E02001099,R0A,183,2419
2012,E02003853,R0A,300,2292
2012,E02003816,R0A,192,2764
2012,E02003815,R0A,207,2969
2012,E02001028,R0A,235,2893
2012,E02001016,R0A,230,3709
2012,E02000998,R0A,203,3551
2012,E02000997,R0A,119,2250
2012,E02004098,R0A,388,3145
2012,E02001171,R0A,393,2395
2012,E02001136,R0A,230,3836
2012,E02001302,R0A,176,3314
2012,E02001251,R0A,463,2718
2012,E02001126,R0A,291,3572
2012,E02001129,R0A,365,2772
2012,E02004093,R0A,384,2690
2012,E02001308,R0A,148,2833
2012,E02001248,R0A,671,4762
2012,E02001186,R0A,820,4196
2012,E02001144,R0A,182,2463
2012,E02001139,R0A,273,3983
2012,E02001123,R0A,243,2937
2012,E02001007,R0A,269,4287
2012,E02001177,R0A,993,5671
2012,E02000996,R0A,241,3853
2012,E02001323,R0A,166,3219
2012,E02003818,R0A,185,2178
2012,E02003868,R0A,300,3583
2012,E02001163,R0A,481,3877
2012,E02001103,R0A,196,2043
2012,E02001105,R0A,206,2377
2012,E02001165,R0A,418,2780
2012,E02001104,R0A,225,2666
2012,E02001164,R0A,496,3089
2012,E02001137,R0A,168,2250
2012,E02001246,R0A,473,3605
2012,E02001243,R0A,516,3402
2012,E02001200,R0A,505,3386
2012,E02001145,R0A,189,2772
2012,E02001008,R0A,241,3627
2012,E02001195,R0A,499,3319
2012,E02001020,R0A,190,2315
2012,E02001209,R0A,509,3449
2012,E02001106,R0A,191,2665
2012,E02001012,R0A,186,3363
2012,E02001039,R0A,410,3586
2012,E02001036,R0A,311,2855
2012,E02000993,R0A,196,3211
2012,E02001158,R0A,270,2982
2012,E02003866,R0A,201,2076
2012,E02003872,R0A,419,3644
2012,E02001160,R0A,306,2965
2012,E02001150,R0A,292,3809
2012,E02001133,R0A,169,2465
2012,E02001114,R0A,301,3375
2012,E02001109,R0A,218,3018
2012,E02001045,R0A,620,4113
2012,E02001031,R0A,261,2674
2012,E02001159,R0A,313,2607
2012,E02000992,R0A,140,2474
2012,E02001218,R0A,459,2322
2012,E02001169,R0A,590,3883
2012,E02000990,R0A,158,2880
2012,E02001237,R0A,397,3188
2012,E02001224,R0A,349,2537
2012,E02001213,R0A,566,3965
2012,E02001147,R0A,304,3796
2012,E02001221,R0A,379,2467
2012,E02003811,R0A,178,2099
2012,E02001019,R0A,241,3286
2012,E02001005,R0A,252,3729
2012,E02004104,R0A,263,2895
2012,E02001023,R0A,220,2289
2012,E02001002,R0A,267,3940
2012,E02000986,R0A,181,3110
2012,E02001313,R0A,187,3644
2012,E02001207,R0A,466,3064
2012,E02001157,R0A,357,3809
2012,E02001127,R0A,274,3079
2012,E02001168,R0A,701,4504
2012,E02001156,R0A,501,4071
2012,E02000985,R0A,213,2841
2012,E02000994,R0A,222,3446
2012,E02001205,R0A,573,3693
2012,E02001138,R0A,244,3580
2012,E02001132,R0A,177,2705
2012,E02001130,R0A,306,2432
2012,E02001125,R0A,338,3330
2012,E02001003,R0A,172,2533
2012,E02001196,R0A,529,3335
2012,E02001004,R0A,185,3099
2012,E02003869,R0A,275,2829
2012,E02003862,R0A,268,1837
2012,E02001048,R0A,652,4077
2012,E02001135,R0A,243,3688
2012,E02001210,R0A,493,3382
2012,E02001152,R0A,374,3930
2012,E02001100,R0A,183,2506
