catchment_year,msoa,trust_code,patients_from_msoa_to_trust,total_patients_of_msoa
2018,E02000001,R1H,963,2598
2018,E02000001,RRV,814,2598
2018,E02000001,RP6,133,2598
2018,E02000001,RQX,158,2598
2018,E02000001,RJ1,241,2598
2018,E02000001,RJ7,10,2598
2018,E02000001,RP4,11,2598
2018,E02000001,RKE,12,2598
2018,E02000001,RPY,15,2598
2018,E02000001,RQM,22,2598
2018,E02000001,RAL,41,2598
2018,E02000001,RYJ,58,2598
2018,E02000001,RJZ,18,2598
2018,E02000001,RAN,12,2598
2018,E02000002,RF4,2323,3027
2018,E02000002,R1H,324,3027
2018,E02000002,RJZ,12,3027
2018,E02000002,RYJ,15,3027
2018,E02000002,RJ1,32,3027
2018,E02000002,RRV,38,3027
2018,E02000002,RP4,27,3027
2018,E02000002,RQ8,50,3027
2018,E02000002,RQX,57,3027
2018,E02000002,RP6,50,3027
2018,E02000002,RDD,15,3027
2018,E02000002,RAL,12,3027
2018,E02000002,RAN,12,3027
2018,E02000002,RAP,9,3027
2018,E02000003,RF4,3146,4208
2018,E02000003,R1H,487,4208
2018,E02000003,RQM,10,4208
2018,E02000003,RJZ,11,4208
2018,E02000003,RAP,15,4208
2018,E02000003,RJ1,59,4208
2018,E02000003,RRV,63,4208
2018,E02000003,RYJ,22,4208
2018,E02000003,RAN,24,4208
2018,E02000003,RP4,33,4208
2018,E02000003,RQX,56,4208
2018,E02000003,RQ8,81,4208
2018,E02000003,RP6,64,4208
2018,E02000003,RAL,19,4208
2018,E02000003,RDD,19,4208
2018,E02000003,RJ2,8,4208
2018,E02000003,RT3,8,4208
2018,E02000003,R1K,8,4208
2018,E02000004,RF4,2154,2726
2018,E02000004,R1H,262,2726
2018,E02000004,RAL,11,2726
2018,E02000004,RJ1,31,2726
2018,E02000004,RRV,30,2726
2018,E02000004,RQ8,39,2726
2018,E02000004,RP6,37,2726
2018,E02000004,RDD,21,2726
2018,E02000004,RP4,17,2726
2018,E02000004,RQX,30,2726
2018,E02000004,RJZ,9,2726
2018,E02000004,RYJ,8,2726
2018,E02000005,RF4,2918,3956
2018,E02000005,R1H,497,3956
2018,E02000005,RDE,10,3956
2018,E02000005,RJZ,11,3956
2018,E02000005,RJ1,55,3956
2018,E02000005,RRV,56,3956
2018,E02000005,RP4,45,3956
2018,E02000005,RQX,53,3956
2018,E02000005,RQ8,66,3956
2018,E02000005,RP6,68,3956
2018,E02000005,RAL,20,3956
2018,E02000005,RYJ,19,3956
2018,E02000005,RDD,17,3956
2018,E02000005,RAP,17,3956
2018,E02000005,RJ2,11,3956
2018,E02000005,RAN,9,3956
2018,E02000005,RAJ,8,3956
2018,E02000007,RF4,3088,4067
2018,E02000007,R1H,470,4067
2018,E02000007,RAP,11,4067
2018,E02000007,RYJ,12,4067
2018,E02000007,RJZ,16,4067
2018,E02000007,RJ1,51,4067
2018,E02000007,RRV,50,4067
2018,E02000007,RDD,25,4067
2018,E02000007,RP4,36,4067
2018,E02000007,RQ8,57,4067
2018,E02000007,RQX,69,4067
2018,E02000007,RP6,62,4067
2018,E02000007,RAL,20,4067
2018,E02000007,RJ2,9,4067
2018,E02000007,RQM,9,4067
2018,E02000007,RAN,9,4067
2018,E02000008,RF4,3814,5269
2018,E02000008,R1H,713,5269
2018,E02000008,RJ7,11,5269
2018,E02000008,RQM,12,5269
2018,E02000008,RT3,13,5269
2018,E02000008,RJ2,16,5269
2018,E02000008,RJ1,79,5269
2018,E02000008,RRV,74,5269
2018,E02000008,RYJ,23,5269
2018,E02000008,RDD,26,5269
2018,E02000008,RAL,37,5269
2018,E02000008,RP4,38,5269
2018,E02000008,RQX,89,5269
2018,E02000008,RQ8,69,5269
2018,E02000008,RP6,102,5269
2018,E02000008,RAP,19,5269
2018,E02000008,RJZ,18,5269
2018,E02000008,RAN,18,5269
2018,E02000008,RN7,12,5269
2018,E02000008,RDE,8,5269
2018,E02000008,R1K,8,5269
2018,E02000009,RF4,3164,4701
2018,E02000009,R1H,833,4701
2018,E02000009,RJ1,74,4701
2018,E02000009,RRV,69,4701
2018,E02000009,RAN,22,4701
2018,E02000009,RJ2,23,4701
2018,E02000009,RYJ,28,4701
2018,E02000009,RAL,29,4701
2018,E02000009,RP4,60,4701
2018,E02000009,RQX,93,4701
2018,E02000009,RQ8,68,4701
2018,E02000009,RP6,81,4701
2018,E02000009,RJZ,17,4701
2018,E02000009,RDD,17,4701
2018,E02000009,RQM,17,4701
2018,E02000009,RJ7,8,4701
2018,E02000009,RT3,8,4701
2018,E02000010,RF4,2842,3818
2018,E02000010,R1H,462,3818
2018,E02000010,RAN,10,3818
2018,E02000010,RJ2,11,3818
2018,E02000010,RYJ,12,3818
2018,E02000010,RQM,15,3818
2018,E02000010,RJ1,56,3818
2018,E02000010,RRV,54,3818
2018,E02000010,RAL,26,3818
2018,E02000010,RP4,36,3818
2018,E02000010,RQ8,47,3818
2018,E02000010,RQX,52,3818
2018,E02000010,RP6,62,3818
2018,E02000010,RJZ,19,3818
2018,E02000010,RDD,12,3818
2018,E02000010,RT3,11,3818
2018,E02000010,RAP,8,3818
2018,E02000010,RJ7,8,3818
2018,E02000011,RF4,2090,2866
2018,E02000011,R1H,383,2866
2018,E02000011,RAL,10,2866
2018,E02000011,RQM,13,2866
2018,E02000011,RAN,14,2866
2018,E02000011,RJ1,34,2866
2018,E02000011,RRV,37,2866
2018,E02000011,RP4,30,2866
2018,E02000011,RQ8,40,2866
2018,E02000011,RQX,54,2866
2018,E02000011,RP6,57,2866
2018,E02000011,RYJ,17,2866
2018,E02000011,RDD,17,2866
2018,E02000011,RJZ,9,2866
2018,E02000012,RF4,2120,4227
2018,E02000012,R1H,1496,4227
2018,E02000012,RJ2,10,4227
2018,E02000012,RQM,15,4227
2018,E02000012,RJ1,91,4227
2018,E02000012,RRV,51,4227
2018,E02000012,RP4,31,4227
2018,E02000012,RQ8,36,4227
2018,E02000012,RQX,84,4227
2018,E02000012,RP6,118,4227
2018,E02000012,RAL,21,4227
2018,E02000012,RJZ,18,4227
2018,E02000012,RAN,17,4227
2018,E02000012,RYJ,18,4227
2018,E02000012,RDD,9,4227
2018,E02000012,RAP,9,4227
2018,E02000012,RT3,8,4227
2018,E02000013,RF4,2377,3460
2018,E02000013,R1H,580,3460
2018,E02000013,RQM,13,3460
2018,E02000013,RJ2,14,3460
2018,E02000013,RAN,16,3460
2018,E02000013,RJ1,55,3460
2018,E02000013,RP4,38,3460
2018,E02000013,RQ8,50,3460
2018,E02000013,RQX,56,3460
2018,E02000013,RP6,73,3460
2018,E02000013,RAL,18,3460
2018,E02000013,RYJ,17,3460
2018,E02000013,RRV,55,3460
2018,E02000013,RDD,17,3460
2018,E02000013,RT3,9,3460
2018,E02000014,RF4,2965,4035
2018,E02000014,R1H,575,4035
2018,E02000014,RYJ,13,4035
2018,E02000014,RAN,15,4035
2018,E02000014,RDD,16,4035
2018,E02000014,RJ1,42,4035
2018,E02000014,RRV,50,4035
2018,E02000014,RAL,28,4035
2018,E02000014,RP4,30,4035
2018,E02000014,RQ8,47,4035
2018,E02000014,RQX,78,4035
2018,E02000014,RP6,79,4035
2018,E02000014,RJZ,17,4035
2018,E02000014,RAP,9,4035
2018,E02000015,RF4,2447,3334
2018,E02000015,R1H,446,3334
2018,E02000015,RJZ,10,3334
2018,E02000015,RAL,11,3334
2018,E02000015,RJ2,13,3334
2018,E02000015,RYJ,14,3334
2018,E02000015,RJ1,49,3334
2018,E02000015,RRV,31,3334
2018,E02000015,RDD,24,3334
2018,E02000015,RP4,27,3334
2018,E02000015,RQ8,50,3334
2018,E02000015,RQX,55,3334
2018,E02000015,RP6,51,3334
2018,E02000015,RAN,10,3334
2018,E02000015,RQM,9,3334
2018,E02000015,R1K,9,3334
2018,E02000015,RJ7,8,3334
2018,E02000015,RT3,8,3334
