catchment_year,msoa,trust_code,patients_from_msoa_to_trust,total_patients_of_msoa
2015,E02000001,R1H,902,2285
2015,E02000001,RRV,722,2285
2015,E02000001,RJ1,186,2285
2015,E02000001,RT3,10,2285
2015,E02000001,RP4,15,2285
2015,E02000001,RJZ,25,2285
2015,E02000001,RQM,32,2285
2015,E02000001,RAL,37,2285
2015,E02000001,RYJ,56,2285
2015,E02000001,RQX,94,2285
2015,E02000001,RP6,102,2285
2015,E02000001,RKE,17,2285
2015,E02000001,RAN,10,2285
2015,E02000001,RPY,8,2285
2015,E02000002,RF4,2348,2971
2015,E02000002,R1H,302,2971
2015,E02000002,RDD,10,2971
2015,E02000002,RJZ,12,2971
2015,E02000002,RJ1,27,2971
2015,E02000002,RRV,32,2971
2015,E02000002,RP4,23,2971
2015,E02000002,RQX,35,2971
2015,E02000002,RQ8,59,2971
2015,E02000002,RP6,29,2971
2015,E02000002,RAN,9,2971
2015,E02000002,RDE,9,2971
2015,E02000002,RAL,8,2971
2015,E02000003,RF4,3280,4253
2015,E02000003,R1H,430,4253
2015,E02000003,RQW,10,4253
2015,E02000003,RQM,13,4253
2015,E02000003,RJZ,16,4253
2015,E02000003,RJ1,37,4253
2015,E02000003,RRV,62,4253
2015,E02000003,RAL,22,4253
2015,E02000003,RP4,46,4253
2015,E02000003,RQX,67,4253
2015,E02000003,RQ8,75,4253
2015,E02000003,RP6,58,4253
2015,E02000003,R1K,18,4253
2015,E02000003,RAN,16,4253
2015,E02000003,RAP,13,4253
2015,E02000003,RYJ,9,4253
2015,E02000004,RF4,2190,2715
2015,E02000004,R1H,228,2715
2015,E02000004,RJ1,13,2715
2015,E02000004,RQX,25,2715
2015,E02000004,RQ8,55,2715
2015,E02000004,RP6,44,2715
2015,E02000004,RRV,21,2715
2015,E02000004,RP4,25,2715
2015,E02000004,RJZ,9,2715
2015,E02000004,RDD,9,2715
2015,E02000004,RDE,9,2715
2015,E02000004,RAN,8,2715
2015,E02000005,RF4,2798,3613
2015,E02000005,R1H,357,3613
2015,E02000005,RAL,11,3613
2015,E02000005,RDD,12,3613
2015,E02000005,RJZ,13,3613
2015,E02000005,RYJ,14,3613
2015,E02000005,RJ1,28,3613
2015,E02000005,RRV,40,3613
2015,E02000005,RQX,42,3613
2015,E02000005,RP4,45,3613
2015,E02000005,RQ8,65,3613
2015,E02000005,RP6,68,3613
2015,E02000005,RAN,12,3613
2015,E02000005,RJ2,8,3613
2015,E02000005,RT3,8,3613
2015,E02000005,RAP,8,3613
2015,E02000005,RKE,8,3613
2015,E02000007,RF4,3073,3901
2015,E02000007,R1H,377,3901
2015,E02000007,RYJ,13,3901
2015,E02000007,RAL,14,3901
2015,E02000007,RJZ,16,3901
2015,E02000007,RJ1,30,3901
2015,E02000007,RRV,45,3901
2015,E02000007,RP4,31,3901
2015,E02000007,RQX,46,3901
2015,E02000007,RQ8,70,3901
