catchment_year,msoa,trust_code,patients_from_msoa,total_patients_of_msoa
2014,E02000007,RDD,17,3717
2014,E02000007,RQX,35,3717
2014,E02000007,RQM,11,3717
2014,E02000007,RT3,8,3717
2014,E02000007,RDE,8,3717
2014,E02000008,RF4,3782,4866
2014,E02000008,R1H,524,4866
2014,E02000008,RT3,11,4866
2014,E02000008,RAL,13,4866
2014,E02000008,RAN,16,4866
2014,E02000008,RJ1,35,4866
2014,E02000008,RRV,58,4866
2014,E02000008,RDD,23,4866
2014,E02000008,RQX,38,4866
2014,E02000008,RP4,42,4866
2014,E02000008,RQ8,93,4866
2014,E02000008,RP6,97,4866
2014,E02000008,RJZ,20,4866
2014,E02000008,RYJ,17,4866
2014,E02000008,R1K,9,4866
2014,E02000009,RF4,2898,3957
2014,E02000009,R1H,558,3957
2014,E02000009,RYJ,10,3957
2014,E02000009,RKE,11,3957
2014,E02000009,RDD,13,3957
2014,E02000009,RJZ,15,3957
2014,E02000009,RJ1,55,3957
2014,E02000009,RRV,49,3957
2014,E02000009,RP4,36,3957
2014,E02000009,RQX,59,3957
2014,E02000009,RQ8,68,3957
2014,E02000009,RP6,62,3957
2014,E02000009,RAL,15,3957
2014,E02000009,RAN,13,3957
2014,E02000009,RQM,9,3957
2014,E02000009,RT3,8,3957
2014,E02000010,RF4,2810,3644
2014,E02000010,R1H,386,3644
2014,E02000010,RQM,11,3644
2014,E02000010,RT3,13,3644
2014,E02000010,RJZ,15,3644
2014,E02000010,RYJ,16,3644
2014,E02000010,RJ1,31,3644
2014,E02000010,RRV,35,3644
2014,E02000010,RQX,39,3644
2014,E02000010,RP4,42,3644
2014,E02000010,RQ8,50,3644
2014,E02000010,RP6,73,3644
2014,E02000010,RAL,20,3644
2014,E02000010,RAN,15,3644
2014,E02000010,RDD,15,3644
2014,E02000010,RQW,8,3644
2014,E02000010,RDE,8,3644
2014,E02000011,RF4,1933,2545
2014,E02000011,R1H,268,2545
2014,E02000011,RAN,11,2545
2014,E02000011,RAL,12,2545
2014,E02000011,RDD,13,2545
2014,E02000011,RJ1,26,2545
2014,E02000011,RRV,34,2545
2014,E02000011,RQX,22,2545
2014,E02000011,RP4,23,2545
2014,E02000011,RQ8,54,2545
2014,E02000011,RP6,63,2545
2014,E02000012,RF4,2291,3900
2014,E02000012,R1H,1043,3900
2014,E02000012,RDD,12,3900
2014,E02000012,RAN,14,3900
2014,E02000012,RJ1,49,3900
2014,E02000012,RRV,73,3900
2014,E02000012,RAL,29,3900
2014,E02000012,RP4,32,3900
2014,E02000012,RQX,41,3900
2014,E02000012,RQ8,54,3900
2014,E02000012,RP6,131,3900
2014,E02000012,RJZ,21,3900
2014,E02000012,RQM,18,3900
2014,E02000012,RYJ,17,3900
2014,E02000012,RT3,8,3900
2014,E02000012,R1K,8,3900
2014,E02000013,RF4,2513,3376
2014,E02000013,R1H,402,3376
2014,E02000013,RAL,10,3376
2014,E02000013,RJZ,11,3376
2014,E02000013,RYJ,15,3376
2014,E02000013,RJ1,36,3376
2014,E02000013,RRV,37,3376
2014,E02000013,RP4,29,3376
2014,E02000013,RQX,42,3376
2014,E02000013,RQ8,72,3376
2014,E02000013,RP6,94,3376
2014,E02000013,RDD,17,3376
2014,E02000013,RAN,15,3376
2014,E02000013,RKE,8,3376
2014,E02000013,RQM,8,3376
2014,E02000014,RF4,2981,3868
2014,E02000014,R1H,411,3868
2014,E02000014,RDD,11,3868
2014,E02000014,RJZ,12,3868
2014,E02000014,RYJ,14,3868
2014,E02000014,RAL,15,3868
2014,E02000014,RJ1,44,3868
2014,E02000014,RRV,35,3868
2014,E02000014,RP4,33,3868
2014,E02000014,RQX,53,3868
2014,E02000014,RQ8,73,3868
2014,E02000014,RP6,88,3868
2014,E02000014,RAN,19,3868
2014,E02000014,RT3,9,3868
2014,E02000015,RF4,2398,3097
2014,E02000015,R1H,360,3097
2014,E02000015,RAN,10,3097
2014,E02000015,RAL,13,3097
2014,E02000015,RDD,15,3097
2014,E02000015,RRV,24,3097
2014,E02000015,RP4,28,3097
2014,E02000015,RQX,31,3097
2014,E02000015,RQ8,65,3097
2014,E02000015,RP6,40,3097
2014,E02000015,RJ1,21,3097
2014,E02000015,RJZ,18,3097
