year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor,ltla_frac_tp,ag_ltla_frac_tp
2019,E06000034,174341,128620,2284,70655,0.03232609157172175,5635.763130705541,female,0-4,6431,0.036887479135716786,0.0011924280283911561,0.01775773596641269,0.0006550381149586157
2019,E06000034,174341,128620,2284,70655,0.03232609157172175,5635.763130705541,male,0-4,6851,0.03929655101209698,0.001270303906469882,0.01775773596641269,0.0006978177772634856
2019,E06000035,278556,128620,2985,105828,0.028206145821521714,7856.991155459802,female,0-4,9000,0.03230948175591263,0.0009113259538250672,0.02320789923806562,0.0007498351970253399
2019,E06000035,278556,128620,2985,105828,0.028206145821521714,7856.991155459802,male,0-4,9326,0.03347980298396014,0.0009443362050413974,0.02320789923806562,0.0007769958941620356
2019,E07000065,161475,128620,9,64443,0.0001396583026860947,22.55132442623714,female,0-4,3619,0.022412138101873355,3.130041166873985e-06,6.997356554190639e-05,1.5682572144056927e-06
2019,E07000065,161475,128620,9,64443,0.0001396583026860947,22.55132442623714,male,0-4,3851,0.023848893017494967,3.3306959197656024e-06,6.997356554190639e-05,1.6687920786615976e-06
2019,E07000066,187199,128620,67,82259,0.0008145005409742399,152.47368676983675,female,0-4,6242,0.03334419521471803,2.7158865040738496e-05,0.0005209143212564142,1.7369468818116214e-05
2019,E07000066,187199,128620,67,82259,0.0008145005409742399,152.47368676983675,male,0-4,6599,0.03525125668406348,2.8712167639191495e-05,0.0005209143212564142,1.8362884449014564e-05
2019,E07000105,130032,128620,17,49999,0.0003400068001360027,44.211764235284704,female,0-4,3854,0.02963885812723022,1.0077413311524505e-05,0.0001321722904680454,3.9174357655334605e-06
2019,E07000105,130032,128620,17,49999,0.0003400068001360027,44.211764235284704,male,0-4,4070,0.03129998769533653,1.0642208660587633e-05,0.0001321722904680454,4.1369910653142675e-06
2019,E07000106,165394,128620,63,57153,0.0011023043409794761,182.31452417195948,female,0-4,3528,0.021330882619683907,2.351312450860123e-05,0.0004898149587933447,1.0448185391386146e-05
2019,E07000106,165394,128620,63,57153,0.0011023043409794761,182.31452417195948,male,0-4,3704,0.022395008283250903,2.4686114846898797e-05,0.0004898149587933447,1.0969410059437155e-05
2019,E07000107,112606,128620,36403,50130,0.7261719529224018,81771.31893077998,female,0-4,4019,0.035690815764701705,0.02591766938524708,0.2830275229357798,0.010101483177440803
2019,E07000107,112606,128620,36403,50130,0.7261719529224018,81771.31893077998,male,0-4,4330,0.03845265794007424,0.02792324171140081,0.2830275229357798,0.01088316052707606
2019,E07000108,118131,128620,10,46319,0.0002158941255208446,25.503788941902894,female,0-4,2863,0.024235806011969764,5.232368145247041e-06,7.774840615767377e-05,1.8842952893772169e-06
2019,E07000108,118131,128620,10,46319,0.0002158941255208446,25.503788941902894,male,0-4,3071,0.025996563137533756,5.6125052651252745e-06,7.774840615767377e-05,2.0211913495205844e-06
2019,E07000109,106939,128620,32624,47011,0.6939652421773628,74211.949033205,female,0-4,3474,0.032485809667193444,0.022544022773021612,0.2536464002487949,0.00823990868125112
2019,E07000109,106939,128620,32624,47011,0.6939652421773628,74211.949033205,male,0-4,3581,0.03348638008584333,0.023238383865915483,0.2536464002487949,0.008493699766137093
2019,E07000110,171826,128620,379,70675,0.005362575168022639,921.4298408206579,female,0-4,5207,0.030303912097121508,0.00016250700650596465,0.0029466645933758358,8.929546481736162e-05
2019,E07000110,171826,128620,379,70675,0.005362575168022639,921.4298408206579,male,0-4,5487,0.031933467577665776,0.00017124562026084653,0.0029466645933758358,9.409721825482296e-05
2019,E07000111,120750,128620,15445,50505,0.30581130581130583,36926.71517671518,female,0-4,3468,0.028720496894409937,0.008783052658829057,0.12008241331052713,0.003448826578558245
2019,E07000111,120750,128620,15445,50505,0.30581130581130583,36926.71517671518,male,0-4,3510,0.02906832298136646,0.008889421808676468,0.12008241331052713,0.0034905943744923417
2019,E07000112,112996,128620,18,46141,0.000390108580221495,44.08070913070805,female,0-4,2572,0.02276186767673192,8.879599882559428e-06,0.00013994713108381277,3.1854580794680025e-06
2019,E07000112,112996,128620,18,46141,0.000390108580221495,44.08070913070805,male,0-4,2806,0.024832737442033348,9.687463946524789e-06,0.00013994713108381277,3.475270361970146e-06
2019,E07000113,150082,128620,414,56753,0.0072947685584903,1094.8134547953412,female,0-4,4445,0.029617142628696313,0.00021605020084013662,0.0032187840149276938,9.533118526108127e-05
2019,E07000113,150082,128620,414,56753,0.0072947685584903,1094.8134547953412,male,0-4,4743,0.03160272384429845,0.00023053455626204005,0.0032187840149276938,0.00010172234233820212
2019,E07000114,141922,128620,20,61567,0.00032484935111342115,46.10326960871895,female,0-4,3768,0.026549794957793717,8.62468366423367e-06,0.00015549681231534753,4.12840848356301e-06
2019,E07000114,141922,128620,20,61567,0.00032484935111342115,46.10326960871895,male,0-4,4109,0.02895252321697834,9.405208380131674e-06,0.00015549681231534753,4.5020250687262225e-06
2019,E07000115,132153,128620,680,53803,0.012638700444213148,1670.2421798041003,female,0-4,3830,0.028981559253289747,0.0003662892458085428,0.005286891618721816,0.00015322236271370727
2019,E07000115,132153,128620,680,53803,0.012638700444213148,1670.2421798041003,male,0-4,4052,0.030661430311835523,0.0003875206329024061,0.005286891618721816,0.00016210365893366626
2019,E07000116,118724,128620,19,45591,0.0004167489197429317,49.47809874755983,female,0-4,3077,0.025917253461810588,1.0800987382913319e-05,0.00014772197169958016,3.82854778241643e-06
