msoa,ltla,ppln_msoa,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor
E02003517,E06000043,11246,2642,2931,0.9013988399863527,10137.131354486522,female,0-4,210,0.018673306064378444,0.016832096425140854
E02003517,E06000043,11246,2642,2931,0.9013988399863527,10137.131354486522,male,0-4,207,0.01840654454917304,0.016591637904781704
E02004377,E07000062,10684,177,4376,0.04044789762340036,432.1453382084095,female,0-4,273,0.025552227630101086,0.0010335338872321507
E02004377,E07000062,10684,177,4376,0.04044789762340036,432.1453382084095,male,0-4,316,0.029576937476600524,0.0011963249390672514
E02004369,E07000062,9620,150,3874,0.03871966959215281,372.48322147651004,female,0-4,198,0.020582120582120583,0.0007969329084455568
E02004369,E07000062,9620,150,3874,0.03871966959215281,372.48322147651004,male,0-4,190,0.01975051975051975,0.0007647335990134132
E02005162,E07000116,10805,10,3440,0.0029069767441860465,31.40988372093023,female,0-4,330,0.03054141601110597,8.878318607879642e-05
E02005162,E07000116,10805,10,3440,0.0029069767441860465,31.40988372093023,male,0-4,281,0.026006478482184174,7.560022814588423e-05
E02005174,E07000116,7484,14,2514,0.005568814638027049,41.67700875099443,female,0-4,180,0.024051309460181722,0.0001339372841855784
E02005174,E07000116,7484,14,2514,0.005568814638027049,41.67700875099443,male,0-4,190,0.025387493319080707,0.00014137824441811053
E02005169,E07000116,9050,14,2798,0.005003573981415297,45.28234453180844,female,0-4,286,0.03160220994475138,0.00015812399543478175
E02005169,E07000116,9050,14,2798,0.005003573981415297,45.28234453180844,male,0-4,322,0.03558011049723757,0.00017802771513985918
E02004399,E07000064,7789,174,3642,0.047775947281713346,372.12685337726526,female,0-4,163,0.020926948260367183,0.0009998047768544453
E02004399,E07000064,7789,174,3642,0.047775947281713346,372.12685337726526,male,0-4,146,0.018744383104377968,0.0008955306590230002
E02005098,E07000111,9775,10,2537,0.003941663381947182,38.529759558533705,female,0-4,286,0.029258312020460357,0.00011532641710863366
E02005098,E07000111,9775,10,2537,0.003941663381947182,38.529759558533705,male,0-4,280,0.02864450127877238,0.00011290698178467632
E02005097,E07000111,9624,8,2149,0.0037226617031177293,35.826896230805026,female,0-4,365,0.0379260182876143,0.0001411857358310444
E02005097,E07000111,9624,8,2149,0.0037226617031177293,35.826896230805026,male,0-4,410,0.04260182876142976,0.00015859219641295398
